Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
560	0.0	#838383	Omega	610DF10 Bandpass	W2814
561	0.0				
562	0.0				
563	0.0				
564	0.0				
565	0.0				
566	0.0				
567	0.0				
568	0.0				
569	0.0				
570	0.0				
571	0.0				
572	0.0				
573	0.0				
574	0.0				
575	0.0				
576	0.0				
577	0.0				
578	0.0				
579	0.0				
580	0.0				
581	0.0				
582	0.0				
583	0.0				
584	0.0				
585	0.0				
586	0.0				
587	0.0				
588	0.0				
589	0.0				
590	0.0				
591	1e-05				
592	3e-05				
593	5e-05				
594	8.999999999999999e-05				
595	0.00016				
596	0.00024				
597	0.00034				
598	0.00053				
599	0.00083				
600	0.0014099999999999998				
601	0.00311				
602	0.010369999999999999				
603	0.06543				
604	0.39765				
605	0.6691800000000001				
606	0.63875				
607	0.70185				
608	0.7429399999999999				
609	0.73643				
610	0.7387900000000001				
611	0.74098				
612	0.70259				
613	0.66274				
614	0.6849599999999999				
615	0.42808999999999997				
616	0.09414				
617	0.01663				
618	0.0040999999999999995				
619	0.00126				
620	0.00047				
621	0.00017999999999999998				
622	7.000000000000001e-05				
623	3e-05				
624	1e-05				
625	0.0				
626	0.0				
627	0.0				
628	0.0				
629	0.0				
630	0.0				
631	0.0				
632	0.0				
633	0.0				
634	0.0				
635	0.0				
636	0.0				
637	0.0				
638	0.0				
639	0.0				
640	0.0				
641	0.0				
642	0.0				
643	0.0				
644	0.0				
645	0.0				
646	0.0				
647	0.0				
648	0.0				
649	0.0				
650	0.0				
651	0.0				
652	0.0				
653	0.0				
654	0.0				
655	0.0				
656	0.0				
657	0.0				
658	0.0				
659	0.0				
660	0.0				
