Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	0.01863	#838383	Omega	630DCLPEXTR Dichroic	W2911
401	0.02004				
402	0.02146				
403	0.024550000000000002				
404	0.02841				
405	0.03351				
406	0.03819				
407	0.04289				
408	0.048470000000000006				
409	0.05053				
410	0.04828				
411	0.044950000000000004				
412	0.0375				
413	0.03179				
414	0.02598				
415	0.02069				
416	0.01695				
417	0.01496				
418	0.012430000000000002				
419	0.011080000000000001				
420	0.00945				
421	0.00861				
422	0.00809				
423	0.00728				
424	0.00703				
425	0.006860000000000001				
426	0.0069099999999999995				
427	0.006840000000000001				
428	0.00688				
429	0.00745				
430	0.0076300000000000005				
431	0.00775				
432	0.00886				
433	0.01018				
434	0.01114				
435	0.012709999999999999				
436	0.01497				
437	0.01902				
438	0.02222				
439	0.02697				
440	0.03254				
441	0.04043				
442	0.04742				
443	0.05289				
444	0.05386				
445	0.05049000000000001				
446	0.043730000000000005				
447	0.03703				
448	0.029660000000000002				
449	0.02536				
450	0.021150000000000002				
451	0.0178				
452	0.015149999999999999				
453	0.01337				
454	0.011659999999999998				
455	0.010820000000000001				
456	0.010089999999999998				
457	0.00892				
458	0.00864				
459	0.00819				
460	0.00779				
461	0.008110000000000001				
462	0.0076				
463	0.00781				
464	0.00821				
465	0.00843				
466	0.008060000000000001				
467	0.00933				
468	0.009519999999999999				
469	0.010069999999999999				
470	0.01131				
471	0.01202				
472	0.013000000000000001				
473	0.01485				
474	0.01647				
475	0.01915				
476	0.02152				
477	0.02474				
478	0.0279				
479	0.03242				
480	0.037599999999999995				
481	0.04294				
482	0.047850000000000004				
483	0.0518				
484	0.055670000000000004				
485	0.05728				
486	0.05728				
487	0.05575				
488	0.054029999999999995				
489	0.051449999999999996				
490	0.048940000000000004				
491	0.045700000000000005				
492	0.04261				
493	0.04091				
494	0.03869				
495	0.03733				
496	0.036680000000000004				
497	0.03626				
498	0.035859999999999996				
499	0.03573				
500	0.036230000000000005				
501	0.03714				
502	0.03828				
503	0.03916				
504	0.041609999999999994				
505	0.043250000000000004				
506	0.04486				
507	0.04739				
508	0.04888				
509	0.04968				
510	0.04947				
511	0.048440000000000004				
512	0.04666000000000001				
513	0.043129999999999995				
514	0.0398				
515	0.03456				
516	0.02996				
517	0.0265				
518	0.02282				
519	0.020710000000000003				
520	0.01781				
521	0.0151				
522	0.013340000000000001				
523	0.01179				
524	0.010669999999999999				
525	0.00936				
526	0.00815				
527	0.00748				
528	0.00641				
529	0.0059299999999999995				
530	0.00538				
531	0.00475				
532	0.00506				
533	0.0040999999999999995				
534	0.00391				
535	0.00356				
536	0.00317				
537	0.00322				
538	0.0028799999999999997				
539	0.00252				
540	0.00331				
541	0.00245				
542	0.0023899999999999998				
543	0.0027500000000000003				
544	0.00232				
545	0.00222				
546	0.00229				
547	0.00197				
548	0.0017499999999999998				
549	0.0028399999999999996				
550	0.00183				
551	0.00243				
552	0.00244				
553	0.0023899999999999998				
554	0.0018599999999999999				
555	0.0017100000000000001				
556	0.0019				
557	0.00178				
558	0.00179				
559	0.00232				
560	0.0014099999999999998				
561	0.00249				
562	0.00165				
563	0.00211				
564	0.00242				
565	0.00161				
566	0.00266				
567	0.00214				
568	0.00262				
569	0.0027400000000000002				
570	0.0023799999999999997				
571	0.00311				
572	0.00313				
573	0.0034200000000000003				
574	0.0037199999999999998				
575	0.00252				
576	0.00378				
577	0.0039000000000000003				
578	0.00414				
579	0.00444				
580	0.0046				
581	0.00441				
582	0.0046700000000000005				
583	0.007019999999999999				
584	0.00544				
585	0.00561				
586	0.00657				
587	0.0067800000000000004				
588	0.00817				
589	0.00881				
590	0.0092				
591	0.010009999999999998				
592	0.00994				
593	0.011279999999999998				
594	0.01272				
595	0.01232				
596	0.014499999999999999				
