Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	0.7636799999999999	#838383	Omega	560SP-02 Shortpass	W3179
381	0.84104				
382	0.8229099999999999				
383	0.7858799999999999				
384	0.82958				
385	0.83792				
386	0.8138500000000001				
387	0.85982				
388	0.8874599999999999				
389	0.8204				
390	0.79403				
391	0.8316				
392	0.82616				
393	0.79262				
394	0.8264199999999999				
395	0.90178				
396	0.9243600000000001				
397	0.9115800000000001				
398	0.9218600000000001				
399	0.9331699999999999				
400	0.91822				
401	0.90154				
402	0.8918200000000001				
403	0.8654600000000001				
404	0.83491				
405	0.83122				
406	0.85187				
407	0.87139				
408	0.87947				
409	0.89545				
410	0.9177				
411	0.9354399999999999				
412	0.94306				
413	0.9453199999999999				
414	0.94634				
415	0.9446899999999999				
416	0.9436100000000001				
417	0.9410599999999999				
418	0.93771				
419	0.93135				
420	0.92456				
421	0.92634				
422	0.9314				
423	0.9381999999999999				
424	0.94262				
425	0.94622				
426	0.9471299999999999				
427	0.94557				
428	0.94267				
429	0.93843				
430	0.9334				
431	0.92852				
432	0.92738				
433	0.9319				
434	0.93849				
435	0.9460500000000001				
436	0.9488800000000001				
437	0.94813				
438	0.94573				
439	0.93959				
440	0.93318				
441	0.92899				
442	0.92851				
443	0.93152				
444	0.93523				
445	0.93888				
446	0.94308				
447	0.9473600000000001				
448	0.9486100000000001				
449	0.94755				
450	0.94155				
451	0.9351999999999999				
452	0.93266				
453	0.93073				
454	0.93				
455	0.93035				
456	0.934				
457	0.94018				
458	0.94638				
459	0.9498000000000001				
460	0.95028				
461	0.94793				
462	0.94607				
463	0.94196				
464	0.93645				
465	0.9305500000000001				
466	0.92825				
467	0.9304399999999999				
468	0.93514				
469	0.9429500000000001				
470	0.94662				
471	0.94804				
472	0.94994				
473	0.9515600000000001				
474	0.9504699999999999				
475	0.9461799999999999				
476	0.93877				
477	0.93277				
478	0.93106				
479	0.9322400000000001				
480	0.9347799999999999				
481	0.93718				
482	0.9388200000000001				
483	0.94119				
484	0.94595				
485	0.9501999999999999				
486	0.9521200000000001				
487	0.95062				
488	0.94731				
489	0.94312				
490	0.9407599999999999				
491	0.9367700000000001				
492	0.93308				
493	0.92893				
494	0.92747				
495	0.9299599999999999				
496	0.9345				
497	0.9403100000000001				
498	0.94565				
499	0.94722				
500	0.94986				
501	0.9519				
502	0.95205				
503	0.94991				
504	0.9442900000000001				
505	0.93687				
506	0.9319299999999999				
507	0.93098				
508	0.93262				
509	0.93594				
510	0.9359999999999999				
511	0.9342100000000001				
512	0.93254				
513	0.9332299999999999				
514	0.93836				
515	0.94452				
516	0.95018				
517	0.95089				
518	0.9498000000000001				
519	0.94762				
520	0.94612				
521	0.9440999999999999				
522	0.9411400000000001				
523	0.93561				
524	0.92875				
525	0.9255500000000001				
526	0.92696				
527	0.93229				
528	0.9378700000000001				
529	0.94164				
530	0.94056				
531	0.93976				
532	0.94121				
533	0.9440000000000001				
534	0.94742				
535	0.94867				
