Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
575	0.0	#838383	Omega	628AF44/M Bandpass	W3764
576	0.0				
577	1e-05				
578	1e-05				
579	1e-05				
580	0.0				
581	0.0				
582	2e-05				
583	1e-05				
584	1e-05				
585	2e-05				
586	1e-05				
587	3e-05				
588	5e-05				
589	7.000000000000001e-05				
590	0.0001				
591	0.00015				
592	0.00021999999999999998				
593	0.00032				
594	0.0005				
595	0.00084				
596	0.0014199999999999998				
597	0.0026				
598	0.0046				
599	0.00784				
600	0.01244				
601	0.01928				
602	0.02954				
603	0.047009999999999996				
604	0.07978				
605	0.14291				
606	0.25958				
607	0.42746				
608	0.58418				
609	0.67208				
610	0.7076				
611	0.73138				
612	0.76036				
613	0.78751				
614	0.8095699999999999				
615	0.8193				
616	0.82044				
617	0.81485				
618	0.8031100000000001				
619	0.78905				
620	0.77691				
621	0.76485				
622	0.75417				
623	0.74566				
624	0.74272				
625	0.74536				
626	0.752				
627	0.7575400000000001				
628	0.76078				
629	0.75802				
630	0.75493				
631	0.75276				
632	0.75239				
633	0.75762				
634	0.76214				
635	0.76244				
636	0.76005				
637	0.75398				
638	0.74979				
639	0.75054				
640	0.75669				
641	0.76185				
642	0.75401				
643	0.72772				
644	0.69066				
645	0.6457999999999999				
646	0.57653				
647	0.44048000000000004				
648	0.25922				
649	0.12224				
650	0.05331				
651	0.02343				
652	0.010780000000000001				
653	0.00519				
654	0.0026				
655	0.00135				
656	0.0007599999999999999				
657	0.0004				
658	0.00023				
659	0.00014000000000000001				
660	8e-05				
661	6e-05				
662	4e-05				
663	3e-05				
664	2e-05				
665	3e-05				
666	1e-05				
667	1e-05				
668	0.0				
669	1e-05				
670	1e-05				
671	0.0				
672	1e-05				
673	1e-05				
674	0.0				
675	1e-05				
