Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
1000	0.0	#838383	Omega	1035AELP Longpass	W3876
1001	0.0				
1002	0.0				
1003	0.0				
1004	0.0				
1005	0.0				
1006	0.0				
1007	0.0				
1008	0.0				
1009	0.0				
1010	0.0				
1011	0.0				
1012	0.0				
1013	0.0				
1014	0.0				
1015	0.0				
1016	0.0				
1017	0.0				
1018	0.0				
1019	0.0				
1020	0.0				
1021	0.0				
1022	0.0				
1023	0.0				
1024	0.0				
1025	0.0				
1026	0.0				
1027	0.0				
1028	0.0				
1029	0.00121				
1030	0.0060799999999999995				
1031	0.020579999999999998				
1032	0.05782				
1033	0.13541999999999998				
1034	0.28878				
1035	0.49426000000000003				
1036	0.6783199999999999				
1037	0.7936700000000001				
1038	0.8336100000000001				
1039	0.84369				
1040	0.85088				
1041	0.8556900000000001				
1042	0.85637				
1043	0.85544				
1044	0.85611				
1045	0.85785				
1046	0.85942				
1047	0.86001				
1048	0.85937				
1049	0.8586100000000001				
1050	0.85749				
1051	0.85783				
1052	0.85804				
1053	0.8590800000000001				
1054	0.8599800000000001				
1055	0.8604600000000001				
1056	0.8598				
1057	0.8597400000000001				
1058	0.85884				
1059	0.8581399999999999				
1060	0.8577800000000001				
1061	0.85798				
1062	0.85834				
1063	0.85929				
1064	0.8602500000000001				
1065	0.86056				
1066	0.8605700000000001				
1067	0.86044				
1068	0.85992				
1069	0.85964				
1070	0.85867				
1071	0.8586400000000001				
1072	0.85832				
1073	0.8590800000000001				
1074	0.8595				
1075	0.8603799999999999				
1076	0.86146				
1077	0.8619199999999999				
1078	0.8621899999999999				
1079	0.86259				
1080	0.86194				
1081	0.8613500000000001				
1082	0.8604900000000001				
1083	0.8595900000000001				
1084	0.85881				
1085	0.8577400000000001				
1086	0.85792				
1087	0.85771				
1088	0.85844				
1089	0.8590000000000001				
1090	0.85992				
1091	0.861				
1092	0.8618300000000001				
1093	0.86272				
1094	0.86285				
1095	0.8632				
1096	0.86286				
1097	0.8626900000000001				
1098	0.86185				
1099	0.8611				
1100	0.86051				
