Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	0.75571	#838383	Omega	545DMLP Dichroic	W3917
401	0.76464				
402	0.7787000000000001				
403	0.7942100000000001				
404	0.80159				
405	0.7940999999999999				
406	0.78263				
407	0.7633				
408	0.7397400000000001				
409	0.72584				
410	0.7068800000000001				
411	0.69922				
412	0.70173				
413	0.71518				
414	0.72435				
415	0.74533				
416	0.76505				
417	0.78268				
418	0.80027				
419	0.807				
420	0.79917				
421	0.78631				
422	0.7722199999999999				
423	0.7537999999999999				
424	0.7419100000000001				
425	0.7418300000000001				
426	0.7462000000000001				
427	0.75715				
428	0.7709699999999999				
429	0.79203				
430	0.81048				
431	0.8216899999999999				
432	0.8207899999999999				
433	0.8011				
434	0.7648900000000001				
435	0.7195199999999999				
436	0.6925				
437	0.6534099999999999				
438	0.6217199999999999				
439	0.59442				
440	0.58243				
441	0.57245				
442	0.57697				
443	0.58941				
444	0.61917				
445	0.65683				
446	0.6887000000000001				
447	0.72464				
448	0.73588				
449	0.72887				
450	0.69755				
451	0.6505				
452	0.59938				
453	0.5514				
454	0.50617				
455	0.47292				
456	0.43633000000000005				
457	0.41768				
458	0.41013				
459	0.41372				
460	0.43493000000000004				
461	0.45913				
462	0.46892				
463	0.45289999999999997				
464	0.43143				
465	0.40366				
466	0.39486				
467	0.39308				
468	0.39181				
469	0.37579999999999997				
470	0.3371				
471	0.29148				
472	0.22858				
473	0.16212				
474	0.11842000000000001				
475	0.09417				
476	0.06729				
477	0.04949				
478	0.03693				
479	0.03049				
480	0.02508				
481	0.0203				
482	0.0168				
483	0.014419999999999999				
484	0.011819999999999999				
485	0.01117				
486	0.00929				
487	0.0076300000000000005				
488	0.0068200000000000005				
489	0.0064800000000000005				
490	0.00464				
491	0.00428				
492	0.00482				
493	0.00494				
494	0.0049				
495	0.0033				
496	0.00607				
497	0.00374				
498	0.00312				
499	0.0047599999999999995				
500	0.0036				
501	0.00418				
502	0.00232				
503	0.00369				
504	0.00393				
505	0.00391				
506	0.00385				
507	0.00522				
508	0.00582				
509	0.00599				
510	0.005560000000000001				
511	0.00618				
512	0.00825				
513	0.00758				
514	0.00957				
515	0.00879				
516	0.012190000000000001				
517	0.01113				
518	0.01406				
519	0.01536				
520	0.01762				
521	0.020110000000000003				
522	0.02267				
523	0.02589				
524	0.03228				
525	0.03537				
526	0.04105				
527	0.06023				
528	0.0604				
529	0.07171				
530	0.08416				
531	0.10513				
532	0.12326000000000001				
533	0.14737				
534	0.17061				
535	0.2026				
536	0.24989999999999998				
537	0.29072				
538	0.32857				
539	0.36823				
540	0.4064				
541	0.45035				
542	0.48784999999999995				
543	0.51064				
544	0.5392399999999999				
545	0.5653199999999999				
546	0.5936699999999999				
547	0.62837				
548	0.677				
549	0.71563				
550	0.76629				
551	0.80473				
552	0.83417				
553	0.85536				
554	0.8605800000000001				
555	0.8537600000000001				
556	0.85333				
557	0.84531				
558	0.83749				
559	0.83458				
560	0.83119				
561	0.82952				
562	0.83678				
563	0.83866				
564	0.84601				
565	0.8479000000000001				
566	0.8580200000000001				
567	0.86397				
568	0.87076				
569	0.87875				
570	0.8851				
571	0.8912399999999999				
572	0.89812				
573	0.8984000000000001				
574	0.91128				
575	0.9048				
576	0.9100400000000001				
577	0.90903				
578	0.9140999999999999				
579	0.9134300000000001				
580	0.9218999999999999				
581	0.9202400000000001				
582	0.92376				
583	0.92537				
584	0.92623				
585	0.9245699999999999				
586	0.9297				
587	0.9289400000000001				
588	0.92925				
589	0.92757				
590	0.93029				
591	0.93435				
592	0.93239				
593	0.9289700000000001				
594	0.93232				
595	0.92658				
596	0.92089				
597	0.91754				
598	0.9178000000000001				
599	0.9183199999999999				
600	0.9166				
601	0.90834				
602	0.90633				
603	0.90539				
604	0.89924				
605	0.9031600000000001				
606	0.89925				
607	0.9057				
608	0.89593				
609	0.90472				
610	0.9002500000000001				
611	0.90388				
612	0.9048				
613	0.91277				
614	0.9077200000000001				
615	0.91102				
616	0.9097				
617	0.9178499999999999				
618	0.91671				
619	0.91393				
620	0.91398				
621	0.91566				
622	0.92129				
623	0.91547				
624	0.91857				
625	0.91888				
626	0.9153100000000001				
627	0.91744				
628	0.9199200000000001				
629	0.91616				
630	0.91205				
631	0.9145099999999999				
632	0.90754				
633	0.90539				
634	0.90387				
635	0.90648				
636	0.89904				
637	0.89984				
638	0.89863				
639	0.8962699999999999				
640	0.8945799999999999				
641	0.88983				
642	0.89158				
643	0.88684				
644	0.8959699999999999				
645	0.8944799999999999				
646	0.89091				
647	0.8964				
648	0.89854				
649	0.89994				
650	0.90495				
651	0.90443				
652	0.90372				
653	0.91196				
654	0.9087999999999999				
655	0.92042				
656	0.92408				
657	0.9214				
658	0.9231699999999999				
659	0.9301699999999999				
660	0.9269499999999999				
661	0.93355				
662	0.9288				
663	0.9383199999999999				
664	0.9373999999999999				
665	0.93675				
666	0.93777				
667	0.92973				
668	0.93888				
669	0.92548				
670	0.92987				
671	0.92399				
672	0.92903				
673	0.91869				
674	0.91798				
675	0.9181100000000001				
676	0.9136700000000001				
677	0.9123300000000001				
678	0.90319				
679	0.8990600000000001				
680	0.8978400000000001				
681	0.8966200000000001				
682	0.8885				
683	0.88836				
684	0.88583				
685	0.8818600000000001				
686	0.8790300000000001				
687	0.87976				
688	0.88259				
689	0.8751399999999999				
690	0.86961				
691	0.86929				
692	0.8684099999999999				
693	0.87726				
694	0.87649				
695	0.87232				
696	0.88078				
697	0.87558				
698	0.87982				
699	0.88357				
700	0.8867400000000001				
