Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
500	0.0	#838383	Omega	565AGLP Longpass	W3966
501	0.0				
502	0.0				
503	0.0				
504	0.0				
505	0.0				
506	0.0				
507	0.0				
508	0.0				
509	0.0				
510	0.0				
511	0.0				
512	0.0				
513	0.0				
514	0.0				
515	0.0				
516	0.0				
517	0.0				
518	0.0				
519	0.0				
520	0.0				
521	0.0				
522	0.0				
523	0.0				
524	0.0				
525	0.0				
526	0.0				
527	0.0				
528	0.0				
529	0.0				
530	0.0				
531	0.0				
532	0.0				
533	0.0				
534	0.0				
535	0.0				
536	0.0				
537	0.0				
538	0.0				
539	0.0				
540	0.0				
541	0.0				
542	0.0				
543	0.0				
544	0.0				
545	0.0				
546	0.0				
547	0.0				
548	0.0				
549	0.0				
550	0.0				
551	0.0				
552	0.0				
553	0.0				
554	0.0				
555	0.0				
556	0.0				
557	0.0				
558	0.0				
559	0.0001				
560	0.00033				
561	0.001				
562	0.00308				
563	0.00943				
564	0.0275				
565	0.07092999999999999				
566	0.16375				
567	0.33045				
568	0.56473				
569	0.76484				
570	0.89653				
571	0.9244199999999999				
572	0.92427				
573	0.9254600000000001				
574	0.9303100000000001				
575	0.93283				
576	0.9319				
577	0.92731				
578	0.92334				
579	0.92145				
580	0.92214				
581	0.9256				
582	0.9271699999999999				
583	0.9296599999999999				
584	0.93093				
585	0.93062				
586	0.92972				
587	0.9287399999999999				
588	0.92919				
589	0.92913				
590	0.93072				
591	0.9341200000000001				
592	0.93545				
593	0.93624				
594	0.93771				
595	0.93611				
596	0.9361499999999999				
597	0.93595				
598	0.93494				
599	0.93402				
600	0.9346				
601	0.93529				
602	0.93465				
603	0.9353100000000001				
604	0.9357500000000001				
605	0.93502				
606	0.93413				
607	0.93364				
608	0.9326399999999999				
609	0.9306699999999999				
610	0.9306				
611	0.92974				
612	0.9300799999999999				
613	0.9297799999999999				
614	0.9303				
615	0.9314199999999999				
616	0.93393				
617	0.93542				
618	0.9370099999999999				
619	0.9380200000000001				
620	0.9381999999999999				
621	0.9374899999999999				
622	0.93644				
623	0.9344199999999999				
624	0.93257				
625	0.92915				
626	0.92699				
627	0.92648				
628	0.92561				
629	0.92601				
630	0.9273				
631	0.92703				
632	0.92937				
633	0.9326000000000001				
634	0.9345				
635	0.93598				
636	0.93708				
637	0.93719				
638	0.93587				
639	0.93502				
640	0.93451				
641	0.93291				
642	0.93074				
643	0.9280200000000001				
644	0.9265399999999999				
645	0.92381				
646	0.9226800000000001				
647	0.92089				
648	0.9209099999999999				
649	0.92072				
650	0.9211199999999999				
651	0.92196				
652	0.9235				
653	0.9246599999999999				
654	0.92624				
655	0.9283199999999999				
656	0.92943				
657	0.93072				
658	0.93218				
659	0.9329500000000001				
660	0.9333199999999999				
661	0.93464				
662	0.93366				
663	0.93366				
664	0.93365				
665	0.93204				
666	0.93027				
667	0.92952				
668	0.92804				
669	0.92613				
670	0.92559				
671	0.9257500000000001				
672	0.92403				
673	0.92432				
674	0.92452				
675	0.92514				
676	0.92482				
677	0.92377				
678	0.92578				
679	0.92637				
680	0.9266500000000001				
681	0.92864				
682	0.9300400000000001				
683	0.92976				
684	0.9301900000000001				
685	0.92974				
686	0.93014				
687	0.92986				
688	0.92923				
689	0.92804				
690	0.92714				
691	0.9238500000000001				
692	0.92324				
693	0.92169				
694	0.9195699999999999				
695	0.9188				
696	0.91664				
697	0.91538				
698	0.9132399999999999				
699	0.91314				
700	0.9143000000000001				
701	0.9140900000000001				
702	0.91438				
703	0.91584				
704	0.91562				
705	0.91774				
706	0.91938				
707	0.91984				
708	0.92144				
709	0.9207899999999999				
710	0.9203100000000001				
711	0.91827				
712	0.9173600000000001				
713	0.91635				
714	0.9135599999999999				
715	0.91175				
716	0.9105				
717	0.90696				
718	0.90449				
719	0.90153				
720	0.90171				
721	0.89996				
722	0.89715				
723	0.89727				
724	0.89741				
725	0.8978499999999999				
726	0.89964				
727	0.9001600000000001				
728	0.90062				
729	0.90241				
730	0.9044				
731	0.9062300000000001				
732	0.9077500000000001				
733	0.90898				
734	0.91149				
735	0.9120699999999999				
736	0.91398				
737	0.91315				
738	0.9133				
739	0.91194				
740	0.90861				
741	0.90655				
742	0.90533				
743	0.9029				
744	0.89826				
745	0.8968200000000001				
746	0.89416				
747	0.89087				
748	0.88881				
749	0.88678				
750	0.88507				
