Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	0.56573	#838383	Omega	660AELP-HELIOS Longpass	W4607
401	0.43759				
402	0.37666				
403	0.50091				
404	0.48026				
405	0.23956				
406	0.1398				
407	0.15513				
408	0.28353				
409	0.32823				
410	0.16940000000000002				
411	0.10968				
412	0.1432				
413	0.28271				
414	0.36112				
415	0.2866				
416	0.20245000000000002				
417	0.0645				
418	0.013049999999999999				
419	0.00381				
420	0.0020499999999999997				
421	0.00208				
422	0.00189				
423	0.00062				
424	0.00013				
425	5e-05				
426	3e-05				
427	3e-05				
428	2e-05				
429	3e-05				
430	1e-05				
431	1e-05				
432	5e-05				
433	1e-05				
434	0.0				
435	0.0				
436	0.0				
437	0.0				
438	0.0				
439	2e-05				
440	0.0				
441	1e-05				
442	0.0				
443	0.0				
444	0.0				
445	0.0				
446	0.0				
447	0.0				
448	2e-05				
449	0.0				
450	3e-05				
451	1e-05				
452	0.0				
453	0.0				
454	1e-05				
455	0.0				
456	3e-05				
457	0.0				
458	2e-05				
459	1e-05				
460	0.0				
461	0.0				
462	0.0				
463	0.0				
464	0.0				
465	0.0				
466	0.0				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	1e-05				
472	1e-05				
473	0.0				
474	1e-05				
475	0.0				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	1e-05				
482	3e-05				
483	0.0				
484	0.0				
485	0.0				
486	1e-05				
487	2e-05				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	1e-05				
493	0.0				
494	2e-05				
495	0.0				
496	1e-05				
497	0.0				
498	0.0				
499	0.0				
500	0.0				
501	2e-05				
502	0.0				
503	0.0				
504	0.0				
505	0.0				
506	0.0				
507	1e-05				
508	1e-05				
509	0.0				
510	0.0				
511	3e-05				
512	2e-05				
513	2e-05				
514	0.0				
515	1e-05				
516	0.0				
517	0.0				
518	0.0				
519	0.0				
520	0.0				
521	3e-05				
522	4e-05				
523	1e-05				
524	3e-05				
525	0.0				
526	4e-05				
527	0.0				
528	1e-05				
529	1e-05				
530	0.0				
531	0.0				
532	1e-05				
533	0.0				
534	0.0				
535	4e-05				
536	0.0				
537	0.0				
538	0.0				
539	0.0				
540	1e-05				
541	4e-05				
542	0.0				
543	0.0				
544	0.0				
545	0.0				
546	1e-05				
547	0.0				
548	0.0				
549	0.0				
550	0.0				
551	3e-05				
552	0.0				
553	0.0				
554	0.0				
555	0.0				
556	0.0				
557	0.0				
558	0.0				
559	0.0				
560	1e-05				
561	0.0				
562	0.0				
563	1e-05				
564	0.0				
565	0.0				
566	0.0				
567	0.0				
568	0.0				
569	0.0				
570	1e-05				
571	0.0				
572	2e-05				
573	4e-05				
574	0.0				
575	0.0				
576	0.0				
577	3e-05				
578	1e-05				
579	0.0				
580	0.0				
581	0.0				
582	2e-05				
583	0.0				
584	0.0				
585	0.0				
586	1e-05				
587	0.0				
588	4e-05				
589	0.0				
590	0.0				
591	1e-05				
592	1e-05				
593	2e-05				
594	0.0				
595	1e-05				
596	2e-05				
597	0.0				
598	0.0				
599	0.0				
600	1e-05				
601	3e-05				
602	1e-05				
603	4e-05				
604	4e-05				
605	1e-05				
606	0.0				
607	0.0				
608	0.0				
609	1e-05				
610	0.0				
611	5e-05				
612	2e-05				
613	2e-05				
614	2e-05				
615	0.0				
616	2e-05				
617	1e-05				
618	3e-05				
619	1e-05				
620	0.0				
621	0.0				
622	0.0				
623	1e-05				
624	3e-05				
625	3e-05				
626	0.0				
627	2e-05				
628	0.0				
629	2e-05				
630	0.0				
631	0.0				
632	1e-05				
633	0.0				
634	0.0				
635	0.0				
636	0.0				
637	1e-05				
638	0.0				
639	0.0				
640	3e-05				
641	0.0				
642	3e-05				
643	0.0				
644	0.0				
645	0.0				
646	0.0				
647	1e-05				
648	4e-05				
649	0.0				
650	0.0				
651	1e-05				
652	5e-05				
653	5e-05				
654	0.00013				
655	0.00062				
656	0.00227				
657	0.00793				
658	0.025459999999999997				
659	0.07501000000000001				
660	0.21764				
661	0.53328				
662	0.8761199999999999				
663	0.97717				
664	0.95517				
665	0.94994				
666	0.9676300000000001				
667	0.98501				
668	0.9902200000000001				
669	0.98815				
670	0.98384				
671	0.9838800000000001				
672	0.98729				
673	0.99249				
674	0.99535				
675	0.99322				
676	0.98954				
677	0.9834499999999999				
678	0.97961				
679	0.97944				
680	0.9821599999999999				
681	0.98657				
682	0.9920699999999999				
683	0.99613				
684	0.99639				
685	0.99273				
686	0.98783				
687	0.98068				
688	0.9761				
689	0.97217				
690	0.97301				
691	0.97474				
692	0.97952				
693	0.9858100000000001				
694	0.99142				
695	0.99512				
696	0.99619				
697	0.9952500000000001				
698	0.9924				
699	0.9898600000000001				
700	0.98598				
701	0.98375				
702	0.98175				
703	0.9840300000000001				
704	0.98519				
705	0.9880500000000001				
706	0.99165				
707	0.9947199999999999				
708	0.99516				
709	0.99657				
710	0.99434				
711	0.9924599999999999				
712	0.9898399999999999				
713	0.98722				
714	0.9843899999999999				
715	0.98264				
716	0.98378				
717	0.98478				
718	0.98618				
719	0.99017				
720	0.99327				
721	0.99431				
722	0.99523				
723	0.99619				
724	0.99453				
725	0.99238				
726	0.98873				
727	0.9869				
728	0.9842700000000001				
729	0.98173				
730	0.98086				
731	0.98055				
732	0.9818300000000001				
733	0.98443				
734	0.98708				
735	0.99				
736	0.9921599999999999				
737	0.99268				
738	0.99615				
739	0.9959399999999999				
740	0.99453				
741	0.99151				
742	0.9901099999999999				
743	0.9889100000000001				
744	0.9852599999999999				
745	0.9828				
746	0.98301				
747	0.98271				
748	0.9827899999999999				
749	0.98478				
750	0.98571				
751	0.9887				
752	0.99151				
753	0.99359				
754	0.9946699999999999				
755	0.99595				
756	0.99536				
757	0.9950199999999999				
758	0.99241				
759	0.99128				
760	0.9883799999999999				
761	0.98419				
762	0.9827899999999999				
763	0.9813200000000001				
764	0.97918				
765	0.97896				
766	0.98048				
767	0.9809				
768	0.98321				
769	0.98572				
770	0.98828				
771	0.99125				
772	0.9930500000000001				
773	0.99299				
774	0.99445				
775	0.99351				
776	0.99417				
777	0.9926200000000001				
778	0.9912099999999999				
779	0.9886499999999999				
780	0.9852				
781	0.98366				
782	0.9809300000000001				
783	0.97906				
784	0.9793600000000001				
785	0.9787699999999999				
786	0.9795699999999999				
787	0.98096				
788	0.98181				
789	0.98583				
790	0.9876600000000001				
791	0.9906100000000001				
792	0.99253				
793	0.99194				
794	0.99394				
795	0.99316				
796	0.9935299999999999				
797	0.99309				
798	0.99126				
799	0.9891500000000001				
800	0.9883799999999999				
801	0.98506				
802	0.98229				
803	0.98086				
804	0.9804200000000001				
805	0.9796299999999999				
806	0.9798600000000001				
807	0.98048				
808	0.9814				
809	0.9832				
810	0.9852200000000001				
811	0.9856199999999999				
812	0.98994				
813	0.9906900000000001				
814	0.9925				
815	0.99331				
816	0.9930500000000001				
817	0.9930500000000001				
818	0.99245				
819	0.9903400000000001				
820	0.98929				
821	0.9865				
822	0.98368				
823	0.9798300000000001				
824	0.97955				
825	0.9783799999999999				
826	0.97553				
827	0.97516				
828	0.97292				
829	0.97518				
830	0.97693				
831	0.98083				
832	0.9787699999999999				
833	0.98297				
834	0.98411				
835	0.98779				
836	0.98901				
837	0.99283				
838	0.99021				
839	0.99523				
840	0.9935299999999999				
841	0.9929300000000001				
842	0.9938899999999999				
843	0.99134				
844	0.9891800000000001				
845	0.98667				
846	0.98603				
847	0.98335				
848	0.98262				
849	0.9795900000000001				
850	0.97761				
851	0.97307				
852	0.9764499999999999				
853	0.97682				
854	0.97494				
855	0.9795				
856	0.97859				
857	0.9773099999999999				
858	0.98051				
859	0.9815600000000001				
860	0.9871				
861	0.99107				
862	0.99122				
863	0.99222				
864	0.99297				
865	0.99878				
866	0.98797				
867	0.98969				
868	0.9931699999999999				
869	0.9887900000000001				
870	0.99127				
871	0.98265				
872	0.98257				
873	0.9838				
874	0.98074				
875	0.9680599999999999				
876	0.98566				
877	0.97116				
878	0.9774200000000001				
879	0.98028				
880	0.98084				
881	0.9720099999999999				
882	0.9748600000000001				
883	0.96858				
884	0.98154				
885	0.98311				
886	0.98478				
887	0.98619				
888	0.98739				
889	0.9884499999999999				
890	0.9892400000000001				
891	0.99				
892	0.9901300000000001				
893	0.9901800000000001				
894	0.98965				
895	0.9891599999999999				
896	0.98847				
897	0.9868000000000001				
898	0.9855700000000001				
899	0.98438				
900	0.98304				
