Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
500	0.97355	#838383	Omega	500-1000AR Beam Splitter	W4749
501	0.97405				
502	0.97407				
503	0.973				
504	0.9731399999999999				
505	0.9725400000000001				
506	0.9741200000000001				
507	0.97455				
508	0.97379				
509	0.97217				
510	0.9743600000000001				
511	0.97347				
512	0.9732599999999999				
513	0.9731399999999999				
514	0.9727				
515	0.97222				
516	0.9738500000000001				
517	0.9721500000000001				
518	0.97317				
519	0.97327				
520	0.97423				
521	0.9736499999999999				
522	0.9733799999999999				
523	0.97397				
524	0.9729800000000001				
525	0.97324				
526	0.97414				
527	0.9735299999999999				
528	0.97363				
529	0.9732999999999999				
530	0.9732299999999999				
531	0.9738899999999999				
532	0.97437				
533	0.9727				
534	0.97514				
535	0.97386				
536	0.97301				
537	0.97351				
538	0.97414				
539	0.9743999999999999				
540	0.97383				
541	0.9749899999999999				
542	0.97492				
543	0.9741599999999999				
544	0.97552				
545	0.97404				
546	0.97367				
547	0.97372				
548	0.97531				
549	0.97344				
550	0.9736				
551	0.97383				
552	0.97442				
553	0.97464				
554	0.97481				
555	0.9742700000000001				
556	0.97434				
557	0.97556				
558	0.9736499999999999				
559	0.9753499999999999				
560	0.97587				
561	0.97515				
562	0.97512				
563	0.97307				
564	0.97478				
565	0.9736899999999999				
566	0.97433				
567	0.97497				
568	0.97392				
569	0.97301				
570	0.97395				
571	0.97462				
572	0.97357				
573	0.97559				
574	0.97405				
575	0.9740099999999999				
576	0.9742700000000001				
577	0.97393				
578	0.9739				
579	0.9743600000000001				
580	0.97434				
581	0.97244				
582	0.97418				
583	0.97398				
584	0.9751000000000001				
585	0.9747499999999999				
586	0.97391				
587	0.9740000000000001				
588	0.97417				
589	0.97518				
590	0.9753799999999999				
591	0.9741				
592	0.9730200000000001				
593	0.9756				
594	0.9754999999999999				
595	0.97506				
596	0.97332				
597	0.9744499999999999				
598	0.9737300000000001				
599	0.9722700000000001				
600	0.97449				
601	0.97468				
602	0.97399				
603	0.9718600000000001				
604	0.9732999999999999				
605	0.9728				
606	0.97433				
607	0.9731000000000001				
608	0.9721				
609	0.9726				
610	0.97178				
611	0.97276				
612	0.97265				
613	0.97333				
614	0.97297				
615	0.9728				
616	0.97151				
617	0.9743200000000001				
618	0.9717600000000001				
619	0.97229				
620	0.9733499999999999				
621	0.97053				
622	0.97041				
623	0.9726300000000001				
624	0.97276				
625	0.97146				
626	0.97179				
627	0.97104				
628	0.9726				
629	0.97202				
630	0.96963				
631	0.9685299999999999				
632	0.96892				
633	0.96954				
634	0.9709				
635	0.9722700000000001				
636	0.97077				
637	0.96989				
638	0.9687699999999999				
639	0.9695199999999999				
640	0.97024				
641	0.9693200000000001				
642	0.9687300000000001				
643	0.9690099999999999				
644	0.96935				
645	0.96981				
646	0.9686400000000001				
647	0.96868				
648	0.96947				
649	0.96916				
650	0.96832				
651	0.96797				
652	0.96652				
653	0.9671299999999999				
654	0.96707				
655	0.96674				
656	0.9675				
657	0.96462				
658	0.9667600000000001				
659	0.96795				
660	0.96634				
661	0.96553				
662	0.9656100000000001				
663	0.9643999999999999				
664	0.9638500000000001				
665	0.9643200000000001				
666	0.96443				
667	0.9643999999999999				
668	0.9641				
669	0.9654200000000001				
670	0.96466				
671	0.96518				
672	0.9610500000000001				
673	0.96308				
674	0.96125				
675	0.96296				
676	0.96244				
677	0.96253				
678	0.96182				
679	0.9618800000000001				
680	0.96217				
681	0.96068				
682	0.96288				
683	0.96125				
684	0.9608599999999999				
685	0.96114				
686	0.95959				
687	0.9586				
688	0.95903				
689	0.96235				
690	0.95796				
691	0.95863				
692	0.95935				
693	0.95825				
694	0.95696				
695	0.95746				
696	0.95753				
697	0.95678				
698	0.95635				
699	0.9565				
700	0.95639				
701	0.95659				
702	0.95517				
703	0.95662				
704	0.9555800000000001				
705	0.95628				
706	0.9554600000000001				
707	0.9551900000000001				
708	0.9549599999999999				
709	0.95378				
710	0.9547599999999999				
711	0.95306				
712	0.95352				
713	0.9556600000000001				
714	0.9542499999999999				
715	0.9538800000000001				
716	0.9534699999999999				
717	0.95223				
718	0.95286				
719	0.9538800000000001				
720	0.95265				
721	0.95411				
722	0.95298				
723	0.9534199999999999				
724	0.95357				
725	0.9531000000000001				
726	0.95575				
727	0.9544				
728	0.9510200000000001				
729	0.9510599999999999				
730	0.95477				
731	0.9527800000000001				
732	0.9510500000000001				
733	0.95085				
734	0.9503400000000001				
735	0.9523699999999999				
736	0.9527599999999999				
737	0.95235				
738	0.94929				
739	0.95321				
740	0.95404				
741	0.95289				
742	0.95249				
743	0.9523600000000001				
744	0.94813				
745	0.9520099999999999				
746	0.95163				
747	0.95187				
748	0.9522700000000001				
749	0.94986				
750	0.94866				
751	0.94952				
752	0.94745				
753	0.94908				
754	0.95128				
755	0.95081				
756	0.94879				
757	0.95053				
758	0.9470099999999999				
759	0.9501999999999999				
760	0.95006				
761	0.94789				
762	0.94793				
763	0.9480500000000001				
764	0.9499599999999999				
765	0.9494400000000001				
766	0.95274				
767	0.95178				
768	0.94788				
769	0.95123				
770	0.94599				
771	0.9519799999999999				
772	0.94768				
773	0.9517				
774	0.94894				
775	0.94611				
776	0.9484999999999999				
777	0.9501000000000001				
778	0.9498000000000001				
779	0.9466100000000001				
780	0.94949				
781	0.95163				
782	0.9506				
783	0.94899				
784	0.9481999999999999				
785	0.95352				
786	0.94982				
787	0.9486				
788	0.94742				
789	0.9497599999999999				
790	0.9460500000000001				
791	0.94949				
792	0.95182				
793	0.94818				
794	0.95119				
795	0.95194				
796	0.9468300000000001				
797	0.94667				
798	0.94929				
799	0.9531000000000001				
800	0.95084				
801	0.9476				
802	0.9492499999999999				
803	0.9544				
804	0.95185				
805	0.9491299999999999				
806	0.9522700000000001				
807	0.9494199999999999				
808	0.95042				
809	0.94876				
810	0.9515				
811	0.95108				
812	0.9468099999999999				
