Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
450	0.98014	#838383	Omega	550DCSP Dichroic	W4775
451	0.98229				
452	0.9832299999999999				
453	0.98288				
454	0.9838				
455	0.98429				
456	0.98565				
457	0.9856199999999999				
458	0.98651				
459	0.9865				
460	0.9856100000000001				
461	0.98583				
462	0.9856				
463	0.98819				
464	0.98763				
465	0.98798				
466	0.98706				
467	0.98886				
468	0.9892700000000001				
469	0.98737				
470	0.9879000000000001				
471	0.98983				
472	0.99131				
473	0.9891				
474	0.9915				
475	0.99053				
476	0.99177				
477	0.99196				
478	0.993				
479	0.99198				
480	0.99151				
481	0.9905200000000001				
482	0.99263				
483	0.9923099999999999				
484	0.99155				
485	0.9921099999999999				
486	0.9909				
487	0.9919100000000001				
488	0.9922799999999999				
489	0.99143				
490	0.9902200000000001				
491	0.99194				
492	0.99098				
493	0.99141				
494	0.99112				
495	0.98976				
496	0.9901399999999999				
497	0.99053				
498	0.9892799999999999				
499	0.9885200000000001				
500	0.98807				
501	0.98726				
502	0.98631				
503	0.9867400000000001				
504	0.98708				
505	0.98712				
506	0.98726				
507	0.9863200000000001				
508	0.98655				
509	0.9873000000000001				
510	0.98693				
511	0.98783				
512	0.98722				
513	0.98824				
514	0.9882299999999999				
515	0.98885				
516	0.98956				
517	0.98811				
518	0.9880599999999999				
519	0.9887600000000001				
520	0.98827				
521	0.9860899999999999				
522	0.98524				
523	0.98398				
524	0.9813200000000001				
525	0.97867				
526	0.97796				
527	0.97322				
528	0.96899				
529	0.9614				
530	0.9555500000000001				
531	0.9483499999999999				
532	0.9381				
533	0.92782				
534	0.91366				
535	0.89813				
536	0.8789199999999999				
537	0.86138				
538	0.8428				
539	0.82406				
540	0.79996				
541	0.77633				
542	0.75606				
543	0.73289				
544	0.7096399999999999				
545	0.68548				
546	0.66289				
547	0.63291				
548	0.6101				
549	0.5855400000000001				
550	0.5552				
551	0.5268				
552	0.49817999999999996				
553	0.46269				
554	0.43328000000000005				
555	0.40034				
556	0.37065				
557	0.3369				
558	0.31325				
559	0.28113				
560	0.2522				
561	0.23282				
562	0.21023				
563	0.191				
564	0.17309999999999998				
565	0.15588				
566	0.13897				
567	0.12592				
568	0.11562				
569	0.10533				
570	0.09477000000000001				
571	0.08705				
572	0.0784				
573	0.07203				
574	0.06807				
575	0.06156				
576	0.056760000000000005				
577	0.051719999999999995				
578	0.04822				
579	0.04391				
580	0.040389999999999995				
581	0.037989999999999996				
582	0.035699999999999996				
583	0.032440000000000004				
584	0.030369999999999998				
585	0.02852				
586	0.02754				
587	0.026000000000000002				
588	0.0239				
589	0.022000000000000002				
590	0.02113				
591	0.020259999999999997				
592	0.01915				
593	0.016730000000000002				
594	0.01692				
595	0.01599				
596	0.01517				
597	0.01444				
598	0.013879999999999998				
599	0.012929999999999999				
600	0.01224				
601	0.012969999999999999				
602	0.01085				
603	0.010620000000000001				
604	0.011040000000000001				
605	0.0106				
606	0.01114				
607	0.0102				
608	0.00989				
609	0.00978				
610	0.00866				
611	0.00852				
612	0.00851				
613	0.00846				
614	0.00853				
615	0.00732				
616	0.008060000000000001				
617	0.0066300000000000005				
618	0.00732				
619	0.00656				
620	0.005639999999999999				
621	0.00733				
622	0.00621				
623	0.00747				
624	0.00741				
625	0.00644				
626	0.00635				
627	0.00611				
628	0.00712				
629	0.00734				
630	0.00688				
631	0.0069099999999999995				
632	0.00687				
633	0.00724				
634	0.00643				
635	0.00609				
636	0.0067				
637	0.00746				
638	0.00748				
639	0.00907				
640	0.00749				
641	0.00863				
642	0.008199999999999999				
643	0.0076100000000000004				
644	0.00849				
645	0.00823				
646	0.00793				
647	0.010069999999999999				
648	0.007940000000000001				
649	0.00963				
650	0.00954				
