Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	0.0	#838383	Omega	535AF45/25R Bandpass	W4853
401	0.0				
402	0.0				
403	0.0				
404	1e-05				
405	0.0				
406	0.0				
407	8e-05				
408	0.0				
409	0.0				
410	1e-05				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	2e-05				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.0				
423	0.0				
424	2e-05				
425	3e-05				
426	0.0				
427	0.0				
428	0.0				
429	0.0				
430	0.0				
431	0.0				
432	0.0				
433	1e-05				
434	0.0				
435	1e-05				
436	0.0				
437	0.0				
438	0.0				
439	0.0				
440	0.0				
441	1e-05				
442	0.0				
443	0.0				
444	0.0				
445	3e-05				
446	0.0				
447	0.0				
448	0.0				
449	4e-05				
450	3e-05				
451	2e-05				
452	0.0				
453	0.0				
454	2e-05				
455	0.0				
456	1e-05				
457	1e-05				
458	1e-05				
459	0.0				
460	0.0				
461	0.0				
462	0.0				
463	1e-05				
464	0.0				
465	0.0				
466	0.0				
467	0.0				
468	3e-05				
469	0.0				
470	0.0				
471	0.0				
472	0.0				
473	0.0				
474	2e-05				
475	2e-05				
476	0.0				
477	1e-05				
478	4e-05				
479	2e-05				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	3e-05				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	1e-05				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	0.0				
497	0.0				
498	0.0				
499	0.0				
500	0.0				
501	1e-05				
502	3e-05				
503	2e-05				
504	2e-05				
505	1e-05				
506	3e-05				
507	0.00017999999999999998				
508	0.00073				
509	0.0034999999999999996				
510	0.02021				
511	0.14712				
512	0.62049				
513	0.95351				
514	0.96553				
515	0.97262				
516	0.97822				
517	0.98488				
518	0.98874				
519	0.98616				
520	0.9810800000000001				
521	0.98053				
522	0.9823999999999999				
523	0.98465				
524	0.98583				
525	0.9860500000000001				
526	0.98627				
527	0.9865				
528	0.98735				
529	0.9871800000000001				
530	0.9872799999999999				
531	0.98747				
532	0.9880800000000001				
533	0.9885200000000001				
534	0.9879300000000001				
535	0.9869100000000001				
536	0.98657				
537	0.9845				
538	0.9839199999999999				
539	0.9838				
540	0.98334				
541	0.98358				
542	0.98417				
543	0.9847499999999999				
544	0.9860899999999999				
545	0.9856900000000001				
546	0.98831				
547	0.98824				
548	0.9875700000000001				
549	0.9867				
550	0.9840300000000001				
551	0.98112				
552	0.97842				
553	0.97681				
554	0.97733				
555	0.9765699999999999				
556	0.97229				
557	0.95069				
558	0.88531				
559	0.73874				
560	0.5091				
561	0.28393				
562	0.13753				
563	0.06492				
564	0.03199				
565	0.01668				
566	0.00929				
567	0.00555				
568	0.0035299999999999997				
569	0.00234				
570	0.00166				
571	0.00128				
572	0.001				
573	0.0008				
574	0.00067				
575	0.00054				
576	0.00043				
577	0.00028000000000000003				
578	0.00021999999999999998				
579	0.00017				
580	0.00010999999999999999				
581	0.0001				
582	8e-05				
583	8e-05				
584	3e-05				
585	6e-05				
586	2e-05				
587	1e-05				
588	0.0				
589	2e-05				
590	0.0				
591	1e-05				
592	4e-05				
593	0.0				
594	0.0				
595	7.000000000000001e-05				
596	1e-05				
597	0.0				
598	0.0				
599	1e-05				
600	0.0				
601	1e-05				
602	1e-05				
603	0.0				
604	2e-05				
605	1e-05				
606	0.0				
607	0.0				
608	0.0				
609	0.0				
610	1e-05				
611	0.0				
612	1e-05				
613	2e-05				
614	0.0				
615	2e-05				
616	1e-05				
617	2e-05				
618	0.0				
619	8.999999999999999e-05				
620	0.0				
621	1e-05				
622	0.0				
623	0.0				
624	0.0				
625	1e-05				
626	0.0				
627	1e-05				
628	0.0				
629	0.0				
630	2e-05				
631	1e-05				
632	0.0				
633	0.0				
634	0.0				
635	0.0				
636	0.0				
637	0.0				
638	0.0				
639	0.0				
640	0.0				
641	0.0				
642	2e-05				
643	0.0				
644	2e-05				
645	0.0				
646	0.0				
647	3e-05				
648	0.0				
649	2e-05				
650	0.0				
