Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
600	0.9559000000000001	#838383	Omega	638AESP Shortpass	W5029
601	0.9553400000000001				
602	0.9557599999999999				
603	0.95694				
604	0.9575				
605	0.95784				
606	0.9579099999999999				
607	0.95736				
608	0.9560299999999999				
609	0.9540900000000001				
610	0.95215				
611	0.95226				
612	0.9529099999999999				
613	0.9543699999999999				
614	0.95611				
615	0.95636				
616	0.956				
617	0.95482				
618	0.9535399999999999				
619	0.95259				
620	0.95309				
621	0.95404				
622	0.95533				
623	0.95467				
624	0.95274				
625	0.95084				
626	0.9495399999999999				
627	0.95015				
628	0.95292				
629	0.9549599999999999				
630	0.9537399999999999				
631	0.9484999999999999				
632	0.9427500000000001				
633	0.9413800000000001				
634	0.9449299999999999				
635	0.94891				
636	0.9460299999999999				
637	0.9292				
638	0.78956				
639	0.41024				
640	0.11634				
641	0.027999999999999997				
642	0.00749				
643	0.0022500000000000003				
644	0.00075				
645	0.00032				
646	0.0001				
647	6e-05				
648	2e-05				
649	4e-05				
650	2e-05				
651	3e-05				
652	0.0				
653	0.0				
654	2e-05				
655	0.0				
656	2e-05				
657	0.0				
658	0.0				
659	0.0				
660	0.0				
661	0.0				
662	0.0				
663	0.0				
664	2e-05				
665	4e-05				
666	0.0				
667	4e-05				
668	0.0				
669	0.0				
670	0.0				
671	2e-05				
672	0.0				
673	1e-05				
674	1e-05				
675	3e-05				
676	0.0				
677	1e-05				
678	0.0				
679	1e-05				
680	0.0				
681	0.0				
682	0.0				
683	0.0				
684	0.0				
685	0.0				
686	4e-05				
687	0.0				
688	0.0				
689	1e-05				
690	2e-05				
691	0.0				
692	1e-05				
693	0.0				
694	0.0				
695	0.0				
696	0.0				
697	0.0				
698	2e-05				
699	0.0				
700	0.0				
