Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
630	1e-05	#838383	Omega	705AF30 Bandpass	W5072
631	0.0				
632	0.0				
633	1e-05				
634	0.0				
635	2e-05				
636	0.0				
637	4e-05				
638	2e-05				
639	4e-05				
640	3e-05				
641	3e-05				
642	2e-05				
643	2e-05				
644	0.0				
645	2e-05				
646	4e-05				
647	7.000000000000001e-05				
648	0.0				
649	0.0				
650	0.0				
651	0.0				
652	0.0				
653	5e-05				
654	0.0				
655	0.0				
656	0.0				
657	3e-05				
658	0.0				
659	0.0				
660	1e-05				
661	0.0				
662	0.0				
663	0.0				
664	0.0				
665	1e-05				
666	0.0				
667	2e-05				
668	0.0				
669	0.0001				
670	1e-05				
671	1e-05				
672	0.0				
673	0.0				
674	0.0				
675	6e-05				
676	6e-05				
677	6e-05				
678	0.0001				
679	0.00021				
680	0.00033				
681	0.00054				
682	0.00104				
683	0.00222				
684	0.00491				
685	0.011890000000000001				
686	0.03238				
687	0.0946				
688	0.27181				
689	0.59443				
690	0.84954				
691	0.9261400000000001				
692	0.9369299999999999				
693	0.94086				
694	0.93961				
695	0.93458				
696	0.9325100000000001				
697	0.93354				
698	0.93574				
699	0.93741				
700	0.93938				
701	0.9386				
702	0.93857				
703	0.93926				
704	0.9388500000000001				
705	0.9383499999999999				
706	0.93577				
707	0.9333899999999999				
708	0.93471				
709	0.93294				
710	0.93316				
711	0.9298000000000001				
712	0.92649				
713	0.9220999999999999				
714	0.91903				
715	0.9145300000000001				
716	0.90789				
717	0.89259				
718	0.83217				
719	0.6525				
720	0.36899				
721	0.15381				
722	0.057300000000000004				
723	0.02174				
724	0.0089				
725	0.00388				
726	0.00189				
727	0.00096				
728	0.00052				
729	0.00026				
730	0.00013				
731	0.0001				
732	0.00010999999999999999				
733	4e-05				
734	0.0001				
735	5e-05				
736	8.999999999999999e-05				
737	0.0				
738	3e-05				
739	3e-05				
740	3e-05				
741	0.0				
742	0.0				
743	2e-05				
744	0.0				
745	5e-05				
746	0.0				
747	0.0				
748	1e-05				
749	0.0				
750	0.0				
751	4e-05				
752	0.0				
753	1e-05				
754	0.0				
755	0.0				
756	1e-05				
757	2e-05				
758	0.0				
759	0.0				
760	0.0				
761	3e-05				
762	1e-05				
763	0.0				
764	0.0				
765	0.0				
766	1e-05				
767	1e-05				
768	0.0				
769	8e-05				
770	1e-05				
771	1e-05				
772	0.0				
773	0.0				
774	0.0				
775	1e-05				
776	0.0				
777	6e-05				
778	2e-05				
779	0.0				
780	1e-05				
