Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
600	0.0	#838383	Omega	630.8DF4.5 Bandpass	W5101
601	0.0				
602	0.0				
603	0.0				
604	3e-05				
605	0.0				
606	0.0				
607	2e-05				
608	2e-05				
609	0.0				
610	0.0				
611	0.0				
612	2e-05				
613	0.0				
614	0.0				
615	1e-05				
616	0.0				
617	0.0				
618	0.0				
619	0.0				
620	0.0				
621	3e-05				
622	8e-05				
623	0.00013				
624	0.0007599999999999999				
625	0.00314				
626	0.01518				
627	0.10653				
628	0.39286				
629	0.74508				
630	0.90575				
631	0.90077				
632	0.7684399999999999				
633	0.46755				
634	0.1705				
635	0.03365				
636	0.00545				
637	0.00111				
638	0.00025				
639	8.999999999999999e-05				
640	0.0				
641	2e-05				
642	1e-05				
643	0.0				
644	2e-05				
645	2e-05				
646	0.0				
647	0.0				
648	0.0				
649	0.0				
650	0.0				
651	0.0				
652	0.0				
653	0.0				
654	0.0				
655	0.0				
656	2e-05				
657	0.0				
658	1e-05				
659	0.0				
660	0.0				
661	2e-05				
662	0.0				
663	0.0				
664	0.0				
665	3e-05				
666	0.0				
667	0.0				
668	0.0				
669	1e-05				
670	2e-05				
671	0.0				
672	0.0				
673	1e-05				
674	0.0				
675	4e-05				
676	0.0				
677	0.0				
678	0.0				
679	0.0				
680	2e-05				
681	0.0				
682	0.0				
683	0.0				
684	0.0				
685	2e-05				
686	0.0				
687	2e-05				
688	0.0				
689	3e-05				
690	0.0				
691	1e-05				
692	0.0				
693	0.0				
694	1e-05				
695	1e-05				
696	3e-05				
697	0.0				
698	0.0				
699	0.0				
