Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
500	0.0	#838383	Omega	530/660DB Dual Band	W5295
501	0.0				
502	1e-05				
503	0.0				
504	3e-05				
505	5e-05				
506	4e-05				
507	7.000000000000001e-05				
508	0.0001				
509	0.00016				
510	0.00025				
511	0.00043				
512	0.00083				
513	0.00161				
514	0.00363				
515	0.00889				
516	0.024220000000000002				
517	0.07734				
518	0.23097				
519	0.43845				
520	0.52649				
521	0.46863999999999995				
522	0.4154				
523	0.43085999999999997				
524	0.49404000000000003				
525	0.57846				
526	0.65759				
527	0.71289				
528	0.7440399999999999				
529	0.76292				
530	0.77875				
531	0.79538				
532	0.81124				
533	0.8204300000000001				
534	0.8207800000000001				
535	0.80578				
536	0.77413				
537	0.7303400000000001				
538	0.6890000000000001				
539	0.6671299999999999				
540	0.67729				
541	0.68533				
542	0.59851				
543	0.39628				
544	0.1925				
545	0.07736				
546	0.03096				
547	0.013560000000000001				
548	0.0064800000000000005				
549	0.00338				
550	0.00189				
551	0.0011200000000000001				
552	0.0007199999999999999				
553	0.00042				
554	0.00032				
555	0.00023				
556	0.00014000000000000001				
557	0.0001				
558	8.999999999999999e-05				
559	8e-05				
560	3e-05				
561	2e-05				
562	1e-05				
563	2e-05				
564	3e-05				
565	0.0				
566	1e-05				
567	3e-05				
568	1e-05				
569	1e-05				
570	1e-05				
571	1e-05				
572	2e-05				
573	0.0				
574	1e-05				
575	0.0				
576	1e-05				
577	1e-05				
578	0.0				
579	0.0				
580	0.0				
581	0.0				
582	0.0				
583	2e-05				
584	0.0				
585	0.0				
586	1e-05				
587	3e-05				
588	4e-05				
589	0.0				
590	1e-05				
591	3e-05				
592	2e-05				
593	2e-05				
594	1e-05				
595	0.0				
596	1e-05				
597	0.0				
598	2e-05				
599	2e-05				
600	0.0				
601	0.0				
602	3e-05				
603	1e-05				
604	1e-05				
605	1e-05				
606	5e-05				
607	2e-05				
608	2e-05				
609	5e-05				
610	7.000000000000001e-05				
611	4e-05				
612	6e-05				
613	8e-05				
614	0.00012				
615	0.00014000000000000001				
616	0.00016				
617	0.00021999999999999998				
618	0.00026				
619	0.00035000000000000005				
620	0.00049				
621	0.00062				
622	0.0008699999999999999				
623	0.00121				
624	0.0017100000000000001				
625	0.00242				
626	0.0035299999999999997				
627	0.00534				
628	0.008329999999999999				
629	0.01344				
630	0.022690000000000002				
631	0.03989				
632	0.07441				
633	0.14571				
634	0.28151				
635	0.48491999999999996				
636	0.67361				
637	0.7292799999999999				
638	0.66034				
639	0.55986				
640	0.48503999999999997				
641	0.44165999999999994				
642	0.42202				
643	0.41902				
644	0.42794				
645	0.44624				
646	0.47123				
647	0.50108				
648	0.53437				
649	0.56943				
650	0.60456				
651	0.63842				
652	0.67109				
653	0.70073				
654	0.7274299999999999				
655	0.7507699999999999				
656	0.76999				
657	0.78522				
658	0.79548				
659	0.80136				
660	0.8026300000000001				
661	0.7992				
662	0.79189				
663	0.78154				
664	0.76911				
665	0.7549899999999999				
666	0.74155				
667	0.72847				
668	0.71816				
669	0.7104600000000001				
670	0.7064400000000001				
671	0.70695				
672	0.71262				
673	0.72384				
674	0.7404999999999999				
675	0.7619				
676	0.78377				
677	0.80119				
678	0.80415				
679	0.7815000000000001				
680	0.72456				
681	0.63457				
682	0.52623				
683	0.41432				
684	0.31367				
685	0.23289				
686	0.17195				
687	0.12686				
688	0.09433				
689	0.07099				
690	0.05408				
691	0.041769999999999995				
692	0.03268				
693	0.02587				
694	0.02076				
695	0.01686				
696	0.01379				
697	0.01131				
698	0.00942				
699	0.00788				
700	0.00657				
