Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
500	0.5386099999999999	#838383	Omega	710DCLP Dichroic	W5365
501	0.55194				
502	0.562				
503	0.56931				
504	0.57448				
505	0.57874				
506	0.5832				
507	0.5888				
508	0.59689				
509	0.6074				
510	0.61983				
511	0.63288				
512	0.64565				
513	0.6555599999999999				
514	0.66169				
515	0.6623399999999999				
516	0.65602				
517	0.64292				
518	0.6224799999999999				
519	0.5954				
520	0.5627				
521	0.52662				
522	0.48784				
523	0.44841000000000003				
524	0.40908				
525	0.37195				
526	0.33668				
527	0.30417				
528	0.27464				
529	0.24806				
530	0.2243				
531	0.203				
532	0.18417999999999998				
533	0.16765				
534	0.15271				
535	0.13955				
536	0.12789999999999999				
537	0.11757999999999999				
538	0.10837				
539	0.1001				
540	0.09275				
541	0.08617000000000001				
542	0.08019				
543	0.07486				
544	0.06991				
545	0.06553				
546	0.06165				
547	0.05819				
548	0.055099999999999996				
549	0.05225				
550	0.04966				
551	0.047259999999999996				
552	0.045110000000000004				
553	0.04311				
554	0.04125				
555	0.039599999999999996				
556	0.03803				
557	0.03662				
558	0.03528				
559	0.03407				
560	0.03295				
561	0.031920000000000004				
562	0.030950000000000002				
563	0.03004				
564	0.0292				
565	0.02841				
566	0.027679999999999996				
567	0.027000000000000003				
568	0.026459999999999997				
569	0.025939999999999998				
570	0.02549				
571	0.025070000000000002				
572	0.02469				
573	0.02435				
574	0.02403				
575	0.02377				
576	0.0235				
577	0.02329				
578	0.023090000000000003				
579	0.022949999999999998				
580	0.02282				
581	0.0227				
582	0.022629999999999997				
583	0.02257				
584	0.02253				
585	0.02252				
586	0.02253				
587	0.02257				
588	0.02262				
589	0.022709999999999998				
590	0.02278				
591	0.02289				
592	0.02303				
593	0.02318				
594	0.023330000000000004				
595	0.02349				
596	0.02368				
597	0.02391				
598	0.02411				
599	0.024319999999999998				
600	0.02456				
601	0.024780000000000003				
602	0.02505				
603	0.02528				
604	0.025550000000000003				
605	0.025830000000000002				
606	0.02609				
607	0.02636				
608	0.02666				
609	0.026949999999999998				
610	0.02727				
611	0.02757				
612	0.02791				
613	0.02825				
614	0.028610000000000003				
615	0.028990000000000002				
616	0.02939				
617	0.02981				
618	0.03025				
619	0.03071				
620	0.031190000000000002				
621	0.031709999999999995				
622	0.03225				
623	0.03283				
624	0.033460000000000004				
625	0.03412				
626	0.0348				
627	0.035539999999999995				
628	0.03629				
629	0.0371				
630	0.037970000000000004				
631	0.038849999999999996				
632	0.0398				
633	0.04077				
634	0.04182				
635	0.042910000000000004				
636	0.044039999999999996				
637	0.04524				
638	0.04646				
639	0.04774				
640	0.04912				
641	0.050519999999999995				
642	0.052000000000000005				
643	0.053520000000000005				
644	0.05514				
645	0.05681				
646	0.05854				
647	0.06034				
648	0.062220000000000004				
649	0.06415				
650	0.0662				
651	0.0683				
652	0.0705				
653	0.07278				
654	0.07518				
655	0.07766				
656	0.0802				
657	0.08288999999999999				
658	0.08571				
659	0.08861000000000001				
660	0.09163				
661	0.09480000000000001				
662	0.09812				
663	0.10154999999999999				
664	0.10507999999999999				
665	0.10882				
666	0.11268				
667	0.1168				
668	0.12089				
669	0.12534				
670	0.12992				
671	0.13462				
672	0.13961				
673	0.14476				
674	0.15012				
675	0.15569				
676	0.16144999999999998				
677	0.16756000000000001				
678	0.17384				
679	0.18035				
680	0.18719999999999998				
681	0.19425				
682	0.20149				
683	0.20914000000000002				
684	0.217				
685	0.22521999999999998				
686	0.23378				
687	0.24259				
688	0.25156				
689	0.26097000000000004				
690	0.27066				
691	0.2805				
692	0.29077000000000003				
693	0.30121				
694	0.31207				
695	0.32314				
696	0.33448999999999995				
697	0.34595				
698	0.35789000000000004				
699	0.37004				
700	0.38229				
701	0.39466				
702	0.40735				
703	0.4201				
704	0.43310000000000004				
705	0.44624				
706	0.45938				
707	0.47247999999999996				
708	0.48591999999999996				
709	0.499				
710	0.51219				
711	0.5252				
712	0.53828				
713	0.55131				
714	0.56399				
715	0.5766100000000001				
716	0.58896				
717	0.60119				
718	0.61343				
719	0.62475				
720	0.63639				
721	0.64748				
722	0.6584399999999999				
723	0.6693000000000001				
724	0.6796500000000001				
725	0.6897199999999999				
726	0.69939				
727	0.7093200000000001				
728	0.71795				
729	0.72697				
730	0.7358499999999999				
731	0.7438800000000001				
732	0.75228				
733	0.76031				
734	0.76744				
735	0.77497				
736	0.78205				
737	0.78885				
738	0.79537				
739	0.80157				
740	0.80797				
741	0.81377				
742	0.81959				
743	0.82502				
744	0.82977				
745	0.83494				
746	0.83982				
747	0.84387				
748	0.84795				
749	0.85165				
750	0.85532				
751	0.85816				
752	0.8615200000000001				
753	0.86406				
754	0.8667199999999999				
755	0.86909				
756	0.8708499999999999				
757	0.87247				
758	0.87372				
759	0.8753700000000001				
760	0.87642				
761	0.87739				
762	0.8784399999999999				
763	0.87887				
764	0.8792300000000001				
765	0.87964				
766	0.88004				
767	0.88022				
768	0.8805				
769	0.88043				
770	0.8805				
771	0.88099				
772	0.8808199999999999				
773	0.8808499999999999				
774	0.88056				
775	0.88119				
776	0.8804900000000001				
777	0.88039				
778	0.8812000000000001				
779	0.8811599999999999				
780	0.88161				
781	0.8817400000000001				
782	0.8817				
