Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	0.50082	#838383	Omega	50/50 QMAX Beam Splitter	W5367
401	0.49832				
402	0.4975				
403	0.49658				
404	0.49577				
405	0.49521				
406	0.49390999999999996				
407	0.4941				
408	0.49354				
409	0.49322000000000005				
410	0.49248				
411	0.49227				
412	0.49276000000000003				
413	0.49199				
414	0.49231				
415	0.49309				
416	0.49315				
417	0.49357				
418	0.49398000000000003				
419	0.49451				
420	0.49493000000000004				
421	0.49526000000000003				
422	0.49593000000000004				
423	0.49579				
424	0.49648000000000003				
425	0.4972				
426	0.49902				
427	0.4984				
428	0.49965000000000004				
429	0.50006				
430	0.50103				
431	0.50298				
432	0.50356				
433	0.50489				
434	0.50547				
435	0.50739				
436	0.50812				
437	0.50894				
438	0.51012				
439	0.51051				
440	0.51251				
441	0.51325				
442	0.51335				
443	0.5149199999999999				
444	0.5153300000000001				
445	0.51646				
446	0.51644				
447	0.5180899999999999				
448	0.5184599999999999				
449	0.51893				
450	0.51987				
451	0.51933				
452	0.52027				
453	0.5208400000000001				
454	0.5207200000000001				
455	0.52018				
456	0.52008				
457	0.52064				
458	0.51954				
459	0.51991				
460	0.51997				
461	0.51936				
462	0.51911				
463	0.5190100000000001				
464	0.51879				
465	0.51784				
466	0.51773				
467	0.51642				
468	0.51591				
469	0.5163300000000001				
470	0.51503				
471	0.51464				
472	0.51424				
473	0.51397				
474	0.51271				
475	0.51202				
476	0.51205				
477	0.51142				
478	0.51068				
479	0.5106499999999999				
480	0.51046				
481	0.50892				
482	0.50883				
483	0.5077				
484	0.5080100000000001				
485	0.50812				
486	0.50737				
487	0.50713				
488	0.50729				
489	0.50592				
490	0.50591				
491	0.50552				
492	0.5057699999999999				
493	0.5054500000000001				
494	0.50528				
495	0.5043				
496	0.50441				
497	0.50429				
498	0.50409				
499	0.50486				
500	0.50475				
501	0.50396				
502	0.50448				
503	0.50388				
504	0.5043099999999999				
505	0.5043				
506	0.50317				
507	0.50351				
508	0.50298				
509	0.50428				
510	0.5038				
511	0.50344				
512	0.50405				
513	0.5033299999999999				
514	0.50351				
515	0.50264				
516	0.5029399999999999				
517	0.5036200000000001				
518	0.50381				
519	0.50366				
520	0.50392				
521	0.50422				
522	0.50349				
523	0.50426				
524	0.50387				
525	0.50393				
526	0.50409				
527	0.50356				
528	0.50441				
529	0.5042				
530	0.504				
531	0.5041599999999999				
532	0.50448				
533	0.50412				
534	0.50446				
535	0.50497				
536	0.5044				
537	0.5041599999999999				
538	0.50422				
539	0.5047200000000001				
540	0.50464				
541	0.50507				
542	0.50561				
543	0.5049				
544	0.50644				
545	0.50548				
546	0.5056499999999999				
547	0.50563				
548	0.50571				
549	0.5063799999999999				
550	0.50543				
551	0.50691				
552	0.50574				
553	0.5060199999999999				
554	0.50765				
555	0.50733				
556	0.5074000000000001				
557	0.50716				
558	0.50646				
559	0.50624				
560	0.50656				
561	0.50714				
562	0.50656				
563	0.50836				
564	0.50836				
565	0.50848				
566	0.5081600000000001				
567	0.50808				
568	0.50812				
569	0.5081				
570	0.5077900000000001				
571	0.50874				
572	0.5091100000000001				
573	0.50866				
574	0.50909				
575	0.50866				
576	0.5084599999999999				
577	0.50897				
578	0.5092				
579	0.50834				
580	0.5087700000000001				
581	0.51				
582	0.50966				
583	0.51031				
584	0.51003				
585	0.5104500000000001				
586	0.50922				
587	0.51079				
588	0.51123				
589	0.51125				
590	0.5119				
591	0.51146				
592	0.51176				
593	0.51088				
594	0.51131				
595	0.51198				
596	0.513				
597	0.5123599999999999				
598	0.5128199999999999				
599	0.5115500000000001				
600	0.51319				
601	0.51343				
602	0.5131				
603	0.51524				
604	0.51318				
605	0.51418				
606	0.5142				
607	0.5144299999999999				
608	0.51421				
609	0.515				
610	0.5159400000000001				
611	0.51537				
612	0.51571				
613	0.51606				
614	0.51549				
615	0.51568				
616	0.5166				
617	0.51628				
618	0.51763				
619	0.51574				
620	0.51788				
621	0.51761				
622	0.5176				
623	0.51812				
624	0.51859				
625	0.51764				
626	0.51915				
627	0.51882				
628	0.51934				
629	0.5194				
630	0.52075				
631	0.52015				
632	0.51995				
633	0.52034				
634	0.5212100000000001				
635	0.52065				
636	0.51978				
637	0.5220400000000001				
638	0.52022				
639	0.52024				
640	0.52149				
641	0.52139				
642	0.52149				
643	0.5221800000000001				
644	0.52241				
645	0.52246				
646	0.52189				
647	0.52303				
648	0.52235				
649	0.52203				
650	0.52271				
651	0.52266				
652	0.52291				
653	0.52179				
654	0.52222				
655	0.5214099999999999				
656	0.52302				
657	0.52318				
658	0.52237				
659	0.52172				
660	0.5219				
661	0.52183				
662	0.52245				
663	0.52212				
664	0.5228				
665	0.52116				
666	0.52228				
667	0.52086				
668	0.5226				
669	0.52043				
670	0.52156				
671	0.52208				
672	0.52071				
673	0.52166				
674	0.52099				
675	0.52111				
676	0.52125				
677	0.52198				
678	0.52148				
679	0.51975				
680	0.5206000000000001				
681	0.51954				
682	0.52048				
683	0.52054				
684	0.51853				
685	0.51952				
686	0.5186999999999999				
687	0.51891				
688	0.51933				
689	0.5191				
690	0.51925				
691	0.51905				
692	0.51856				
693	0.51822				
694	0.51599				
695	0.51656				
696	0.51686				
697	0.51708				
698	0.5173599999999999				
699	0.51607				
700	0.51698				
701	0.51639				
702	0.51651				
703	0.51569				
704	0.51587				
705	0.5160399999999999				
706	0.51557				
707	0.51563				
708	0.51509				
709	0.51615				
710	0.51334				
711	0.51478				
712	0.51461				
713	0.5139				
714	0.51473				
715	0.5132				
716	0.51437				
717	0.51306				
718	0.51269				
719	0.5137700000000001				
720	0.51467				
721	0.51327				
722	0.51477				
723	0.51345				
724	0.5122599999999999				
725	0.51342				
726	0.51405				
727	0.51385				
728	0.51234				
729	0.51052				
730	0.51222				
731	0.51193				
732	0.51263				
733	0.51137				
734	0.51076				
735	0.51468				
736	0.512				
737	0.51118				
738	0.51086				
739	0.51442				
740	0.51142				
741	0.5101				
742	0.5097999999999999				
743	0.51262				
744	0.51256				
745	0.51031				
746	0.5109400000000001				
747	0.5104				
748	0.51076				
749	0.51162				
750	0.50903				
751	0.51009				
752	0.51158				
753	0.50827				
754	0.50895				
755	0.50938				
756	0.50874				
757	0.5086200000000001				
758	0.5081				
759	0.5110199999999999				
760	0.51122				
761	0.51009				
762	0.51174				
763	0.51118				
764	0.51169				
765	0.5110199999999999				
766	0.51077				
767	0.5116299999999999				
768	0.51157				
769	0.5119				
770	0.51079				
771	0.5093				
772	0.51144				
773	0.5109				
774	0.50836				
775	0.51086				
776	0.50977				
777	0.51059				
778	0.51088				
779	0.51027				
780	0.50964				
781	0.5095000000000001				
782	0.5072399999999999				
783	0.5091100000000001				
784	0.50634				
785	0.50976				
786	0.5082800000000001				
787	0.5087700000000001				
788	0.51047				
789	0.51018				
790	0.51075				
791	0.51181				
792	0.5110399999999999				
793	0.50928				
794	0.51015				
795	0.51002				
796	0.50833				
797	0.50759				
798	0.50793				
799	0.5111399999999999				
800	0.50762				
801	0.50886				
802	0.50948				
803	0.50904				
804	0.51001				
805	0.51161				
806	0.50644				
807	0.50739				
808	0.50745				
809	0.51129				
810	0.5085000000000001				
811	0.50643				
812	0.50904				
813	0.50991				
814	0.50888				
815	0.50949				
816	0.50973				
817	0.51097				
818	0.50956				
819	0.50795				
820	0.50792				
821	0.5093099999999999				
822	0.5086999999999999				
823	0.50753				
824	0.50922				
825	0.50908				
826	0.50895				
827	0.50925				
828	0.50891				
829	0.50817				
830	0.50832				
831	0.50958				
832	0.51039				
833	0.50716				
834	0.50798				
835	0.50834				
836	0.50916				
837	0.5057699999999999				
838	0.50896				
839	0.50669				
840	0.5091				
841	0.51178				
842	0.5087700000000001				
843	0.50784				
844	0.51078				
845	0.50993				
846	0.50467				
847	0.50704				
848	0.50757				
849	0.5096				
850	0.51182				
