Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
450	0.74541	#838383	Omega	500GSP Shortpass	W5393
451	0.75031				
452	0.76252				
453	0.77512				
454	0.78538				
455	0.78913				
456	0.78912				
457	0.7855				
458	0.7843300000000001				
459	0.7849299999999999				
460	0.78919				
461	0.79444				
462	0.79852				
463	0.8003100000000001				
464	0.7999299999999999				
465	0.79915				
466	0.79827				
467	0.79907				
468	0.7992199999999999				
469	0.8017700000000001				
470	0.80417				
471	0.8045699999999999				
472	0.80616				
473	0.8058799999999999				
474	0.80619				
475	0.80766				
476	0.80901				
477	0.8104300000000001				
478	0.8111400000000001				
479	0.81157				
480	0.81246				
481	0.8127500000000001				
482	0.8116800000000001				
483	0.81183				
484	0.8122499999999999				
485	0.81372				
486	0.81513				
487	0.81607				
488	0.8168899999999999				
489	0.8164199999999999				
490	0.8159000000000001				
491	0.81506				
492	0.81475				
493	0.8121200000000001				
494	0.8112600000000001				
495	0.8064				
496	0.80345				
497	0.8020099999999999				
498	0.80049				
499	0.7889				
500	0.75523				
501	0.71038				
502	0.66961				
503	0.50043				
504	0.18579				
505	0.0382				
506	0.00817				
507	0.00209				
508	0.00065				
509	0.00021999999999999998				
510	0.00012				
511	3e-05				
512	0.0				
513	0.0				
514	0.0				
515	0.0				
516	1e-05				
517	2e-05				
518	0.0				
519	7.000000000000001e-05				
520	0.0				
521	0.0				
522	0.0				
523	0.0				
524	0.0				
525	4e-05				
526	8e-05				
527	0.0				
528	2e-05				
529	2e-05				
530	0.0				
531	4e-05				
532	0.0				
533	0.0				
534	0.0				
535	2e-05				
536	2e-05				
537	0.0				
538	0.0				
539	0.0				
540	0.0				
541	0.0				
542	4e-05				
543	0.0				
544	2e-05				
545	3e-05				
546	1e-05				
547	1e-05				
548	2e-05				
549	4e-05				
550	2e-05				
551	0.0				
552	0.0				
553	0.0				
554	0.0				
555	1e-05				
556	0.0				
557	1e-05				
558	0.0				
559	1e-05				
560	0.0				
561	0.0				
562	4e-05				
563	2e-05				
564	3e-05				
565	0.0				
566	2e-05				
567	3e-05				
568	0.0				
569	0.0				
570	0.0				
571	1e-05				
572	0.0				
573	0.0				
574	0.0				
575	0.0				
576	0.0				
577	1e-05				
578	0.0				
579	0.0				
580	0.0				
581	0.0				
582	3e-05				
583	0.0				
584	1e-05				
585	1e-05				
586	0.0				
587	1e-05				
588	0.0				
589	0.0				
590	0.0				
591	0.0				
592	0.0				
593	1e-05				
594	0.0				
595	0.0				
596	2e-05				
597	0.0				
598	3e-05				
599	4e-05				
600	0.0				
601	4e-05				
602	0.0				
603	0.0				
604	3e-05				
605	3e-05				
606	0.0				
607	2e-05				
608	0.0				
609	3e-05				
610	0.0				
611	4e-05				
612	1e-05				
613	0.0				
614	0.0				
615	0.0				
616	0.0				
617	0.0				
618	3e-05				
619	0.0				
620	0.0				
621	1e-05				
622	2e-05				
623	3e-05				
624	0.0				
625	0.0				
626	3e-05				
627	0.0				
628	1e-05				
629	0.0				
630	0.0				
631	2e-05				
632	3e-05				
633	0.0				
634	1e-05				
635	3e-05				
636	3e-05				
637	0.0				
638	1e-05				
639	1e-05				
640	0.0				
641	2e-05				
642	3e-05				
643	0.0				
644	0.0				
645	0.0				
646	1e-05				
647	0.0				
648	3e-05				
649	0.0				
650	1e-05				
651	0.0				
652	2e-05				
653	1e-05				
654	2e-05				
655	0.0				
656	0.0				
657	1e-05				
658	0.0				
659	3e-05				
660	0.0				
661	1e-05				
662	2e-05				
663	0.0				
664	1e-05				
665	0.0				
666	0.0				
667	2e-05				
668	3e-05				
669	0.0				
670	0.0				
671	0.0				
672	0.0				
673	3e-05				
674	0.0				
675	2e-05				
676	0.0				
677	4e-05				
678	0.0				
679	1e-05				
680	0.0				
681	0.0				
682	1e-05				
683	2e-05				
684	0.0				
685	0.0				
686	0.0				
687	4e-05				
688	0.0				
689	1e-05				
690	0.0				
691	4e-05				
692	0.0				
693	5e-05				
694	0.0				
695	3e-05				
696	0.0				
697	0.0				
698	0.0				
699	0.0				
700	2e-05				
701	2e-05				
702	0.0				
703	0.0				
704	0.0				
705	0.0				
706	4e-05				
707	2e-05				
708	0.0				
709	1e-05				
710	1e-05				
711	0.0				
712	0.0				
713	0.0				
714	0.0				
715	1e-05				
716	2e-05				
717	0.0				
718	0.0				
719	1e-05				
720	0.0				
721	0.0				
722	0.0				
723	0.0				
724	0.0				
725	1e-05				
726	0.0				
727	2e-05				
728	0.0				
729	4e-05				
730	0.0				
731	2e-05				
732	0.0				
733	2e-05				
734	0.0				
735	1e-05				
736	4e-05				
737	0.0				
738	1e-05				
739	0.0				
740	0.0				
741	0.0				
742	0.0				
743	1e-05				
744	0.0				
745	0.0				
746	1e-05				
747	0.0				
748	0.0				
749	0.0				
750	2e-05				
751	3e-05				
752	0.0				
753	0.0				
754	0.0				
755	0.0				
756	0.0				
757	0.0				
758	0.0				
759	0.0				
760	1e-05				
761	0.0				
762	1e-05				
763	0.0				
764	6e-05				
765	1e-05				
766	0.0				
767	1e-05				
768	0.0				
769	0.0				
770	0.0				
771	0.0				
772	3e-05				
773	2e-05				
774	4e-05				
775	0.0				
776	0.0				
777	0.0				
778	0.0				
779	0.0				
780	0.0				
781	1e-05				
782	0.0				
783	0.0				
784	0.0				
785	0.0				
786	0.0				
787	0.0				
788	1e-05				
789	0.0				
790	0.0				
791	0.0				
792	3e-05				
793	0.0				
794	0.0				
795	0.0				
796	2e-05				
797	0.0				
798	4e-05				
799	0.0				
800	0.0				
801	0.0				
802	1e-05				
803	0.0				
804	1e-05				
805	0.0				
806	0.0				
807	0.0				
808	0.0				
809	0.0				
810	3e-05				
811	0.0				
812	0.0				
813	1e-05				
814	2e-05				
815	3e-05				
816	3e-05				
817	0.0				
818	1e-05				
819	1e-05				
820	2e-05				
821	0.0				
822	0.0				
823	0.0				
824	1e-05				
825	0.0				
826	0.0				
827	1e-05				
828	0.0				
829	5e-05				
830	0.0				
831	0.0				
832	2e-05				
833	1e-05				
834	0.0				
835	0.0				
836	1e-05				
837	1e-05				
838	0.0				
839	0.0				
840	0.0				
841	1e-05				
842	1e-05				
843	0.0				
844	1e-05				
845	0.0				
846	0.0				
847	0.0				
848	2e-05				
849	0.0				
850	4e-05				
851	0.0				
852	3e-05				
853	2e-05				
