Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#838383	Omega	435-600 DBEM Dual Band	W5450
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	1e-05				
313	0.0				
314	0.0				
315	1e-05				
316	0.0				
317	0.0				
318	1e-05				
319	0.0				
320	1e-05				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	2e-05				
328	0.0				
329	2e-05				
330	0.0				
331	1e-05				
332	0.0				
333	0.0				
334	2e-05				
335	1e-05				
336	0.0				
337	1e-05				
338	0.0				
339	0.0				
340	1e-05				
341	0.0				
342	0.0				
343	0.0				
344	1e-05				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	2e-05				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	1e-05				
357	1e-05				
358	0.0				
359	0.0				
360	0.0				
361	2e-05				
362	0.0				
363	0.0				
364	0.0				
365	2e-05				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	3e-05				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	5e-05				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	2e-05				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	4e-05				
398	0.0				
399	0.0				
400	0.0				
401	5e-05				
402	0.0				
403	3e-05				
404	0.0				
405	0.00075				
406	0.00045				
407	0.00021999999999999998				
408	0.00057				
409	0.00242				
410	0.01794				
411	0.21686				
412	0.65333				
413	0.72478				
414	0.6974800000000001				
415	0.7726900000000001				
416	0.87046				
417	0.81375				
418	0.78777				
419	0.85533				
420	0.92193				
421	0.9301900000000001				
422	0.8928499999999999				
423	0.8471599999999999				
424	0.83588				
425	0.87938				
426	0.93235				
427	0.91706				
428	0.86221				
429	0.84449				
430	0.86705				
431	0.9058799999999999				
432	0.93639				
433	0.93326				
434	0.91181				
435	0.89743				
436	0.89901				
437	0.92134				
438	0.9439700000000001				
439	0.93806				
440	0.9169799999999999				
441	0.90912				
442	0.9138299999999999				
443	0.92462				
444	0.94171				
445	0.94378				
446	0.9296800000000001				
447	0.9205				
448	0.92208				
449	0.91968				
450	0.92368				
451	0.93622				
452	0.9333100000000001				
453	0.91474				
454	0.91253				
455	0.91878				
456	0.894				
457	0.86507				
458	0.8844799999999999				
459	0.86708				
460	0.50989				
461	0.1014				
462	0.01117				
463	0.0017100000000000001				
464	0.00034				
465	6e-05				
466	8.999999999999999e-05				
467	2e-05				
468	0.0				
469	2e-05				
470	0.0				
471	0.0				
472	0.0				
473	0.0				
474	0.0				
475	2e-05				
476	0.0				
477	0.0				
478	0.0				
479	4e-05				
480	2e-05				
481	5e-05				
482	0.0				
483	0.0				
484	3e-05				
485	0.0				
486	0.0				
487	3e-05				
488	0.0				
489	1e-05				
490	0.0				
491	0.0				
492	2e-05				
493	0.0				
494	0.0				
495	0.0				
496	0.0				
497	0.0				
498	0.0				
499	1e-05				
500	0.0				
501	0.0				
502	2e-05				
503	0.0				
504	0.0				
505	0.0				
506	0.0				
507	0.0				
508	1e-05				
509	0.0				
510	0.0				
511	0.0				
512	0.0				
513	0.0				
514	0.0				
515	0.0				
516	0.0				
517	3e-05				
518	0.0				
519	0.0				
520	0.0				
521	0.0				
522	1e-05				
523	2e-05				
524	0.0				
525	0.0				
526	0.0				
527	0.0				
528	0.0				
529	0.0				
530	3e-05				
531	1e-05				
532	0.0				
533	0.0				
534	4e-05				
535	0.00014000000000000001				
536	0.00055				
537	0.00214				
538	0.01091				
539	0.07259				
540	0.4251				
541	0.85393				
542	0.87275				
543	0.9150400000000001				
544	0.95391				
545	0.94664				
546	0.93452				
547	0.93813				
548	0.94978				
549	0.95761				
550	0.95979				
551	0.9575199999999999				
552	0.95635				
553	0.95857				
554	0.95899				
555	0.95707				
556	0.9522400000000001				
557	0.9492400000000001				
558	0.9488800000000001				
559	0.9502200000000001				
560	0.94718				
561	0.94018				
562	0.93223				
563	0.9312				
564	0.94066				
565	0.95369				
566	0.9627800000000001				
567	0.96218				
568	0.9549				
569	0.94676				
570	0.9414199999999999				
571	0.9401				
572	0.9392400000000001				
573	0.9392100000000001				
574	0.93932				
575	0.94281				
576	0.9484				
577	0.9527800000000001				
578	0.95548				
579	0.9534699999999999				
580	0.95018				
581	0.94765				
582	0.9457899999999999				
583	0.9447199999999999				
584	0.9433199999999999				
585	0.9437099999999999				
586	0.9483400000000001				
587	0.95501				
588	0.96164				
589	0.96476				
590	0.96076				
591	0.9516899999999999				
592	0.94101				
593	0.93181				
594	0.92393				
595	0.91848				
596	0.9140999999999999				
597	0.91404				
598	0.92101				
599	0.93338				
600	0.9472				
601	0.9584600000000001				
602	0.96209				
603	0.9579000000000001				
604	0.94744				
605	0.9348099999999999				
606	0.9217799999999999				
607	0.91034				
608	0.90247				
609	0.9013599999999999				
610	0.90652				
611	0.91657				
612	0.93039				
613	0.9404399999999999				
614	0.94514				
615	0.9454				
616	0.94208				
617	0.93869				
618	0.93186				
619	0.9190900000000001				
620	0.89864				
621	0.87535				
622	0.85241				
623	0.83772				
624	0.83217				
625	0.8344199999999999				
626	0.84577				
627	0.8653				
628	0.89118				
629	0.92062				
630	0.94164				
631	0.9453900000000001				
632	0.9286				
633	0.8981999999999999				
634	0.86507				
635	0.8380200000000001				
636	0.81973				
637	0.8132699999999999				
638	0.8194899999999999				
639	0.83682				
640	0.862				
641	0.88926				
642	0.90404				
643	0.88303				
644	0.79647				
645	0.64472				
646	0.42345999999999995				
647	0.184				
648	0.05208				
649	0.013269999999999999				
650	0.00388				
651	0.00136				
652	0.00062				
653	0.00027				
654	0.00014000000000000001				
655	8e-05				
656	7.000000000000001e-05				
657	6e-05				
658	7.000000000000001e-05				
659	2e-05				
660	0.0				
661	1e-05				
662	2e-05				
663	0.0				
664	0.0				
665	0.0				
666	4e-05				
667	1e-05				
668	2e-05				
669	0.0				
670	2e-05				
671	1e-05				
672	0.0				
673	0.0				
674	2e-05				
675	0.0				
676	1e-05				
677	1e-05				
678	0.0				
679	0.0				
680	0.0				
681	1e-05				
682	3e-05				
683	0.0				
684	2e-05				
685	0.0				
686	0.0				
687	0.0				
688	0.0				
689	4e-05				
690	3e-05				
691	0.0				
692	0.0				
693	1e-05				
694	1e-05				
695	1e-05				
696	0.0				
697	0.0				
698	0.0				
699	0.0				
700	1e-05				
