Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#838383	Omega	650DRLP Dichroic	W5690
301	0.0				
302	0.0				
303	0.00266				
304	0.0				
305	0.0				
306	0.0007000000000000001				
307	0.0				
308	0.0				
309	0.00099				
310	0.0				
311	0.0002				
312	0.00052				
313	0.00010999999999999999				
314	0.0				
315	0.0008				
316	0.0				
317	0.00184				
318	0.0017100000000000001				
319	0.0				
320	0.0				
321	0.0011				
322	0.0013				
323	0.00331				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.00017				
331	0.0				
332	0.0				
333	0.0005899999999999999				
334	0.0				
335	0.00043999999999999996				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.00092				
343	0.00045				
344	0.00373				
345	0.0028000000000000004				
346	0.00781				
347	0.0072				
348	0.00579				
349	0.010409999999999999				
350	0.00936				
351	0.01234				
352	0.02147				
353	0.029500000000000002				
354	0.02675				
355	0.03206				
356	0.042640000000000004				
357	0.0672				
358	0.08145				
359	0.07481				
360	0.06098				
361	0.07511999999999999				
362	0.10967				
363	0.16561				
364	0.20739000000000002				
365	0.21859				
366	0.20454				
367	0.21822				
368	0.2557				
369	0.32526000000000005				
370	0.3909				
371	0.38425				
372	0.34515999999999997				
373	0.31945				
374	0.34063000000000004				
375	0.45865				
376	0.55654				
377	0.59765				
378	0.59616				
379	0.60326				
380	0.5968399999999999				
381	0.46934				
382	0.33018000000000003				
383	0.19355				
384	0.13702999999999999				
385	0.10039999999999999				
386	0.08792				
387	0.09827999999999999				
388	0.12333999999999999				
389	0.16272999999999999				
390	0.25978				
391	0.39011				
392	0.5008400000000001				
393	0.54718				
394	0.55863				
395	0.5818800000000001				
396	0.63918				
397	0.73768				
398	0.82152				
399	0.83358				
400	0.79452				
401	0.72709				
402	0.61753				
403	0.5323599999999999				
404	0.43052				
405	0.38006999999999996				
406	0.34424				
407	0.31232				
408	0.3006				
409	0.31084				
410	0.34090000000000004				
411	0.40179000000000004				
412	0.50433				
413	0.6514				
414	0.7463200000000001				
415	0.84847				
416	0.88822				
417	0.87098				
418	0.82411				
419	0.79208				
420	0.79514				
421	0.83557				
422	0.8859699999999999				
423	0.9167799999999999				
424	0.8836499999999999				
425	0.7746599999999999				
426	0.6483599999999999				
427	0.51446				
428	0.40682				
429	0.33378				
430	0.30234				
431	0.29311				
432	0.30346				
433	0.34216				
434	0.42696				
435	0.5297999999999999				
436	0.6591899999999999				
437	0.74902				
438	0.76333				
439	0.6967700000000001				
440	0.5799				
441	0.48997999999999997				
442	0.41834000000000005				
443	0.39276000000000005				
444	0.39358				
445	0.41479				
446	0.43986				
447	0.44451999999999997				
448	0.42473				
449	0.36119				
450	0.29175999999999996				
451	0.22835999999999998				
452	0.18420000000000003				
453	0.15173999999999999				
454	0.13054				
455	0.12148999999999999				
456	0.12034				
457	0.13414				
458	0.15291				
