Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.14879	#838383	Omega	UG1 Absorption Glass	W5914
301	0.16416				
302	0.17989999999999998				
303	0.19666				
304	0.21262				
305	0.22974				
306	0.24696				
307	0.26424				
308	0.28158				
309	0.29924				
310	0.3165				
311	0.33395				
312	0.35106000000000004				
313	0.36729999999999996				
314	0.38406				
315	0.40130000000000005				
316	0.41752				
317	0.43301				
318	0.44932				
319	0.46441000000000004				
320	0.47957				
321	0.49484				
322	0.5082800000000001				
323	0.52177				
324	0.5345				
325	0.54823				
326	0.56127				
327	0.57324				
328	0.58368				
329	0.5949300000000001				
330	0.60534				
331	0.61511				
332	0.62485				
333	0.63393				
334	0.64236				
335	0.65063				
336	0.65849				
337	0.6665399999999999				
338	0.6735500000000001				
339	0.68097				
340	0.6866500000000001				
341	0.69434				
342	0.69938				
343	0.70417				
344	0.71148				
345	0.7145999999999999				
346	0.7213299999999999				
347	0.72405				
348	0.72954				
349	0.7325400000000001				
350	0.7413				
351	0.74386				
352	0.74737				
353	0.75093				
354	0.75268				
355	0.75472				
356	0.7574599999999999				
357	0.7605500000000001				
358	0.76216				
359	0.76247				
360	0.76012				
361	0.7626000000000001				
362	0.76372				
363	0.76215				
364	0.76119				
365	0.76068				
366	0.75712				
367	0.7550100000000001				
368	0.75335				
369	0.74934				
370	0.74469				
371	0.73996				
372	0.73395				
373	0.72796				
374	0.7191299999999999				
375	0.71045				
376	0.7008				
377	0.68991				
378	0.67808				
379	0.66365				
380	0.64886				
381	0.63154				
382	0.6127400000000001				
383	0.59297				
384	0.5716				
385	0.54755				
386	0.52323				
387	0.49683999999999995				
388	0.46929000000000004				
389	0.44093000000000004				
390	0.41179000000000004				
391	0.38171999999999995				
392	0.35028				
393	0.32055				
394	0.29017				
395	0.26005				
396	0.23169				
397	0.20405				
398	0.17864999999999998				
399	0.15444000000000002				
400	0.1325				
401	0.11224				
402	0.09430999999999999				
403	0.07835				
404	0.06448000000000001				
405	0.05239				
406	0.042350000000000006				
407	0.03368				
