Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#838383	Omega	BESSELL/B/65S Bandpass	W5997
301	1e-05				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	1e-05				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	1e-05				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	1e-05				
332	0.0				
333	0.0				
334	1e-05				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	1e-05				
345	1e-05				
346	0.0				
347	1e-05				
348	0.0				
349	0.0				
350	2e-05				
351	3e-05				
352	5e-05				
353	8e-05				
354	0.00017999999999999998				
355	0.0003				
356	0.0005099999999999999				
357	0.0008500000000000001				
358	0.0013800000000000002				
359	0.00218				
360	0.0033				
361	0.00485				
362	0.006860000000000001				
363	0.00957				
364	0.01291				
365	0.01699				
366	0.022010000000000002				
367	0.02781				
368	0.0348				
369	0.04232				
370	0.05137				
371	0.06125				
372	0.07178				
373	0.08368				
374	0.09605000000000001				
375	0.10948000000000001				
376	0.12344				
377	0.13806				
378	0.15328				
379	0.16911				
380	0.18516				
381	0.20154				
382	0.21858				
383	0.23546				
384	0.25275				
385	0.26958				
386	0.2864				
387	0.3035				
388	0.32028				
389	0.33687				
390	0.35283000000000003				
391	0.36912				
392	0.38470999999999994				
393	0.39994				
394	0.41465				
395	0.42943				
396	0.44331000000000004				
397	0.45634				
398	0.46957				
399	0.48129				
400	0.49334000000000006				
401	0.5049				
402	0.51598				
403	0.52643				
404	0.53668				
405	0.5459				
406	0.55521				
407	0.5640999999999999				
408	0.57241				
409	0.5803699999999999				
410	0.58813				
411	0.59512				
412	0.6017600000000001				
413	0.60768				
414	0.6139800000000001				
415	0.6191599999999999				
416	0.6246200000000001				
417	0.62968				
418	0.63426				
419	0.6391100000000001				
420	0.6431600000000001				
421	0.6471899999999999				
422	0.6504300000000001				
423	0.6531600000000001				
424	0.65591				
425	0.65777				
426	0.66015				
427	0.66212				
428	0.66381				
429	0.66444				
430	0.66616				
431	0.6669499999999999				
432	0.66726				
433	0.6678400000000001				
434	0.66774				
435	0.66764				
436	0.6679200000000001				
437	0.66747				
438	0.66735				
439	0.66667				
440	0.66582				
441	0.6651				
442	0.66385				
443	0.66266				
444	0.66092				
445	0.65941				
446	0.6563500000000001				
447	0.6535500000000001				
448	0.65067				
449	0.64683				
450	0.6435299999999999				
451	0.6401699999999999				
452	0.63638				
453	0.63326				
454	0.62968				
455	0.62547				
456	0.62108				
457	0.61637				
458	0.61132				
459	0.60543				
460	0.59963				
461	0.59293				
462	0.58558				
463	0.57838				
464	0.56993				
465	0.56111				
466	0.55123				
467	0.54106				
468	0.52935				
469	0.51771				
470	0.5051599999999999				
471	0.49219999999999997				
472	0.47883000000000003				
473	0.46558				
474	0.45263				
475	0.43896999999999997				
476	0.42548				
477	0.41165999999999997				
478	0.39795				
479	0.3839				
480	0.36966				
481	0.35546999999999995				
482	0.34122				
483	0.32707				
484	0.31301				
485	0.29905000000000004				
486	0.28608				
487	0.2727				
488	0.26029				
489	0.24795				
490	0.23604				
491	0.22486				
492	0.21416000000000002				
493	0.20423				
494	0.19473				
495	0.18606999999999999				
496	0.17809999999999998				
497	0.17042000000000002				
498	0.16319				
499	0.15618				
500	0.14896				
501	0.14187				
502	0.13432				
503	0.12653				
504	0.11861000000000001				
505	0.11077999999999999				
506	0.10294				
507	0.09548999999999999				
508	0.08864000000000001				
509	0.08231999999999999				
510	0.07637				
511	0.07092				
512	0.06587				
513	0.06129				
514	0.05679				
515	0.052469999999999996				
516	0.04851				
517	0.04458				
518	0.040839999999999994				
519	0.037360000000000004				
520	0.03405				
521	0.03093				
522	0.027999999999999997				
523	0.02528				
524	0.022869999999999998				
525	0.020560000000000002				
526	0.01856				
527	0.016810000000000002				
528	0.01525				
529	0.01389				
530	0.01268				
531	0.011659999999999998				
532	0.010780000000000001				
533	0.01006				
534	0.00943				
535	0.0089				
536	0.0085				
537	0.008159999999999999				
538	0.007940000000000001				
539	0.00772				
540	0.00762				
541	0.00754				
542	0.00756				
543	0.0076300000000000005				
544	0.00776				
545	0.00797				
546	0.00826				
547	0.00865				
548	0.00912				
549	0.00968				
550	0.010289999999999999				
551	0.010960000000000001				
552	0.01171				
553	0.0125				
554	0.013269999999999999				
555	0.01405				
556	0.0147				
557	0.015300000000000001				
558	0.01575				
559	0.016040000000000002				
560	0.01616				
561	0.01614				
562	0.01594				
563	0.015629999999999998				
564	0.015189999999999999				
565	0.01459				
566	0.013879999999999998				
567	0.01311				
568	0.01221				
569	0.011279999999999998				
570	0.01027				
571	0.00932				
572	0.00832				
573	0.00738				
574	0.0064600000000000005				
575	0.00561				
576	0.00482				
577	0.00411				
578	0.00344				
579	0.0028799999999999997				
580	0.0023899999999999998				
581	0.00196				
582	0.00161				
583	0.00131				
584	0.00107				
585	0.0009				
586	0.00075				
587	0.00061				
588	0.00052				
589	0.00043999999999999996				
590	0.0004				
591	0.00037				
592	0.00033				
593	0.00031				
594	0.0003				
595	0.00028000000000000003				
596	0.00027				
597	0.00028000000000000003				
598	0.00028000000000000003				
599	0.00027				
600	0.00028000000000000003				
601	0.00028000000000000003				
602	0.00027				
603	0.00029				
604	0.00027				
605	0.00026				
606	0.00027				
607	0.00027				
608	0.00027				
609	0.00025				
610	0.00025				
611	0.00024				
612	0.00024				
613	0.00021999999999999998				
614	0.0002				
615	0.00021				
616	0.0002				
617	0.00018999999999999998				
618	0.00017999999999999998				
619	0.00017999999999999998				
620	0.00018999999999999998				
621	0.00015				
622	0.00013				
623	0.00014000000000000001				
624	0.00013				
625	0.00013				
626	8.999999999999999e-05				
627	8.999999999999999e-05				
628	8.999999999999999e-05				
629	7.000000000000001e-05				
630	8e-05				
631	7.000000000000001e-05				
632	7.000000000000001e-05				
633	7.000000000000001e-05				
634	5e-05				
635	5e-05				
636	4e-05				
637	5e-05				
638	4e-05				
639	3e-05				
640	1e-05				
641	4e-05				
642	2e-05				
643	1e-05				
644	2e-05				
645	2e-05				
646	2e-05				
647	1e-05				
648	2e-05				
649	0.0				
650	0.0				
651	2e-05				
652	2e-05				
653	2e-05				
654	2e-05				
655	2e-05				
656	3e-05				
657	2e-05				
658	0.0				
659	3e-05				
660	2e-05				
661	1e-05				
662	2e-05				
663	2e-05				
664	2e-05				
665	3e-05				
666	2e-05				
667	2e-05				
668	2e-05				
669	4e-05				
670	2e-05				
671	3e-05				
672	4e-05				
673	4e-05				
674	4e-05				
675	4e-05				
676	6e-05				
677	4e-05				
678	5e-05				
679	5e-05				
680	7.000000000000001e-05				
681	5e-05				
682	7.000000000000001e-05				
683	6e-05				
684	6e-05				
685	8e-05				
686	7.000000000000001e-05				
687	8.999999999999999e-05				
688	8e-05				
689	5e-05				
690	8.999999999999999e-05				
691	8e-05				
692	6e-05				
693	6e-05				
694	7.000000000000001e-05				
695	7.000000000000001e-05				
696	7.000000000000001e-05				
697	7.000000000000001e-05				
698	5e-05				
699	6e-05				
700	5e-05				
701	5e-05				
702	4e-05				
703	3e-05				
704	4e-05				
705	4e-05				
706	0.0				
707	3e-05				
708	1e-05				
709	3e-05				
710	1e-05				
711	2e-05				
712	3e-05				
713	3e-05				
714	0.0				
715	1e-05				
716	1e-05				
717	1e-05				
718	3e-05				
719	1e-05				
720	1e-05				
721	2e-05				
722	1e-05				
723	0.0				
724	1e-05				
725	1e-05				
726	1e-05				
727	0.0				
728	0.0				
729	0.0				
730	0.0				
731	0.0				
732	0.0				
733	0.0				
734	0.0				
735	0.0				
736	2e-05				
737	1e-05				
738	0.0				
739	0.0				
740	2e-05				
741	0.0				
742	0.0				
743	0.0				
744	2e-05				
745	0.0				
746	0.0				
747	0.0				
748	0.0				
749	1e-05				
750	1e-05				
751	0.0				
752	2e-05				
753	0.0				
754	0.0				
755	0.0				
756	0.0				
757	1e-05				
758	0.0				
759	0.0				
760	1e-05				
761	1e-05				
762	0.0				
763	0.0				
764	0.0				
765	1e-05				
766	1e-05				
767	0.0				
768	0.0				
769	0.0				
770	0.0				
771	0.0				
772	0.0				
773	0.0				
774	0.0				
775	1e-05				
776	0.0				
777	0.0				
778	0.0				
779	1e-05				
780	0.0				
781	0.0				
782	0.0				
783	0.0				
784	0.0				
785	0.0				
786	0.0				
787	1e-05				
788	0.0				
789	0.0				
790	0.0				
791	0.0				
792	0.0				
793	1e-05				
794	0.0				
795	0.0				
796	0.0				
797	0.0				
798	0.0				
799	0.0				
800	0.0				
801	1e-05				
802	1e-05				
803	0.0				
804	1e-05				
805	0.0				
806	0.0				
807	0.0				
808	2e-05				
809	0.0				
810	0.0				
811	0.0				
812	0.0				
813	0.0				
814	0.0				
815	0.0				
816	0.0				
817	0.0				
818	0.0				
819	1e-05				
820	0.0				
821	0.0				
822	0.0				
823	0.0				
824	0.0				
825	0.0				
826	2e-05				
827	1e-05				
828	0.0				
829	0.0				
830	0.0				
831	0.0				
832	0.0				
833	0.0				
834	0.0				
835	1e-05				
836	0.0				
837	0.0				
838	0.0				
839	1e-05				
840	0.0				
841	0.0				
842	1e-05				
843	2e-05				
844	0.0				
845	1e-05				
846	0.0				
847	0.0				
848	0.0				
849	1e-05				
850	0.0				
851	0.0				
852	0.0				
853	0.0				
854	1e-05				
855	1e-05				
856	1e-05				
857	0.0				
858	1e-05				
859	0.0				
860	0.0				
861	0.0				
862	0.0				
863	0.0				
864	0.0				
865	0.0				
866	0.0				
867	3e-05				
868	0.0				
869	0.0				
870	5e-05				
871	0.0				
872	0.0				
873	0.0				
874	3e-05				
875	0.0				
876	2e-05				
877	0.0				
878	0.0				
879	0.0				
880	0.0				
881	0.0				
882	2e-05				
883	0.0				
884	0.0				
885	0.0				
886	0.0				
887	0.0				
888	0.0				
889	0.0				
890	0.0				
891	0.0				
892	0.0				
893	0.0				
894	0.0				
895	0.0				
896	0.0				
897	0.0				
898	0.0				
899	8e-05				
900	0.0				
901	0.0				
902	0.0				
903	0.0				
904	0.0				
905	0.0				
906	0.0				
907	0.0				
908	0.0				
909	0.0				
910	0.0				
911	1e-05				
912	0.0				
913	0.0				
914	0.0				
915	0.0				
916	0.0				
917	0.0				
918	1e-05				
919	3e-05				
920	0.0				
921	0.0				
922	0.0				
923	0.0				
924	0.0				
925	0.0				
926	2e-05				
927	0.0				
928	0.0				
929	0.0				
930	0.0				
931	0.0				
932	5e-05				
933	3e-05				
934	0.0				
935	0.0				
936	0.0				
937	0.0				
938	0.0				
939	2e-05				
940	0.0				
941	0.0				
942	2e-05				
943	0.0				
944	1e-05				
945	3e-05				
946	1e-05				
947	0.0				
948	0.0				
949	5e-05				
950	0.0				
951	0.0				
952	0.0				
953	0.0				
954	0.0				
955	3e-05				
956	0.0				
957	0.0				
958	1e-05				
959	3e-05				
960	2e-05				
961	5e-05				
962	2e-05				
963	0.0				
964	3e-05				
965	0.0				
966	2e-05				
967	2e-05				
968	0.0				
969	0.0				
970	0.0				
971	6e-05				
972	0.0				
973	0.0				
974	0.0				
975	0.0				
976	0.0				
977	0.0				
978	0.0				
979	0.0				
980	0.0				
981	0.0				
982	0.0				
983	0.0				
984	0.0				
985	0.0				
986	0.0				
987	4e-05				
988	0.0				
989	3e-05				
990	0.0				
991	0.0				
992	0.0				
993	0.0				
994	0.0				
995	0.0				
996	0.0				
997	0.0				
998	0.0				
999	0.0				
1000	0.0				
1001	0.0				
1002	0.0				
1003	0.0				
1004	0.0				
1005	0.0				
1006	0.0				
1007	1e-05				
1008	0.0				
1009	0.0				
1010	0.0				
1011	0.0				
1012	1e-05				
1013	0.0				
1014	1e-05				
1015	0.0				
1016	1e-05				
1017	0.0				
1018	0.0				
1019	0.0				
1020	0.0				
1021	0.0				
1022	0.0				
1023	0.0				
1024	4e-05				
1025	0.0				
1026	0.0				
1027	0.0				
1028	0.0				
1029	0.0				
