Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.0	#838383	Omega	790LP Longpass	W6051
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	1e-05				
359	0.0				
360	0.0				
361	0.0				
362	1e-05				
363	1e-05				
364	0.0				
365	0.0				
366	3e-05				
367	0.0				
368	0.0				
369	0.0				
370	2e-05				
371	1e-05				
372	0.0				
373	0.0				
374	1e-05				
375	0.0				
376	0.0				
377	0.0				
378	1e-05				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	4e-05				
392	3e-05				
393	2e-05				
394	0.0				
395	1e-05				
396	0.0				
397	0.0				
398	1e-05				
399	0.0				
400	0.0				
401	0.0				
402	2e-05				
403	2e-05				
404	0.0				
405	2e-05				
406	4e-05				
407	0.0				
408	0.0				
409	0.0				
410	1e-05				
411	0.0				
412	6e-05				
413	0.0				
414	1e-05				
415	0.0				
416	2e-05				
417	2e-05				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	2e-05				
423	0.0				
424	3e-05				
425	0.0				
426	2e-05				
427	0.0				
428	0.0				
429	2e-05				
430	2e-05				
431	0.0				
432	0.0				
433	0.0				
434	0.0				
435	0.0				
436	3e-05				
437	0.0				
438	0.0				
439	0.0				
440	0.0				
441	0.0				
442	0.0				
443	1e-05				
444	1e-05				
445	0.0				
446	2e-05				
447	1e-05				
448	1e-05				
449	0.0				
450	0.0				
451	0.0				
452	0.0				
453	1e-05				
454	1e-05				
455	1e-05				
456	3e-05				
457	0.0				
458	0.0				
459	0.0				
460	0.0				
461	0.0				
462	0.0				
463	0.0				
464	0.0				
465	0.0				
466	1e-05				
467	1e-05				
468	0.0				
469	0.0				
470	0.0				
471	2e-05				
472	0.0				
473	0.0				
474	0.0				
475	0.0				
476	0.0				
477	2e-05				
478	0.0				
479	0.0				
480	1e-05				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	4e-05				
486	2e-05				
487	0.0				
488	2e-05				
489	1e-05				
490	1e-05				
491	3e-05				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	1e-05				
497	0.0				
498	0.0				
499	0.0				
500	2e-05				
501	0.0				
502	1e-05				
503	0.0				
504	0.0				
505	0.0				
506	0.0				
507	2e-05				
508	0.0				
509	3e-05				
510	2e-05				
511	1e-05				
512	0.0				
513	0.0				
514	2e-05				
515	0.0				
516	1e-05				
517	0.0				
518	1e-05				
519	0.0				
520	5e-05				
521	0.0				
522	1e-05				
523	0.0				
524	1e-05				
525	0.0				
526	1e-05				
527	1e-05				
528	0.0				
529	0.0				
530	0.0				
531	1e-05				
532	1e-05				
533	2e-05				
534	2e-05				
535	0.0				
536	0.0				
537	0.0				
538	1e-05				
539	0.0				
540	1e-05				
541	1e-05				
542	0.0				
543	0.0				
544	0.0				
545	1e-05				
546	0.0				
547	2e-05				
548	4e-05				
549	1e-05				
550	1e-05				
551	3e-05				
552	0.0				
553	0.0				
554	0.0				
555	0.0				
556	1e-05				
557	1e-05				
558	0.0				
559	1e-05				
560	0.0				
561	0.0				
562	0.0				
563	3e-05				
564	0.0				
565	0.0				
566	0.0				
567	2e-05				
568	0.0				
569	0.0				
570	0.0				
571	3e-05				
572	3e-05				
573	0.0				
574	0.0				
575	0.0				
576	0.0				
577	1e-05				
578	0.0				
579	2e-05				
580	2e-05				
581	1e-05				
582	0.0				
583	0.0				
584	0.0				
585	0.0				
586	0.0				
587	0.0				
588	1e-05				
589	1e-05				
590	2e-05				
591	0.0				
592	0.0				
593	0.0				
594	3e-05				
595	0.0				
596	1e-05				
597	0.0				
598	5e-05				
599	0.0				
600	0.0				
601	1e-05				
602	3e-05				
603	2e-05				
604	0.0				
605	2e-05				
606	2e-05				
607	0.0				
608	0.0				
609	1e-05				
610	0.0				
611	0.0				
612	1e-05				
613	6e-05				
614	0.0				
615	0.0				
616	0.0				
617	1e-05				
618	0.0				
619	0.0				
620	3e-05				
621	3e-05				
622	0.0				
623	0.0				
624	0.0				
625	1e-05				
626	2e-05				
627	2e-05				
628	0.0				
629	2e-05				
630	0.0				
631	0.0				
632	2e-05				
633	0.0				
634	0.0				
635	0.0				
636	2e-05				
637	0.0				
638	0.0				
639	2e-05				
640	0.0				
641	2e-05				
642	0.0				
643	0.0				
644	2e-05				
645	0.0				
646	0.0				
647	0.0				
648	0.0				
649	0.0				
650	2e-05				
651	4e-05				
652	1e-05				
653	2e-05				
654	6e-05				
655	1e-05				
656	5e-05				
657	3e-05				
658	3e-05				
659	0.0				
660	0.0				
661	0.0				
662	0.0				
663	3e-05				
664	0.0				
665	5e-05				
666	0.0				
667	0.0				
668	2e-05				
669	1e-05				
670	0.0				
671	1e-05				
672	1e-05				
673	1e-05				
674	0.0				
675	0.0				
676	0.0				
677	0.0				
678	0.0				
679	1e-05				
680	0.0				
681	0.0				
682	0.0				
683	0.0				
684	0.0				
685	0.0				
686	2e-05				
687	3e-05				
688	0.0				
689	2e-05				
690	2e-05				
691	3e-05				
692	0.0				
693	2e-05				
694	0.0				
695	0.0				
696	0.0				
697	0.0				
698	0.0				
699	0.0				
700	1e-05				
701	0.0				
702	2e-05				
703	0.0				
704	0.0				
705	0.0				
706	0.0				
707	1e-05				
708	2e-05				
709	0.0				
710	1e-05				
711	0.0				
712	0.0				
713	0.0				
714	0.0				
715	0.0				
716	0.0				
717	0.0				
718	0.0				
719	0.0				
720	0.0				
721	2e-05				
722	0.0				
723	0.0				
724	1e-05				
725	5e-05				
726	0.0				
727	1e-05				
728	0.0				
729	0.0				
730	0.0				
731	2e-05				
732	0.0				
733	0.0				
734	0.0				
735	0.0				
736	2e-05				
737	3e-05				
738	0.0				
739	0.0				
740	0.0				
741	0.0				
742	0.0				
743	1e-05				
744	4e-05				
745	2e-05				
746	0.0				
747	0.0				
748	0.0				
749	0.0				
750	1e-05				
751	0.0				
752	0.0				
753	1e-05				
754	0.0				
755	0.0				
756	3e-05				
757	0.0				
758	1e-05				
759	1e-05				
760	1e-05				
761	0.0				
762	3e-05				
763	0.0				
764	1e-05				
765	0.0				
766	1e-05				
767	0.0				
768	4e-05				
769	0.0				
770	4e-05				
771	6e-05				
772	0.0001				
773	0.00017999999999999998				
774	0.00033				
775	0.00073				
776	0.00136				
777	0.0027900000000000004				
778	0.00545				
779	0.01072				
780	0.01993				
781	0.03569				
782	0.06326999999999999				
783	0.11071				
784	0.19511				
