Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	0.0	#838383	Omega	590BP110 Bandpass	W6303
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.0				
423	0.0				
424	0.0				
425	0.0				
426	0.0				
427	0.0				
428	0.0				
429	0.0				
430	0.0				
431	0.0				
432	0.0				
433	0.0				
434	0.0				
435	0.0				
436	0.0				
437	0.0				
438	0.0				
439	0.0				
440	0.0				
441	0.0				
442	0.0				
443	0.0				
444	0.0				
445	0.0				
446	0.0				
447	0.0				
448	0.0				
449	0.0				
450	0.0				
451	0.0				
452	0.0				
453	0.0				
454	0.0				
455	0.0				
456	0.0				
457	0.0				
458	0.0				
459	0.0				
460	0.0				
461	0.0				
462	0.0				
463	0.0				
464	0.0				
465	0.0				
466	0.0				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	0.0				
472	0.0				
473	0.0				
474	0.0				
475	0.0				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	0.0				
497	0.0				
498	0.0				
499	0.0				
500	0.0				
501	0.0				
502	0.0				
503	0.0				
504	0.0				
505	0.0				
506	0.0				
507	0.0				
508	0.0				
509	0.0				
510	0.0				
511	0.0				
512	0.0				
513	0.0				
514	0.0				
515	0.0				
516	0.0				
517	0.0				
518	0.0				
519	0.0				
520	0.0				
521	0.0				
522	0.0				
523	0.0				
524	0.0				
525	0.0				
526	0.0				
527	0.0				
528	0.0				
529	0.0				
530	0.0060999999999999995				
531	0.14083				
532	0.57702				
533	0.68857				
534	0.7208199999999999				
535	0.75698				
536	0.77756				
537	0.8020900000000001				
538	0.8226				
539	0.8308				
540	0.8389				
541	0.84906				
542	0.8590800000000001				
543	0.87261				
544	0.87936				
545	0.87345				
546	0.86709				
547	0.8698				
548	0.8768				
549	0.88189				
550	0.8818				
551	0.8828199999999999				
552	0.88838				
553	0.90082				
554	0.91184				
555	0.9144599999999999				
556	0.90884				
557	0.9034				
558	0.90171				
559	0.89858				
560	0.89359				
561	0.8931999999999999				
562	0.8957599999999999				
563	0.8964				
564	0.89286				
565	0.89506				
566	0.90765				
567	0.92081				
568	0.92795				
569	0.9270499999999999				
570	0.9251900000000001				
571	0.92322				
572	0.91646				
573	0.9120199999999999				
574	0.91583				
575	0.92619				
576	0.9328400000000001				
577	0.92956				
578	0.92577				
579	0.9259999999999999				
580	0.92923				
581	0.9274800000000001				
582	0.91926				
583	0.91327				
584	0.91389				
585	0.91625				
586	0.91411				
587	0.9113800000000001				
588	0.9134699999999999				
589	0.92054				
590	0.9256				
591	0.92538				
592	0.92199				
593	0.92463				
594	0.9293899999999999				
595	0.9312600000000001				
596	0.9272400000000001				
597	0.9234300000000001				
598	0.9226099999999999				
599	0.92159				
600	0.9151900000000001				
601	0.90697				
602	0.90293				
603	0.9060299999999999				
604	0.9142600000000001				
605	0.9169799999999999				
606	0.9153				
607	0.9155500000000001				
608	0.92025				
609	0.92716				
610	0.93093				
611	0.9294899999999999				
612	0.92903				
613	0.92973				
614	0.9279999999999999				
615	0.9217				
616	0.91542				
617	0.91334				
618	0.91474				
619	0.91431				
620	0.91083				
621	0.90943				
622	0.91301				
623	0.91987				
624	0.9235				
625	0.92293				
626	0.9234399999999999				
627	0.92729				
628	0.92926				
629	0.9227299999999999				
630	0.91259				
631	0.90601				
632	0.90279				
633	0.89607				
634	0.88455				
635	0.87855				
636	0.8804500000000001				
637	0.87492				
638	0.85474				
639	0.82754				
640	0.67991				
641	0.29788				
642	0.06287				
643	0.01131				
644	0.00155				
645	0.0				
646	0.0				
647	0.0				
648	0.0				
649	0.0				
650	0.0				
651	0.0				
652	0.0				
653	0.0				
654	0.0				
655	0.0				
656	0.0				
657	0.0				
658	0.0				
659	0.0				
660	0.0				
661	0.0				
662	0.0				
663	0.0				
664	0.0				
665	0.0				
666	0.0				
667	0.0				
668	0.0				
669	0.0				
670	0.0				
671	0.0				
672	0.0				
673	0.0				
674	0.0				
675	0.0				
676	0.0				
677	0.0				
678	0.0				
679	0.0				
680	0.0				
681	0.0				
682	0.0				
683	0.0				
684	0.0				
685	0.0				
686	0.0				
687	0.0				
688	0.0				
689	0.0				
690	0.0				
691	0.0				
692	0.0				
693	0.0				
694	0.0				
695	0.0				
696	0.0				
697	0.0				
698	0.0				
699	0.0				
700	0.0				
