Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
535	0.00032	#838383	Omega	550CA10-483 Bandpass	W6
536	0.00047				
537	0.0007599999999999999				
538	0.00116				
539	0.0020399999999999997				
540	0.00388				
541	0.00909				
542	0.02809				
543	0.11254				
544	0.39329000000000003				
545	0.67852				
546	0.72113				
547	0.73224				
548	0.75134				
549	0.7617499999999999				
550	0.7579				
551	0.76346				
552	0.7474299999999999				
553	0.51747				
554	0.18846				
555	0.050780000000000006				
556	0.01525				
557	0.005410000000000001				
558	0.0022400000000000002				
559	0.001				
560	0.00048				
561	0.00024				
562	0.00013				
563	6e-05				
564	3e-05				
565	3e-05				
