Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	0.84206	#838383	Omega	"NPB - Narrow Pass Band Nebula (496BP22) 1.25"" Astronomy Filter Bandpass"	XAF-NPB125
401	0.80118				
402	0.68876				
403	0.57628				
404	0.50284				
405	0.4733				
406	0.49077				
407	0.57086				
408	0.73289				
409	0.8898				
410	0.7655299999999999				
411	0.42003				
412	0.19299				
413	0.09281				
414	0.04935				
415	0.02846				
416	0.01752				
417	0.01154				
418	0.00791				
419	0.00567				
420	0.00413				
421	0.00313				
422	0.00244				
423	0.00196				
424	0.00156				
425	0.00126				
426	0.00104				
427	0.00092				
428	0.00077				
429	0.0007099999999999999				
430	0.00062				
431	0.0005600000000000001				
432	0.00048				
433	0.00048				
434	0.00045				
435	0.00043				
436	0.0004				
437	0.00037999999999999997				
438	0.00035000000000000005				
439	0.00031				
440	0.00031				
441	0.00029				
442	0.0003				
443	0.00031				
444	0.00032				
445	0.00031				
446	0.0003				
447	0.0003				
448	0.00033				
449	0.00039				
450	0.00041				
451	0.00039				
452	0.00045				
453	0.00048				
454	0.0005				
455	0.00054				
456	0.00062				
457	0.00065				
458	0.00074				
459	0.0008500000000000001				
460	0.00097				
461	0.00107				
462	0.00123				
463	0.00148				
464	0.0017299999999999998				
465	0.00203				
466	0.00253				
467	0.0030299999999999997				
468	0.00368				
469	0.00456				
470	0.005679999999999999				
471	0.00734				
472	0.00947				
473	0.012450000000000001				
474	0.01668				
475	0.02268				
476	0.03137				
477	0.0446				
478	0.06473				
479	0.09542				
480	0.14348				
481	0.21837				
482	0.32785				
483	0.47316				
484	0.6363300000000001				
485	0.78236				
486	0.87586				
487	0.91803				
488	0.9255800000000001				
489	0.92163				
490	0.9159				
491	0.91282				
492	0.91129				
493	0.9107999999999999				
494	0.9096899999999999				
495	0.90619				
496	0.90242				
497	0.8992100000000001				
498	0.8990600000000001				
499	0.9028499999999999				
500	0.90872				
501	0.90924				
502	0.89202				
503	0.84051				
504	0.74226				
505	0.60881				
506	0.46728000000000003				
507	0.34146				
508	0.24211				
509	0.17085999999999998				
510	0.12127				
511	0.08718				
512	0.06356				
513	0.0472				
514	0.03576				
515	0.02751				
516	0.021400000000000002				
517	0.01702				
518	0.01369				
519	0.011160000000000002				
520	0.009170000000000001				
521	0.00764				
522	0.00644				
523	0.0054600000000000004				
524	0.00466				
525	0.004050000000000001				
526	0.0035299999999999997				
527	0.00309				
528	0.00271				
529	0.00244				
530	0.00217				
531	0.00194				
532	0.0017499999999999998				
533	0.00159				
534	0.00151				
535	0.0013700000000000001				
536	0.00127				
537	0.00115				
538	0.00105				
539	0.001				
540	0.00094				
541	0.00092				
542	0.0008500000000000001				
543	0.00082				
544	0.00078				
545	0.00073				
546	0.00075				
547	0.0006900000000000001				
548	0.0006900000000000001				
549	0.00064				
550	0.00065				
551	0.00061				
552	0.00066				
553	0.00064				
554	0.0005899999999999999				
555	0.00062				
556	0.0006				
557	0.0005600000000000001				
558	0.0006				
559	0.00061				
560	0.00062				
561	0.00061				
562	0.0005899999999999999				
563	0.00064				
564	0.00065				
565	0.00063				
566	0.00066				
567	0.0007000000000000001				
568	0.0007000000000000001				
569	0.00075				
570	0.00075				
571	0.0007199999999999999				
572	0.00078				
573	0.00082				
574	0.0008500000000000001				
575	0.00091				
576	0.00092				
577	0.00099				
578	0.00105				
579	0.00111				
580	0.00121				
581	0.0012				
582	0.0013700000000000001				
583	0.0013900000000000002				
584	0.00154				
585	0.00164				
586	0.0017399999999999998				
587	0.00194				
588	0.00209				
589	0.00223				
590	0.00242				
591	0.00268				
592	0.00294				
593	0.0032400000000000003				
594	0.0036				
595	0.00395				
596	0.0044				
597	0.0049499999999999995				
598	0.005540000000000001				
599	0.0063				
600	0.00711				
601	0.008159999999999999				
602	0.00932				
603	0.010700000000000001				
604	0.012390000000000002				
605	0.014410000000000001				
606	0.016890000000000002				
607	0.01994				
608	0.02365				
609	0.02836				
610	0.034249999999999996				
611	0.04172				
612	0.05138				
613	0.06401				
614	0.08034000000000001				
615	0.10195				
616	0.13116				
617	0.17047				
618	0.22353				
619	0.29519				
620	0.38994999999999996				
621	0.50763				
622	0.64018				
623	0.76744				
624	0.86248				
625	0.9019499999999999				
626	0.88917				
627	0.83974				
628	0.7748900000000001				
629	0.71013				
630	0.6529				
631	0.6038600000000001				
632	0.56554				
633	0.53654				
634	0.5146999999999999				
635	0.5007				
636	0.49245				
637	0.48979999999999996				
638	0.49249000000000004				
639	0.50032				
640	0.51318				
641	0.52991				
642	0.5520499999999999				
643	0.57889				
644	0.6109300000000001				
645	0.64703				
646	0.68727				
647	0.73158				
648	0.77652				
649	0.8226600000000001				
650	0.86641				
651	0.90524				
652	0.93452				
653	0.95284				
654	0.95758				
655	0.94721				
656	0.9234399999999999				
657	0.88901				
658	0.8451900000000001				
659	0.79647				
660	0.7458199999999999				
661	0.69516				
662	0.6459999999999999				
663	0.59965				
664	0.55708				
665	0.51912				
666	0.48395000000000005				
667	0.45350999999999997				
668	0.42603				
669	0.40223				
670	0.38109000000000004				
671	0.36246				
672	0.34643				
673	0.33222				
674	0.31998				
675	0.3095				
676	0.30035				
677	0.29291				
678	0.28661000000000003				
679	0.28145				
680	0.27767				
681	0.27459				
682	0.27297				
683	0.27181				
684	0.27167				
685	0.27257000000000003				
686	0.27412				
687	0.27669				
688	0.27986				
689	0.28378				
690	0.28931999999999997				
691	0.29522				
692	0.30217				
693	0.31016				
694	0.31865				
695	0.32848				
696	0.33911				
697	0.35131				
698	0.3643				
699	0.37841				
700	0.39408				
701	0.41088				
702	0.42869999999999997				
703	0.4476				
704	0.46839				
705	0.49062				
706	0.51362				
707	0.5386099999999999				
708	0.56365				
709	0.59008				
710	0.6173				
711	0.645				
712	0.67281				
713	0.7014499999999999				
714	0.7286400000000001				
715	0.75644				
716	0.78295				
717	0.80803				
718	0.83152				
719	0.85369				
720	0.87332				
721	0.8909600000000001				
722	0.90598				
723	0.91756				
724	0.92798				
725	0.9366599999999999				
726	0.94184				
727	0.94684				
728	0.94772				
729	0.9492				
730	0.94856				
731	0.94658				
732	0.94364				
