Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	0.83325	#838383	Omega	"NPB - Narrow Pass Band Nebula (496BP22) 2"" Astronomy Filter Bandpass"	XAF-NPB200
401	0.7131799999999999				
402	0.59324				
403	0.52269				
404	0.49743000000000004				
405	0.5228				
406	0.62136				
407	0.80266				
408	0.89875				
409	0.63609				
410	0.30712				
411	0.13779				
412	0.06845				
413	0.03676				
414	0.022019999999999998				
415	0.013680000000000001				
416	0.008960000000000001				
417	0.00644				
418	0.00451				
419	0.0034100000000000003				
420	0.00248				
421	0.0020399999999999997				
422	0.00157				
423	0.00124				
424	0.00105				
425	0.0008799999999999999				
426	0.0007199999999999999				
427	0.00061				
428	0.00058				
429	0.0005				
430	0.00043999999999999996				
431	0.00037999999999999997				
432	0.00037999999999999997				
433	0.00035000000000000005				
434	0.00033				
435	0.00031				
436	0.00027				
437	0.00024				
438	0.00021999999999999998				
439	0.00024				
440	0.00024				
441	0.00024				
442	0.00024				
443	0.00023				
444	0.00024				
445	0.00026				
446	0.00024				
447	0.00026				
448	0.00028000000000000003				
449	0.00028000000000000003				
450	0.0003				
451	0.00032				
452	0.00035000000000000005				
453	0.00035999999999999997				
454	0.00037				
455	0.00043				
456	0.00048				
457	0.0005600000000000001				
458	0.0005899999999999999				
459	0.00067				
460	0.00078				
461	0.0008799999999999999				
462	0.001				
463	0.00114				
464	0.00133				
465	0.00161				
466	0.00189				
467	0.0023499999999999997				
468	0.00295				
469	0.00366				
470	0.00443				
471	0.005809999999999999				
472	0.0074				
473	0.00971				
474	0.01282				
475	0.0172				
476	0.022869999999999998				
477	0.03184				
478	0.044649999999999995				
479	0.06487				
480	0.09509000000000001				
481	0.14273				
482	0.21716000000000002				
483	0.33242				
484	0.49282				
485	0.67658				
486	0.83447				
487	0.93042				
488	0.9609000000000001				
489	0.95045				
490	0.93597				
491	0.9153				
492	0.90468				
493	0.9094				
494	0.9185				
495	0.9256				
496	0.93				
497	0.93951				
498	0.94208				
499	0.95175				
500	0.95634				
501	0.96173				
502	0.9593				
503	0.93985				
504	0.8875700000000001				
505	0.78632				
506	0.65263				
507	0.50836				
508	0.37662				
509	0.27198				
510	0.19418				
511	0.139				
512	0.10022				
513	0.07396				
514	0.05526				
515	0.041870000000000004				
516	0.03235				
517	0.0252				
518	0.019870000000000002				
519	0.01601				
520	0.01316				
521	0.0108				
522	0.00906				
523	0.00776				
524	0.00653				
525	0.005560000000000001				
526	0.00481				
527	0.00415				
528	0.0037				
529	0.00328				
530	0.0029				
531	0.00262				
532	0.00234				
533	0.00218				
534	0.00192				
535	0.00178				
536	0.0016300000000000002				
537	0.0015199999999999999				
538	0.0013900000000000002				
539	0.00134				
540	0.00126				
541	0.00116				
542	0.0011200000000000001				
543	0.00108				
544	0.00097				
545	0.00098				
546	0.00094				
547	0.00089				
548	0.0008699999999999999				
549	0.00084				
550	0.0008				
551	0.0008100000000000001				
552	0.0007599999999999999				
553	0.00077				
554	0.00075				
555	0.00077				
556	0.00075				
557	0.00074				
558	0.0007599999999999999				
559	0.00073				
560	0.00074				
561	0.00078				
562	0.00077				
563	0.0008				
564	0.00077				
565	0.0008100000000000001				
566	0.00083				
567	0.00086				
568	0.00089				
569	0.00095				
570	0.00096				
571	0.00098				
572	0.0010199999999999999				
573	0.00105				
574	0.00113				
575	0.00115				
576	0.00122				
577	0.0012900000000000001				
578	0.00136				
579	0.00145				
580	0.00151				
581	0.0016200000000000001				
582	0.0017499999999999998				
583	0.0018599999999999999				
584	0.00199				
585	0.00214				
586	0.0023				
587	0.0025700000000000002				
588	0.0027700000000000003				
589	0.003				
590	0.00335				
591	0.00362				
592	0.00402				
593	0.0044800000000000005				
594	0.005				
595	0.005520000000000001				
596	0.0062900000000000005				
597	0.00705				
598	0.007890000000000001				
599	0.00908				
600	0.010369999999999999				
601	0.01195				
602	0.01377				
603	0.01608				
604	0.01884				
605	0.02218				
606	0.02637				
607	0.03161				
608	0.038060000000000004				
609	0.0466				
610	0.0572				
611	0.07066				
612	0.08903				
613	0.11304				
614	0.14501				
615	0.18808				
616	0.24527000000000002				
617	0.32344				
618	0.42356				
619	0.54706				
620	0.68309				
621	0.80451				
622	0.8885599999999999				
623	0.90961				
624	0.8828100000000001				
625	0.8233199999999999				
626	0.75307				
627	0.6876099999999999				
628	0.63154				
629	0.58396				
630	0.54513				
631	0.51688				
632	0.49532				
633	0.48275				
634	0.47505000000000003				
635	0.47134				
636	0.47362000000000004				
637	0.48142				
638	0.49424				
639	0.51038				
640	0.53197				
641	0.5571				
642	0.58809				
643	0.62518				
644	0.6661400000000001				
645	0.70806				
646	0.75397				
647	0.80336				
648	0.85155				
649	0.89556				
650	0.9294899999999999				
651	0.95419				
652	0.96556				
653	0.96533				
654	0.94475				
655	0.91118				
656	0.86897				
657	0.82257				
658	0.77048				
659	0.71513				
660	0.6655				
661	0.6145700000000001				
662	0.57024				
663	0.52855				
664	0.49203				
665	0.45852				
666	0.42855				
667	0.40378000000000003				
668	0.38072				
669	0.3603				
670	0.34287				
671	0.32836				
672	0.31472				
673	0.30388000000000004				
674	0.29384				
675	0.28456				
676	0.27841				
677	0.2728				
678	0.26763000000000003				
679	0.26407				
680	0.26111999999999996				
681	0.259				
682	0.2583				
683	0.25844				
684	0.25926				
685	0.26014				
686	0.26343				
687	0.26667				
688	0.26958				
689	0.27468				
690	0.28018				
691	0.28696				
692	0.2943				
693	0.30294				
694	0.31074				
695	0.32134999999999997				
696	0.33315				
697	0.34432				
698	0.35831				
699	0.37277				
700	0.38956				
701	0.40752000000000005				
702	0.42448				
703	0.44307				
704	0.46442999999999995				
705	0.4864				
706	0.50988				
707	0.53357				
708	0.56198				
709	0.58738				
710	0.61453				
711	0.64484				
712	0.6735500000000001				
713	0.70126				
714	0.7293000000000001				
715	0.7581699999999999				
716	0.78726				
717	0.8132299999999999				
718	0.83857				
719	0.85478				
720	0.88008				
721	0.8973399999999999				
722	0.91567				
723	0.92951				
724	0.9412				
725	0.95135				
726	0.9554				
727	0.9636100000000001				
728	0.96408				
729	0.9676300000000001				
730	0.96639				
731	0.9630200000000001				
732	0.9644199999999999				
733	0.96382				
734	0.9591200000000001				
735	0.9542499999999999				
736	0.9488599999999999				
737	0.94855				
738	0.94586				
739	0.94232				
740	0.94197				
741	0.93652				
742	0.93452				
743	0.93473				
744	0.93399				
745	0.9338599999999999				
746	0.93192				
747	0.93381				
748	0.93432				
749	0.9359099999999999				
750	0.9399299999999999				
