Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	3e-05	#838383	Omega	640AF20 Bandpass	XF1208/25
301	4e-05				
302	1e-05				
303	3e-05				
304	3e-05				
305	1e-05				
306	3e-05				
307	2e-05				
308	0.0				
309	3e-05				
310	3e-05				
311	1e-05				
312	4e-05				
313	3e-05				
314	1e-05				
315	3e-05				
316	3e-05				
317	2e-05				
318	2e-05				
319	3e-05				
320	3e-05				
321	2e-05				
322	3e-05				
323	2e-05				
324	2e-05				
325	3e-05				
326	2e-05				
327	2e-05				
328	1e-05				
329	3e-05				
330	3e-05				
331	2e-05				
332	3e-05				
333	2e-05				
334	2e-05				
335	2e-05				
336	3e-05				
337	3e-05				
338	2e-05				
339	3e-05				
340	2e-05				
341	3e-05				
342	2e-05				
343	1e-05				
344	1e-05				
345	2e-05				
346	1e-05				
347	2e-05				
348	2e-05				
349	0.0				
350	2e-05				
351	0.0				
352	2e-05				
353	0.0				
354	3e-05				
355	2e-05				
356	3e-05				
357	0.0				
358	2e-05				
359	3e-05				
360	1e-05				
361	0.0				
362	3e-05				
363	1e-05				
364	1e-05				
365	2e-05				
366	2e-05				
367	1e-05				
368	4e-05				
369	0.0				
370	4e-05				
371	2e-05				
372	2e-05				
373	2e-05				
374	2e-05				
375	3e-05				
376	1e-05				
377	1e-05				
378	2e-05				
379	2e-05				
380	3e-05				
381	2e-05				
382	1e-05				
383	3e-05				
384	3e-05				
385	4e-05				
386	1e-05				
387	2e-05				
388	3e-05				
389	2e-05				
390	2e-05				
391	3e-05				
392	4e-05				
393	3e-05				
394	1e-05				
395	3e-05				
396	3e-05				
397	3e-05				
398	2e-05				
399	4e-05				
400	3e-05				
401	3e-05				
402	1e-05				
403	3e-05				
404	4e-05				
405	3e-05				
406	2e-05				
407	2e-05				
408	3e-05				
409	3e-05				
410	2e-05				
411	2e-05				
412	3e-05				
413	5e-05				
414	3e-05				
415	2e-05				
416	1e-05				
417	2e-05				
418	3e-05				
419	2e-05				
420	3e-05				
421	3e-05				
422	3e-05				
423	0.0				
424	5e-05				
425	3e-05				
426	4e-05				
427	2e-05				
428	2e-05				
429	2e-05				
430	3e-05				
431	2e-05				
432	1e-05				
433	4e-05				
434	4e-05				
435	4e-05				
436	2e-05				
437	3e-05				
438	4e-05				
439	3e-05				
440	3e-05				
441	2e-05				
442	2e-05				
443	2e-05				
444	4e-05				
445	3e-05				
446	2e-05				
447	3e-05				
448	3e-05				
449	4e-05				
450	2e-05				
451	2e-05				
452	3e-05				
453	5e-05				
454	2e-05				
455	2e-05				
456	1e-05				
457	2e-05				
458	3e-05				
459	2e-05				
460	3e-05				
461	2e-05				
462	4e-05				
463	3e-05				
464	3e-05				
