Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.0	#838383	Omega	475-625DBEX Dual Band	XF1420/25
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	2e-05				
409	1e-05				
410	1e-05				
411	3e-05				
412	1e-05				
413	1e-05				
414	1e-05				
415	5e-05				
416	2e-05				
417	0.0				
418	1e-05				
419	0.00013				
420	0.00013				
421	3e-05				
422	0.00026				
423	0.00064				
424	4e-05				
425	1e-05				
426	2e-05				
427	5e-05				
428	0.00023				
429	0.00031				
430	0.00024				
431	0.00049				
432	0.00136				
433	0.0014000000000000002				
434	0.00045				
435	0.00010999999999999999				
436	5e-05				
437	3e-05				
438	3e-05				
439	3e-05				
440	5e-05				
441	0.00012				
442	0.00039				
443	0.00194				
444	0.014570000000000001				
445	0.09432				
446	0.257				
447	0.43948				
448	0.6567400000000001				
449	0.75512				
450	0.61113				
451	0.46601				
452	0.46603				
453	0.60145				
454	0.79814				
455	0.91789				
456	0.9416500000000001				
457	0.93789				
458	0.93616				
459	0.9494400000000001				
460	0.9638899999999999				
461	0.95711				
462	0.9464400000000001				
463	0.9553100000000001				
464	0.9637300000000001				
465	0.94623				
466	0.9192				
467	0.9089400000000001				
468	0.92012				
469	0.93836				
470	0.94388				
471	0.9163800000000001				
472	0.8618000000000001				
473	0.8151600000000001				
474	0.80486				
475	0.81729				
476	0.8034699999999999				
477	0.74358				
478	0.68584				
479	0.67731				
480	0.7096399999999999				
481	0.72634				
482	0.69316				
483	0.65581				
484	0.6647799999999999				
485	0.7164499999999999				
486	0.76006				
487	0.76613				
488	0.77048				
489	0.79349				
490	0.81381				
491	0.83319				
492	0.45549				
493	0.04233				
494	0.00183				
495	0.00014000000000000001				
496	2e-05				
497	0.0				
498	0.0				
499	0.0				
500	0.0				
501	0.0				
502	0.0				
503	0.0				
504	0.0				
505	0.0				
506	0.0				
507	0.0				
508	0.0				
509	0.0				
510	0.0				
511	0.0				
512	0.0				
513	0.0				
514	0.0				
515	0.0				
516	0.0				
517	0.0				
518	0.0				
519	0.0				
520	0.0				
521	0.0				
522	0.0				
523	0.0				
524	0.0				
525	0.0				
526	0.0				
527	0.0				
528	0.0				
529	0.0				
530	0.0				
531	0.0				
532	0.0				
533	0.0				
534	0.0				
535	0.0				
536	0.0				
537	0.0				
538	0.0				
539	0.0				
540	0.0				
541	0.0				
542	0.0				
543	0.0				
544	0.0				
545	0.0				
546	0.0				
547	0.0				
548	0.0				
549	0.0				
550	0.0				
551	0.0				
552	0.0				
553	0.0				
554	0.0				
555	0.0				
556	0.0				
557	0.0				
558	0.0				
559	0.0				
560	0.0				
561	0.0				
562	0.0				
563	0.0				
564	0.0				
565	0.0				
566	0.0				
567	0.0				
568	0.0				
569	0.0				
570	0.0				
571	0.0				
572	0.0				
573	0.0				
574	0.0				
575	0.0				
576	0.0				
577	0.0				
578	0.0				
579	0.0				
580	0.0				
581	0.0				
582	0.0				
583	0.0				
584	0.0				
585	0.0				
586	0.0				
587	0.0				
588	0.0				
589	0.0				
590	0.0				
591	0.0				
592	0.0				
593	0.0				
594	0.0				
595	0.0				
596	0.0				
597	1e-05				
598	5e-05				
599	0.00031				
600	0.00262				
601	0.03093				
602	0.29317				
603	0.8331399999999999				
604	0.95304				
605	0.9406399999999999				
606	0.9066				
607	0.90178				
608	0.93427				
609	0.96218				
610	0.95552				
611	0.92984				
612	0.91807				
613	0.9299				
614	0.9539700000000001				
615	0.9724200000000001				
616	0.97892				
617	0.9799599999999999				
618	0.98222				
619	0.9838800000000001				
620	0.98031				
621	0.9709				
622	0.96177				
623	0.95907				
624	0.96344				
625	0.97036				
626	0.97477				
627	0.97473				
628	0.9714400000000001				
629	0.9671599999999999				
630	0.9638500000000001				
631	0.96241				
632	0.9644400000000001				
633	0.97069				
634	0.97854				
635	0.9831				
636	0.98367				
637	0.98241				
638	0.982				
639	0.98303				
640	0.9830800000000001				
641	0.9809				
642	0.97573				
643	0.96732				
644	0.96194				
645	0.9492				
646	0.87721				
647	0.77481				
648	0.73681				
649	0.41086				
650	0.06428				
651	0.00737				
652	0.0013800000000000002				
653	0.00037				
654	0.00013				
655	6e-05				
656	3e-05				
657	2e-05				
658	1e-05				
659	1e-05				
660	1e-05				
661	0.0				
662	0.0				
663	0.0				
664	0.0				
665	0.0				
666	0.0				
667	0.0				
668	0.0				
669	0.0				
670	0.0				
671	0.0				
672	0.0				
673	0.0				
674	0.0				
675	0.0				
676	0.0				
677	0.0				
678	0.0				
679	0.0				
680	0.0				
681	0.0				
682	0.0				
683	0.0				
684	0.0				
685	0.0				
686	0.0				
687	0.0				
688	0.0				
689	0.0				
690	0.0				
691	0.0				
692	0.0				
693	0.0				
694	0.0				
695	0.0				
696	0.0				
697	0.0				
698	0.0				
699	0.0				
700	0.0				
701	0.0				
702	0.0				
703	0.0				
704	0.0				
705	0.0				
706	0.0				
707	0.0				
708	0.0				
709	0.0				
710	0.0				
711	0.0				
712	0.0				
713	0.0				
714	0.0				
715	0.0				
716	0.0				
717	0.0				
718	0.0				
719	0.0				
720	0.0				
721	0.0				
722	0.0				
723	0.0				
724	0.0				
725	0.0				
726	0.0				
727	0.0				
728	0.0				
729	0.0				
730	0.0				
731	0.0				
732	0.0				
733	0.0				
734	0.0				
735	0.0				
736	0.0				
737	0.0				
738	0.0				
739	0.0				
740	0.0				
741	0.0				
742	0.0				
743	0.0				
744	0.0				
745	0.0				
746	0.0				
747	0.0				
748	0.0				
749	0.0				
750	0.0				
