Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#838383	Omega	560DRLP Dichroic	XF2017/25.7*36
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.00031				
337	0.0				
338	0.00057				
339	0.00127				
340	0.00312				
341	0.00425				
342	0.00848				
343	0.011810000000000001				
344	0.0159				
345	0.01856				
346	0.01967				
347	0.01935				
348	0.020950000000000003				
349	0.02059				
350	0.02265				
351	0.027999999999999997				
352	0.03553				
353	0.047060000000000005				
354	0.06502				
355	0.08660999999999999				
356	0.12461				
357	0.15863				
358	0.16129000000000002				
359	0.13934				
360	0.1148				
361	0.10325				
362	0.11103999999999999				
363	0.13452				
364	0.17835				
365	0.24275				
366	0.30754000000000004				
367	0.36939999999999995				
368	0.38256999999999997				
369	0.34572				
370	0.26619				
371	0.18861				
372	0.12599				
373	0.09157				
374	0.07532				
375	0.07236				
376	0.07531				
377	0.08281000000000001				
378	0.09291				
379	0.09769				
380	0.09487999999999999				
381	0.08771000000000001				
382	0.08363				
383	0.0823				
384	0.08802				
385	0.10829000000000001				
386	0.13882				
387	0.21239				
388	0.32420000000000004				
389	0.47093				
390	0.49132				
391	0.3893				
392	0.28466				
393	0.22893				
394	0.22286999999999998				
395	0.25246999999999997				
396	0.30868				
397	0.44232999999999995				
398	0.5737599999999999				
399	0.64847				
400	0.56524				
401	0.42311				
402	0.32798				
403	0.25781				
404	0.23244				
405	0.22073				
406	0.22277999999999998				
407	0.23257999999999998				
408	0.25028				
409	0.26727				
410	0.2891				
411	0.30751				
412	0.32557				
413	0.34918				
414	0.38791				
415	0.44789999999999996				
416	0.52666				
417	0.60649				
418	0.6920999999999999				
419	0.72909				
420	0.71358				
421	0.6583				
422	0.61373				
423	0.5794400000000001				
424	0.56718				
425	0.58219				
426	0.62466				
427	0.7069799999999999				
428	0.77354				
429	0.8553000000000001				
430	0.88672				
431	0.85536				
432	0.7873				
433	0.7111700000000001				
434	0.65347				
435	0.60131				
436	0.5771000000000001				
437	0.5727				
438	0.5856600000000001				
439	0.61951				
440	0.6645				
441	0.73012				
442	0.79663				
443	0.8560099999999999				
444	0.9032899999999999				
445	0.92553				
446	0.94				
447	0.94486				
448	0.94773				
449	0.94426				
450	0.9381				
451	0.91917				
452	0.8866200000000001				
453	0.8440099999999999				
454	0.7984				
455	0.75898				
456	0.71813				
457	0.69268				
458	0.6776399999999999				
459	0.67164				
460	0.6751				
461	0.67533				
462	0.66541				
463	0.63395				
464	0.58136				
465	0.5217499999999999				
466	0.45242				
467	0.40505				
468	0.35095				
469	0.30743				
470	0.26369				
471	0.2353				
472	0.21268				
473	0.19672				
474	0.18696000000000002				
475	0.18265				
476	0.1857				
477	0.19779				
478	0.21370999999999998				
479	0.24402000000000001				
480	0.28332				
481	0.31858000000000003				
482	0.34019				
483	0.34590000000000004				
484	0.34129				
485	0.33068				
486	0.31433				
487	0.28897				
488	0.2696				
489	0.24758				
490	0.2279				
491	0.21068				
492	0.20182				
493	0.20171				
494	0.21347000000000002				
495	0.23636				
496	0.27754				
497	0.32199				
498	0.35097				
499	0.35985				
500	0.34703				
501	0.30081				
502	0.23504000000000003				
503	0.17218				
504	0.11369				
505	0.07400999999999999				
506	0.05443				
507	0.03855				
508	0.02933				
509	0.02138				
510	0.01646				
511	0.01375				
512	0.01122				
513	0.00996				
514	0.0087				
515	0.00713				
516	0.00613				
517	0.00551				
518	0.00492				
519	0.00498				
520	0.00471				
521	0.00421				
522	0.00407				
523	0.00363				
524	0.004050000000000001				
525	0.00385				
526	0.00396				
527	0.00445				
528	0.00443				
529	0.00483				
530	0.00498				
531	0.00502				
532	0.0057399999999999994				
533	0.00627				
534	0.00701				
535	0.00773				
536	0.0084				
537	0.009559999999999999				
538	0.01141				
539	0.013500000000000002				
540	0.01559				
541	0.01843				
542	0.021099999999999997				
543	0.025150000000000002				
544	0.03036				
545	0.03697				
546	0.044829999999999995				
547	0.05698				
548	0.06726				
549	0.08234				
550	0.10413				
551	0.12952				
552	0.16205999999999998				
553	0.20071999999999998				
554	0.23337				
555	0.27788				
556	0.32531				
557	0.37689999999999996				
558	0.4218				
559	0.46792				
560	0.5107				
561	0.55232				
562	0.601				
563	0.65476				
564	0.7003100000000001				
565	0.7552				
566	0.8016599999999999				
567	0.84654				
568	0.87839				
569	0.91274				
570	0.9377500000000001				
571	0.95012				
572	0.96048				
573	0.96831				
574	0.97226				
575	0.97438				
576	0.97442				
577	0.97602				
578	0.97614				
579	0.9730800000000001				
580	0.97517				
581	0.97571				
582	0.9761				
583	0.97583				
584	0.97783				
585	0.9801300000000001				
586	0.98016				
587	0.9807899999999999				
588	0.98141				
589	0.9832599999999999				
590	0.98291				
591	0.98285				
592	0.98291				
593	0.9819100000000001				
594	0.9809				
595	0.98021				
596	0.9775499999999999				
597	0.9794700000000001				
598	0.9769199999999999				
599	0.97682				
600	0.9760599999999999				
601	0.97796				
602	0.97651				
603	0.97771				
604	0.9782500000000001				
605	0.98018				
606	0.98143				
607	0.9830200000000001				
608	0.9818899999999999				
609	0.98372				
610	0.98393				
611	0.9852				
612	0.9838800000000001				
