Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#838383	Omega	490-575DBDR Dual Band	XF2044/18*26
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.00034				
341	0.0				
342	0.00116				
343	0.00065				
344	0.00123				
345	0.00128				
346	0.00041				
347	0.0019				
348	0.005620000000000001				
349	0.01173				
350	0.01871				
351	0.024489999999999998				
352	0.03637				
353	0.05288				
354	0.06055				
355	0.06275				
356	0.06604				
357	0.07734				
358	0.07386				
359	0.0556				
360	0.03646				
361	0.02212				
362	0.01518				
363	0.0128				
364	0.012119999999999999				
365	0.01389				
366	0.01617				
367	0.02152				
368	0.02863				
369	0.0394				
370	0.07443				
371	0.13676				
372	0.16518999999999998				
373	0.11412000000000001				
374	0.09344				
375	0.13701				
376	0.16306				
377	0.09813000000000001				
378	0.02634				
379	0.00795				
380	0.00391				
381	0.0019				
382	0.0020599999999999998				
383	0.00228				
384	0.004739999999999999				
385	0.01443				
386	0.05253				
387	0.11656000000000001				
388	0.10824				
389	0.049800000000000004				
390	0.01644				
391	0.01375				
392	0.01806				
393	0.037309999999999996				
394	0.12435				
395	0.16515999999999997				
396	0.12544				
397	0.059800000000000006				
398	0.03178				
399	0.029060000000000002				
400	0.03948				
401	0.06487				
402	0.12374				
403	0.15258				
404	0.11993000000000001				
405	0.0748				
406	0.05102				
407	0.04181				
408	0.0455				
409	0.07779				
410	0.15467				
411	0.31554				
412	0.38929				
413	0.32872				
414	0.17742999999999998				
415	0.06521				
416	0.041429999999999995				
417	0.0332				
418	0.03118				
419	0.03562				
420	0.04981				
421	0.09064				
422	0.16071000000000002				
423	0.33825000000000005				
424	0.44466				
425	0.39377				
426	0.25237				
427	0.12606				
428	0.08449999999999999				
429	0.0713				
430	0.08033				
431	0.13951				
432	0.24205				
433	0.35070999999999997				
434	0.34915				
435	0.25316				
436	0.11717000000000001				
437	0.05961				
438	0.03579				
439	0.02787				
440	0.02331				
441	0.02173				
442	0.02408				
443	0.0287				
444	0.04002				
445	0.06549				
446	0.14343				
447	0.29042				
448	0.39146000000000003				
449	0.38488999999999995				
