Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#838383	Omega	400-485-580 TBDR Dichroic	XF2045/25.7*36
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.00067				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.00027				
335	0.0				
336	3e-05				
337	0.0				
338	0.0				
339	0.00094				
340	0.00095				
341	0.00031				
342	0.00018999999999999998				
343	0.00017999999999999998				
344	0.0				
345	0.00117				
346	0.00039				
347	0.0033				
348	0.005390000000000001				
349	0.00672				
350	0.00732				
351	0.00509				
352	0.0041199999999999995				
353	0.0038900000000000002				
354	0.00776				
355	0.01056				
356	0.01133				
357	0.008020000000000001				
358	0.0042899999999999995				
359	0.00017999999999999998				
360	0.0001				
361	0.00015				
362	0.00014000000000000001				
363	0.00037999999999999997				
364	0.0				
365	0.0				
366	0.0				
367	0.0008699999999999999				
368	0.00075				
369	0.00068				
370	0.0010299999999999999				
371	0.01085				
372	0.03363				
373	0.041280000000000004				
374	0.029910000000000003				
375	0.0102				
376	0.00419				
377	0.012110000000000001				
378	0.0298				
379	0.04054				
380	0.03464				
381	0.01538				
382	0.00394				
383	0.0013				
384	0.00213				
385	0.00251				
386	0.0070799999999999995				
387	0.014839999999999999				
388	0.01804				
389	0.014570000000000001				
390	0.006860000000000001				
391	0.00331				
392	0.00136				
393	0.00149				
394	0.001				
395	0.002				
396	0.00267				
397	0.00748				
398	0.0165				
399	0.02413				
400	0.02541				
401	0.02316				
402	0.014950000000000001				
403	0.00951				
404	0.008110000000000001				
405	0.00783				
406	0.00892				
407	0.011160000000000002				
408	0.01781				
409	0.03925				
410	0.09051999999999999				
411	0.19192				
412	0.22428				
413	0.19927				
414	0.13162000000000001				
415	0.05197				
416	0.023610000000000003				
417	0.01444				
418	0.0109				
419	0.010089999999999998				
420	0.00949				
421	0.010700000000000001				
422	0.0124				
423	0.016200000000000003				
424	0.02265				
425	0.03193				
426	0.04244				
427	0.05808				
428	0.07303				
429	0.08342000000000001				
