Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
351	0.0	#838383	Omega	390-510-630TBDR Triple Band	XF2056/25.7*36
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.00012				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0005099999999999999				
392	0.0012900000000000001				
393	0.00219				
394	0.00319				
395	0.00362				
396	0.00466				
397	0.0053100000000000005				
398	0.00567				
399	0.00705				
400	0.0074				
401	0.00955				
402	0.01068				
403	0.01222				
404	0.01431				
405	0.01684				
406	0.018600000000000002				
407	0.02205				
408	0.025390000000000003				
409	0.031110000000000002				
410	0.0363				
411	0.042640000000000004				
412	0.04845				
413	0.0572				
414	0.06859				
415	0.08375				
416	0.0978				
417	0.11709				
418	0.13597				
419	0.16248				
420	0.19277				
421	0.23034				
422	0.26125				
423	0.3048				
424	0.33818				
425	0.37059				
426	0.391				
427	0.40539000000000003				
428	0.41655000000000003				
429	0.43156999999999995				
430	0.44778				
431	0.46488999999999997				
432	0.47243				
433	0.47051000000000004				
434	0.45844				
435	0.44368				
436	0.43045				
437	0.42944000000000004				
438	0.44104				
439	0.46604999999999996				
440	0.51539				
441	0.57923				
442	0.64875				
443	0.6952200000000001				
444	0.7225400000000001				
445	0.7166				
446	0.68372				
447	0.6450199999999999				
448	0.61759				
449	0.6114200000000001				
450	0.62476				
451	0.64984				
452	0.6910200000000001				
453	0.72881				
454	0.74617				
455	0.74791				
456	0.7360599999999999				
457	0.7118099999999999				
458	0.68863				
459	0.6762				
460	0.67808				
461	0.69593				
462	0.7249				
463	0.7761199999999999				
464	0.82572				
465	0.85506				
466	0.87023				
467	0.8694				
468	0.85407				
469	0.8293600000000001				
470	0.80955				
471	0.79904				
472	0.7961100000000001				
473	0.8072				
474	0.82647				
475	0.85003				
476	0.86272				
477	0.8675499999999999				
478	0.8607299999999999				
479	0.84075				
480	0.8085800000000001				
481	0.77915				
482	0.75173				
483	0.73311				
