Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.0	#838383	Omega	435ALP Longpass	XF3088/25
351	1e-05				
352	0.0				
353	3e-05				
354	1e-05				
355	1e-05				
356	2e-05				
357	1e-05				
358	2e-05				
359	1e-05				
360	2e-05				
361	0.0				
362	0.0				
363	2e-05				
364	1e-05				
365	1e-05				
366	1e-05				
367	0.0				
368	1e-05				
369	0.0				
370	1e-05				
371	2e-05				
372	0.0				
373	0.0				
374	0.0				
375	2e-05				
376	2e-05				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	2e-05				
386	0.0				
387	0.0				
388	1e-05				
389	0.0				
390	0.0				
391	1e-05				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	2e-05				
398	1e-05				
399	1e-05				
400	0.0				
401	1e-05				
402	0.0				
403	0.0				
404	2e-05				
405	3e-05				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	3e-05				
411	2e-05				
412	0.0				
413	0.0				
414	2e-05				
415	0.0				
416	3e-05				
417	0.0				
418	0.0				
419	2e-05				
420	0.0				
421	3e-05				
422	2e-05				
423	0.0				
424	0.0				
425	0.0				
426	2e-05				
427	0.0				
428	2e-05				
429	3e-05				
430	1e-05				
431	3e-05				
432	0.0				
433	2e-05				
434	3e-05				
435	7.000000000000001e-05				
436	0.0002				
437	0.00052				
438	0.0016				
439	0.005390000000000001				
440	0.01969				
441	0.0723				
442	0.23002				
443	0.50037				
444	0.71152				
445	0.8084699999999999				
446	0.84308				
447	0.8461				
448	0.8377899999999999				
449	0.83545				
450	0.84237				
451	0.8542400000000001				
452	0.8642				
453	0.86851				
454	0.86469				
455	0.85474				
456	0.84408				
457	0.83672				
458	0.83501				
459	0.8393200000000001				
460	0.8494700000000001				
461	0.8621599999999999				
462	0.87541				
463	0.88691				
464	0.89452				
465	0.89827				
466	0.89782				
467	0.895				
468	0.89131				
469	0.888				
470	0.8863				
471	0.88631				
472	0.88751				
473	0.89083				
474	0.89412				
475	0.8982800000000001				
476	0.90134				
477	0.90366				
478	0.90512				
479	0.90551				
480	0.90508				
481	0.90494				
482	0.90448				
483	0.90362				
484	0.9031				
485	0.90259				
486	0.9018999999999999				
487	0.9020600000000001				
488	0.9019499999999999				
489	0.9015900000000001				
490	0.9011100000000001				
491	0.9016200000000001				
492	0.90148				
493	0.90241				
494	0.90298				
495	0.9045399999999999				
496	0.90656				
497	0.90807				
498	0.9102800000000001				
499	0.91147				
500	0.9116500000000001				
501	0.91096				
502	0.90915				
503	0.90574				
504	0.90164				
505	0.89629				
506	0.88958				
507	0.88414				
508	0.87739				
509	0.87226				
510	0.86737				
511	0.8645499999999999				
512	0.86284				
513	0.86244				
514	0.86468				
515	0.86802				
516	0.87316				
517	0.8789199999999999				
518	0.8855				
519	0.8924500000000001				
520	0.89893				
521	0.9052899999999999				
522	0.9111100000000001				
523	0.91521				
524	0.9167799999999999				
525	0.9169799999999999				
526	0.91577				
527	0.91306				
528	0.90901				
529	0.90484				
530	0.89986				
531	0.89408				
532	0.88973				
533	0.88657				
534	0.88248				
535	0.8803				
536	0.88004				
537	0.8809				
538	0.88154				
539	0.88414				
540	0.88866				
541	0.89283				
542	0.89562				
543	0.90045				
544	0.90833				
545	0.9117400000000001				
546	0.91155				
547	0.9135599999999999				
548	0.9226399999999999				
549	0.92474				
550	0.92479				
551	0.92097				
552	0.9194599999999999				
553	0.91692				
554	0.91447				
555	0.9121299999999999				
