Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
205	0.00197	#bcf021	Tangsinuo	LB19	0
210	0.0019500000000000001				
215	0.00192				
220	0.00189				
225	0.0018599999999999999				
230	0.00184				
235	0.00181				
240	0.00178				
245	0.0017599999999999998				
250	0.0017299999999999998				
255	0.0017000000000000001				
260	0.00168				
265	0.00165				
270	0.0016200000000000001				
275	0.0016				
280	0.00157				
285	0.00154				
290	0.0015199999999999999				
295	0.00149				
300	0.00146				
305	0.0014399999999999999				
310	0.0014099999999999998				
315	0.0013800000000000002				
320	0.00136				
325	0.00133				
330	0.0013				
335	0.00128				
340	0.00125				
345	0.00122				
350	0.0012				
355	0.00117				
360	0.00114				
365	0.00111				
370	0.00109				
375	0.00106				
380	0.0010299999999999999				
385	0.00101				
390	0.00098				
395	0.00095				
400	0.0009299999999999999				
405	0.0009				
410	0.0008699999999999999				
415	0.0008500000000000001				
420	0.00082				
425	0.00098				
430	0.00369				
435	0.00641				
440	0.009130000000000001				
445	0.011850000000000001				
450	0.014570000000000001				
455	0.01863				
460	0.02307				
465	0.02751				
470	0.03184				
475	0.03594				
480	0.04003999999999999				
485	0.04415				
490	0.04804				
495	0.05184999999999999				
500	0.055650000000000005				
505	0.05912				
510	0.05846				
515	0.05779				
520	0.05713				
525	0.05345				
530	0.04598				
535	0.03851				
540	0.03104				
545	0.024540000000000003				
550	0.018260000000000002				
555	0.01198				
560	0.00752				
565	0.00482				
570	0.00212				
575	0.0				
580	0.0				
585	0.0				
590	0.0				
595	0.0				
600	0.0				
605	0.0				
610	0.0				
615	0.0				
620	0.0				
625	0.0				
630	0.0				
635	0.0				
640	0.0				
645	0.0				
650	0.0				
655	0.0				
660	0.0				
665	0.0				
670	0.0				
675	0.0				
680	0.0				
685	0.0				
690	0.0				
695	0.0				
700	0.0				
705	0.0				
710	0.0				
715	0.0				
720	0.0				
725	0.0				
730	0.0				
735	0.0				
740	0.0				
745	0.0				
750	0.0				
755	0.0				
760	0.0				
765	0.0				
770	0.0				
775	0.0				
780	0.0				
785	0.0				
790	0.0				
795	0.0				
800	0.0				
805	0.0				
810	0.0				
815	0.0				
820	0.0				
825	0.0				
830	0.0				
835	0.0				
840	0.0				
845	0.0				
850	0.0				
855	0.0				
860	0.0				
865	0.0				
870	0.0				
875	0.0				
880	0.0				
885	0.0				
890	0.0				
895	0.0				
900	0.0				
905	0.0				
910	0.0				
915	0.0				
920	0.0				
925	0.0				
930	0.0				
935	0.0				
940	0.0				
945	0.0				
950	0.0				
955	0.0				
960	0.0				
965	0.0				
970	0.0				
975	0.0				
980	0.0				
985	0.0				
990	0.0				
995	0.0				
1000	0.0				
