Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
215	0.02091	#55ded0	Tangsinuo	QB26	0
220	0.02081				
225	0.020710000000000003				
230	0.02061				
235	0.02051				
240	0.020409999999999998				
245	0.02032				
250	0.02022				
255	0.02012				
260	0.020019999999999996				
265	0.01992				
270	0.01982				
275	0.01972				
280	0.01962				
285	0.01951				
290	0.01941				
295	0.01931				
300	0.0192				
305	0.0191				
310	0.019				
315	0.01889				
320	0.01879				
325	0.01869				
330	0.01858				
335	0.02775				
340	0.038599999999999995				
345	0.06193				
350	0.08676				
355	0.11335				
360	0.14218999999999998				
365	0.17501999999999998				
370	0.20806000000000002				
375	0.23825				
380	0.26716				
385	0.29499				
390	0.32269				
395	0.35023000000000004				
400	0.3757				
405	0.39858				
410	0.42349				
415	0.44795				
420	0.47013				
425	0.49062				
430	0.51074				
435	0.53067				
440	0.54881				
445	0.56501				
450	0.5818800000000001				
455	0.5997				
460	0.6163000000000001				
465	0.6319400000000001				
470	0.64711				
475	0.66167				
480	0.67592				
485	0.68843				
490	0.7009399999999999				
495	0.7132200000000001				
500	0.7206100000000001				
505	0.728				
510	0.73539				
515	0.73836				
520	0.73859				
525	0.73881				
530	0.7387699999999999				
535	0.72792				
540	0.71707				
545	0.69943				
550	0.67205				
555	0.6409199999999999				
560	0.60933				
565	0.5745600000000001				
570	0.53595				
575	0.49845				
580	0.45979				
585	0.41759999999999997				
590	0.37498				
595	0.33094999999999997				
600	0.28763				
605	0.24192				
610	0.19484				
615	0.14761				
620	0.10313				
625	0.06713				
630	0.048010000000000004				
635	0.03487				
640	0.02916				
645	0.023450000000000002				
650	0.02213				
655	0.02213				
660	0.02213				
665	0.02213				
670	0.02213				
675	0.02213				
680	0.02213				
685	0.02213				
690	0.02213				
695	0.02213				
700	0.02213				
705	0.02204				
710	0.02193				
715	0.02182				
720	0.0217				
725	0.021589999999999998				
730	0.021480000000000003				
735	0.02137				
740	0.02125				
745	0.02114				
750	0.021030000000000004				
755	0.02092				
760	0.02081				
765	0.02069				
770	0.020579999999999998				
775	0.020470000000000002				
780	0.02036				
785	0.02024				
790	0.02013				
795	0.020019999999999996				
800	0.01991				
805	0.019790000000000002				
810	0.019610000000000002				
815	0.01941				
820	0.01921				
825	0.019				
830	0.018799999999999997				
835	0.01859				
840	0.01839				
845	0.01818				
850	0.01798				
855	0.01778				
860	0.01757				
865	0.01766				
870	0.0199				
875	0.02214				
880	0.02437				
885	0.02661				
890	0.028849999999999997				
895	0.03117				
900	0.0335				
905	0.03583				
910	0.0385				
915	0.04168				
920	0.04485				
925	0.04808				
930	0.05135				
935	0.054619999999999995				
940	0.05789				
945	0.06116				
950	0.06419				
955	0.06647				
960	0.06875				
965	0.07103				
970	0.07346				
975	0.07672				
980	0.07998				
985	0.08324				
990	0.08650000000000001				
