Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
205	0.010740000000000001	#1c189f	Tangsinuo	QB29-2 BG25	0
210	0.010740000000000001				
215	0.010740000000000001				
220	0.010740000000000001				
225	0.010740000000000001				
230	0.010740000000000001				
235	0.010740000000000001				
240	0.010740000000000001				
245	0.010740000000000001				
250	0.010740000000000001				
255	0.010740000000000001				
260	0.010740000000000001				
265	0.010740000000000001				
270	0.010740000000000001				
275	0.010740000000000001				
280	0.010740000000000001				
285	0.010740000000000001				
290	0.010740000000000001				
295	0.010740000000000001				
300	0.01118				
305	0.01373				
310	0.02749				
315	0.07033				
320	0.15908				
325	0.26647				
330	0.39309				
335	0.50459				
340	0.58996				
345	0.66361				
350	0.71616				
355	0.7562000000000001				
360	0.7855200000000001				
365	0.8033100000000001				
370	0.8146800000000001				
375	0.82175				
380	0.8294499999999999				
385	0.83562				
390	0.83926				
395	0.83914				
400	0.8313200000000001				
405	0.8203199999999999				
410	0.8071200000000001				
415	0.79241				
420	0.77739				
425	0.7566200000000001				
430	0.7299				
435	0.70249				
440	0.6755500000000001				
445	0.6453700000000001				
450	0.60643				
455	0.56462				
460	0.51609				
465	0.45602				
470	0.37789				
475	0.29661000000000004				
480	0.21623				
485	0.15079				
490	0.09997				
495	0.06794				
500	0.047119999999999995				
505	0.03212				
510	0.02129				
515	0.01474				
520	0.01214				
525	0.01097				
530	0.010740000000000001				
535	0.010740000000000001				
540	0.010740000000000001				
545	0.010740000000000001				
550	0.010740000000000001				
555	0.010740000000000001				
560	0.010740000000000001				
565	0.010740000000000001				
570	0.010740000000000001				
575	0.010740000000000001				
580	0.010740000000000001				
585	0.010740000000000001				
590	0.010740000000000001				
595	0.010740000000000001				
600	0.010740000000000001				
605	0.010740000000000001				
610	0.010740000000000001				
615	0.010740000000000001				
620	0.010740000000000001				
625	0.010740000000000001				
630	0.010740000000000001				
635	0.010740000000000001				
640	0.010740000000000001				
645	0.010740000000000001				
650	0.010740000000000001				
655	0.010740000000000001				
660	0.010740000000000001				
665	0.010740000000000001				
670	0.010740000000000001				
675	0.01084				
680	0.01141				
685	0.01548				
690	0.0235				
695	0.036520000000000004				
700	0.05376				
705	0.07218				
710	0.08698				
715	0.09778				
720	0.1042				
725	0.10758				
730	0.1091				
735	0.1093				
740	0.10849				
745	0.10728				
750	0.10602				
755	0.10483				
760	0.10364000000000001				
765	0.10252				
770	0.10149				
775	0.10064000000000001				
780	0.10022				
785	0.09971999999999999				
790	0.09946999999999999				
795	0.09946999999999999				
800	0.09946999999999999				
805	0.09969				
810	0.10018				
815	0.10071				
820	0.10071				
825	0.10147				
830	0.10217999999999999				
835	0.10287				
840	0.10389				
845	0.10476				
850	0.10586000000000001				
855	0.10718				
860	0.10862999999999999				
865	0.10975				
870	0.11122				
875	0.11297				
880	0.11485				
885	0.11688000000000001				
890	0.11892				
895	0.121				
900	0.12317				
905	0.12576				
910	0.12827				
915	0.13083				
920	0.13355				
925	0.13619				
930	0.13894				
935	0.14184				
940	0.1449				
945	0.14797000000000002				
950	0.15151				
955	0.15509				
960	0.15837				
965	0.16083999999999998				
970	0.16368				
975	0.16669				
980	0.16975				
985	0.17282				
990	0.17594				
995	0.17897				
1000	0.18186				
1005	0.18513000000000002				
1010	0.18779				
1015	0.19021999999999997				
1020	0.19258				
1025	0.19479				
1030	0.19687000000000002				
1035	0.19856000000000001				
1040	0.19977				
1045	0.20062000000000002				
1050	0.20106000000000002				
1055	0.20115				
1060	0.20079				
1065	0.19952000000000003				
1070	0.19738				
1075	0.19469				
1080	0.19152999999999998				
1085	0.18795				
1090	0.18269				
1095	0.1778				
