Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#838383	Chroma	Unnamed	69002m
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.0				
423	1e-05				
424	1e-05				
425	1e-05				
426	2e-05				
427	3e-05				
428	6e-05				
429	0.00012				
430	0.00021				
431	0.00034				
432	0.00045				
433	0.00042				
434	0.00037				
435	0.00042				
436	0.00062				
437	0.00121				
438	0.0028899999999999998				
439	0.008539999999999999				
440	0.03406				
441	0.19507000000000002				
442	0.63129				
443	0.8349599999999999				
444	0.8881600000000001				
445	0.9211400000000001				
446	0.91795				
447	0.9329000000000001				
448	0.9579900000000001				
449	0.97455				
450	0.98332				
451	0.98335				
452	0.97343				
453	0.9638899999999999				
454	0.96785				
455	0.97615				
456	0.9691500000000001				
457	0.95718				
458	0.9605800000000001				
459	0.9705400000000001				
460	0.96635				
461	0.96126				
462	0.9721899999999999				
463	0.9799				
464	0.9738500000000001				
465	0.96738				
466	0.9506600000000001				
467	0.92684				
468	0.93624				
469	0.9569199999999999				
470	0.9692400000000001				
471	0.91865				
472	0.56552				
473	0.10676000000000001				
474	0.00713				
475	0.0006				
476	8e-05				
477	2e-05				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	0.0				
497	0.0				
498	0.0				
499	0.0				
500	0.0				
501	0.0				
502	0.0				
503	0.0				
504	0.0				
505	0.0				
506	0.0				
507	1e-05				
508	4e-05				
509	0.00017999999999999998				
510	0.00109				
511	0.00904				
512	0.12168				
513	0.68393				
514	0.95026				
515	0.97409				
516	0.9776900000000001				
517	0.98003				
518	0.9810599999999999				
519	0.9718800000000001				
520	0.9731000000000001				
521	0.98141				
522	0.9786400000000001				
523	0.96994				
524	0.9720799999999999				
525	0.98225				
526	0.9862000000000001				
527	0.9829300000000001				
528	0.9819599999999999				
529	0.9860500000000001				
530	0.9880599999999999				
531	0.9835699999999999				
532	0.97895				
533	0.9817				
534	0.98741				
535	0.98886				
536	0.987				
537	0.98631				
538	0.9843600000000001				
539	0.9759699999999999				
540	0.96906				
541	0.96943				
542	0.96675				
543	0.95648				
544	0.95963				
545	0.9736499999999999				
546	0.96807				
547	0.73722				
548	0.19099				
549	0.021070000000000002				
550	0.00314				
551	0.00063				
552	0.00016				
553	5e-05				
554	2e-05				
555	1e-05				
556	0.0				
557	0.0				
558	0.0				
559	0.0				
560	0.0				
561	0.0				
562	0.0				
563	0.0				
564	0.0				
565	0.0				
566	0.0				
567	0.0				
568	0.0				
569	0.0				
570	0.0				
571	0.0				
572	0.0				
573	0.0				
574	0.0				
575	0.0				
576	0.0				
577	0.0				
578	0.0				
579	0.0				
580	0.0				
581	0.0				
582	0.0				
583	0.0				
584	0.0				
585	0.0				
586	0.0				
587	0.0				
588	0.0				
589	0.0				
590	0.0				
591	0.0				
592	1e-05				
593	2e-05				
594	4e-05				
595	0.0001				
596	0.00029				
597	0.0008799999999999999				
598	0.00319				
599	0.01343				
600	0.07388				
601	0.37637				
602	0.84				
603	0.95732				
604	0.96967				
605	0.9779000000000001				
606	0.97612				
607	0.97756				
608	0.9847199999999999				
609	0.98932				
610	0.9883				
611	0.98509				
612	0.9820399999999999				
613	0.9784900000000001				
