Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	0.0	#838383	Chroma	Unnamed	89007bs
381	0.02883				
382	0.07857				
383	0.11991				
384	0.10926				
385	0.06412				
386	0.018340000000000002				
387	0.01539				
388	0.00815				
389	0.00211				
390	0.00231				
391	0.00146				
392	0.00106				
393	0.00199				
394	0.00484				
395	0.00638				
396	0.00291				
397	0.00191				
398	0.0026				
399	0.00154				
400	0.0011				
401	0.00136				
402	0.00169				
403	0.00161				
404	0.0033				
405	0.00838				
406	0.00967				
407	0.00386				
408	0.00366				
409	0.00881				
410	0.00989				
411	0.00455				
412	0.00114				
413	0.00244				
414	0.00912				
415	0.012390000000000002				
416	0.00705				
417	0.00194				
418	0.0013800000000000002				
419	0.0013700000000000001				
420	0.00084				
421	0.00089				
422	0.0014199999999999998				
423	0.00365				
424	0.00452				
425	0.00291				
426	0.00117				
427	0.00092				
428	0.00181				
429	0.00444				
430	0.0076100000000000004				
431	0.0059099999999999995				
432	0.00292				
433	0.0027400000000000002				
434	0.0049				
435	0.00807				
436	0.010209999999999999				
437	0.00942				
438	0.00877				
439	0.0097				
440	0.010740000000000001				
441	0.0103				
442	0.00988				
443	0.011120000000000001				
444	0.01433				
445	0.02051				
446	0.029289999999999997				
447	0.04255				
448	0.06756999999999999				
449	0.11469				
450	0.21703				
451	0.36294				
452	0.55558				
453	0.7754800000000001				
454	0.93159				
455	0.97006				
456	0.9724200000000001				
457	0.9716899999999999				
458	0.9732599999999999				
459	0.97584				
460	0.97764				
461	0.97423				
462	0.96965				
463	0.96714				
464	0.96577				
465	0.9644400000000001				
466	0.9671				
467	0.97258				
468	0.9783				
469	0.97816				
470	0.97787				
471	0.9781799999999999				
472	0.98001				
473	0.98002				
474	0.97895				
475	0.9788				
476	0.97587				
477	0.96827				
478	0.9587300000000001				
479	0.95025				
480	0.9355100000000001				
481	0.89923				
482	0.80789				
483	0.66872				
484	0.5170600000000001				
485	0.38925				
486	0.24936				
487	0.10255				
488	0.0455				
489	0.017230000000000002				
490	0.00795				
491	0.004719999999999999				
492	0.00262				
493	0.0019				
494	0.0012900000000000001				
495	0.0010199999999999999				
496	0.00089				
497	0.00075				
498	0.0006900000000000001				
499	0.0005899999999999999				
500	0.00063				
501	0.00061				
502	0.0006900000000000001				
