Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#838383	Chroma	Unnamed	AT495lp
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	1e-05				
337	1e-05				
338	1e-05				
339	1e-05				
340	1e-05				
341	1e-05				
342	1e-05				
343	1e-05				
344	1e-05				
345	1e-05				
346	1e-05				
347	1e-05				
348	1e-05				
349	1e-05				
350	1e-05				
351	2e-05				
352	1e-05				
353	1e-05				
354	1e-05				
355	2e-05				
356	1e-05				
357	0.0				
358	1e-05				
359	2e-05				
360	1e-05				
361	0.0				
362	0.0				
363	1e-05				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.0				
423	0.0				
424	0.0				
425	0.0				
426	0.0				
427	0.0				
428	0.0				
429	0.0				
430	0.0				
431	0.0				
432	0.0				
433	0.0				
434	0.0				
435	0.0				
436	0.0				
437	0.0				
438	0.0				
439	0.0				
440	0.0				
441	0.0				
442	0.0				
443	0.0				
444	0.0				
445	0.0				
446	0.0				
447	0.0				
448	0.0				
449	0.0				
450	0.0				
451	0.0				
452	0.0				
453	0.0				
454	0.0				
455	0.0				
456	0.0				
457	0.0				
458	0.0				
459	0.0				
460	0.0				
461	0.0				
462	0.0				
463	0.0				
464	0.0				
465	0.0				
466	0.0				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	0.0				
472	0.0				
473	0.0				
474	0.0				
475	0.0				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	1e-05				
488	3e-05				
489	7.000000000000001e-05				
490	0.00021				
491	0.00063				
492	0.00207				
493	0.00754				
494	0.030979999999999997				
495	0.13684				
496	0.45126				
497	0.8242				
498	0.94227				
499	0.9488500000000001				
500	0.94955				
501	0.94947				
502	0.95132				
503	0.9515300000000001				
504	0.95138				
505	0.94671				
506	0.94536				
507	0.9471200000000001				
508	0.94715				
509	0.95045				
510	0.9521999999999999				
511	0.9528700000000001				
512	0.95325				
513	0.9507800000000001				
514	0.95184				
515	0.95095				
516	0.9531499999999999				
517	0.9522799999999999				
518	0.9514100000000001				
519	0.9518099999999999				
520	0.95025				
521	0.9466899999999999				
522	0.94705				
523	0.94782				
524	0.94963				
525	0.95088				
526	0.95092				
527	0.9527				
528	0.95229				
529	0.94971				
530	0.95074				
531	0.9493699999999999				
532	0.9483499999999999				
533	0.9483400000000001				
534	0.94929				
535	0.9516800000000001				
536	0.95186				
537	0.95261				
538	0.9533799999999999				
539	0.95261				
540	0.9518000000000001				
541	0.95005				
542	0.9485899999999999				
543	0.94931				
544	0.95123				
545	0.94949				
546	0.95083				
547	0.95211				
548	0.9545999999999999				
549	0.9532299999999999				
550	0.9533400000000001				
551	0.95391				
552	0.9517				
553	0.95126				
554	0.94961				
555	0.94973				
556	0.94935				
557	0.9498399999999999				
558	0.95146				
559	0.95152				
560	0.9504300000000001				
561	0.9508199999999999				
562	0.95132				
563	0.9523199999999999				
564	0.95328				
565	0.9531100000000001				
566	0.9526600000000001				
567	0.9518000000000001				
568	0.9516100000000001				
569	0.95248				
570	0.95356				
571	0.9527800000000001				
572	0.9532299999999999				
573	0.9546800000000001				
574	0.95146				
575	0.9539300000000001				
576	0.95485				
577	0.95285				
578	0.9539799999999999				
579	0.9549				
580	0.95255				
581	0.9545999999999999				
582	0.95447				
583	0.9537300000000001				
584	0.95526				
585	0.95371				
586	0.9542				
587	0.95391				
588	0.9521200000000001				
589	0.95093				
590	0.9501900000000001				
591	0.94816				
592	0.94796				
593	0.94575				
594	0.94529				
595	0.9461400000000001				
596	0.94612				
597	0.94634				
598	0.9446800000000001				
599	0.94645				
600	0.94734				
601	0.94827				
602	0.9477				
603	0.94962				
604	0.94863				
605	0.94833				
606	0.94911				
607	0.9480299999999999				
608	0.94836				
609	0.94781				
610	0.94666				
611	0.94616				
612	0.9449200000000001				
613	0.94354				
614	0.9426399999999999				
615	0.9418300000000001				
616	0.9409000000000001				
617	0.9415				
618	0.94021				
619	0.9411799999999999				
620	0.94105				
621	0.94217				
622	0.9423999999999999				
623	0.94377				
624	0.94479				
625	0.94691				
626	0.94814				
627	0.95063				
628	0.95038				
629	0.9515600000000001				
630	0.9523699999999999				
631	0.95229				
632	0.95167				
633	0.9528300000000001				
634	0.95024				
635	0.9505800000000001				
636	0.9490900000000001				
637	0.94648				
638	0.9460200000000001				
639	0.9443				
640	0.94258				
641	0.94353				
642	0.94403				
643	0.94351				
644	0.94255				
645	0.94439				
646	0.9442				
647	0.94691				
648	0.94774				
649	0.9489799999999999				
650	0.9504900000000001				
651	0.95054				
652	0.9512900000000001				
653	0.95074				
654	0.95184				
655	0.95003				
656	0.94884				
657	0.94746				
658	0.94604				
659	0.94271				
660	0.94187				
661	0.9405500000000001				
662	0.9406399999999999				
663	0.94017				
664	0.93818				
665	0.93791				
666	0.93927				
667	0.94164				
668	0.94242				
669	0.94452				
670	0.9460200000000001				
671	0.94655				
672	0.94843				
673	0.94839				
674	0.95015				
675	0.94958				
676	0.94922				
677	0.94768				
678	0.94552				
679	0.9429500000000001				
680	0.94167				
681	0.9383				
682	0.93431				
683	0.93244				
684	0.92915				
685	0.92728				
686	0.9255800000000001				
687	0.9242				
688	0.92437				
689	0.9246099999999999				
690	0.9250400000000001				
691	0.92682				
692	0.93006				
693	0.9317300000000001				
694	0.9344100000000001				
695	0.9387300000000001				
696	0.94001				
697	0.94329				
698	0.94557				
699	0.94625				
700	0.94947				
701	0.94952				
702	0.94999				
703	0.9505500000000001				
704	0.95024				
705	0.94857				
706	0.9488500000000001				
707	0.9436				
708	0.94777				
709	0.9433				
710	0.9419799999999999				
711	0.9412999999999999				
712	0.9401999999999999				
713	0.941				
714	0.93905				
715	0.9398000000000001				
716	0.9407800000000001				
717	0.94269				
718	0.9431100000000001				
719	0.9438200000000001				
720	0.94516				
721	0.94765				
722	0.94679				
723	0.9489799999999999				
724	0.9473199999999999				
725	0.9498099999999999				
726	0.94754				
727	0.9473199999999999				
728	0.94583				
729	0.94309				
730	0.9425199999999999				
731	0.93932				
732	0.93573				
733	0.93443				
734	0.93144				
735	0.92865				
736	0.92708				
737	0.9235				
738	0.92464				
739	0.92364				
740	0.9201900000000001				
741	0.92246				
742	0.92419				
743	0.92464				
744	0.9293600000000001				
745	0.92872				
746	0.93357				
747	0.93298				
748	0.93887				
749	0.93931				
750	0.9436				
751	0.94552				
752	0.94796				
753	0.9434699999999999				
754	0.9481100000000001				
755	0.94812				
756	0.9472				
757	0.94734				
758	0.94084				
759	0.94144				
760	0.93577				
761	0.9353199999999999				
762	0.9365600000000001				
763	0.9292900000000001				
764	0.92294				
765	0.91852				
766	0.9206799999999999				
767	0.9185899999999999				
768	0.9190200000000001				
769	0.91629				
770	0.91606				
771	0.91625				
772	0.91793				
773	0.91617				
774	0.92065				
775	0.92279				
776	0.92216				
777	0.92719				
778	0.92715				
779	0.93161				
780	0.93577				
781	0.9401				
782	0.94215				
783	0.94438				
784	0.9505800000000001				
785	0.95001				
786	0.94938				
787	0.95042				
788	0.9476				
789	0.95355				
790	0.95418				
791	0.94893				
792	0.94922				
793	0.9457899999999999				
794	0.94112				
795	0.93914				
796	0.93703				
797	0.9400499999999999				
798	0.9364				
799	0.93458				
800	0.92891				
801	0.92797				
802	0.9267700000000001				
803	0.9254600000000001				
804	0.9257299999999999				
805	0.9257				
806	0.92632				
807	0.92707				
808	0.92767				
809	0.92925				
810	0.93092				
811	0.9335				
812	0.93444				
813	0.93651				
814	0.93767				
815	0.9396899999999999				
816	0.94235				
817	0.94301				
818	0.9448399999999999				
819	0.9453499999999999				
820	0.94666				
821	0.94659				
822	0.9458				
823	0.9450799999999999				
824	0.94427				
825	0.94259				
826	0.94089				
827	0.93935				
828	0.93767				
829	0.93553				
830	0.93301				
831	0.93181				
832	0.92995				
833	0.92726				
834	0.92592				
835	0.9238599999999999				
836	0.92235				
837	0.9216599999999999				
838	0.9197299999999999				
839	0.91972				
840	0.91874				
841	0.91926				
842	0.91888				
843	0.91996				
844	0.91943				
845	0.9218500000000001				
846	0.92129				
847	0.92338				
848	0.92476				
849	0.92584				
850	0.92706				
851	0.9275				
852	0.92951				
853	0.93084				
854	0.9316800000000001				
855	0.9329500000000001				
856	0.9328799999999999				
857	0.93387				
858	0.93423				
859	0.93427				
860	0.93341				
861	0.93207				
862	0.93152				
863	0.93107				
864	0.92988				
865	0.92908				
866	0.92731				
867	0.92598				
868	0.9247299999999999				
869	0.9234699999999999				
870	0.9215000000000001				
871	0.91999				
872	0.91983				
873	0.91872				
874	0.91825				
