Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#838383	Chroma	Unnamed	ET425lp
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	2e-05				
422	0.00017				
423	0.00201				
424	0.0483				
425	0.52184				
426	0.94781				
427	0.9711				
428	0.9836199999999999				
429	0.98253				
430	0.9706600000000001				
431	0.96698				
432	0.97682				
433	0.9839199999999999				
434	0.98421				
435	0.98271				
436	0.98356				
437	0.98584				
438	0.986				
439	0.98438				
440	0.98264				
441	0.9817				
442	0.98208				
443	0.98276				
444	0.98344				
445	0.9838899999999999				
446	0.98358				
447	0.98275				
448	0.98177				
449	0.98039				
450	0.98006				
451	0.98075				
452	0.9818399999999999				
453	0.98271				
454	0.98264				
455	0.98071				
456	0.9786400000000001				
457	0.97705				
458	0.97649				
459	0.97771				
460	0.9803499999999999				
461	0.98232				
462	0.9841599999999999				
463	0.9836199999999999				
464	0.9820099999999999				
465	0.97913				
466	0.9769199999999999				
467	0.9759				
468	0.97679				
469	0.9785299999999999				
470	0.9816800000000001				
471	0.98419				
472	0.9859300000000001				
473	0.98653				
474	0.98598				
475	0.98444				
476	0.98351				
477	0.98271				
478	0.9831399999999999				
479	0.9841500000000001				
480	0.98556				
481	0.9876900000000001				
482	0.9879000000000001				
483	0.9886				
484	0.9884000000000001				
485	0.98729				
486	0.98665				
487	0.98651				
488	0.98669				
489	0.9875				
490	0.98832				
491	0.98901				
492	0.98994				
493	0.98941				
494	0.98914				
495	0.98832				
496	0.98784				
497	0.98714				
498	0.9873099999999999				
499	0.98759				
500	0.98803				
501	0.98931				
502	0.98965				
503	0.98965				
504	0.98881				
505	0.98745				
506	0.9853700000000001				
507	0.9832500000000001				
508	0.98084				
509	0.97954				
510	0.9789100000000001				
511	0.97896				
512	0.98041				
513	0.9826999999999999				
514	0.9845999999999999				
515	0.9867				
516	0.98832				
517	0.98881				
518	0.98773				
