Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#838383	Chroma	Unnamed	RET537lp
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	1e-05				
338	2e-05				
339	6e-05				
340	0.00013				
341	0.00023				
342	0.00045				
343	0.0007599999999999999				
344	0.00127				
345	0.00199				
346	0.00316				
347	0.00484				
348	0.00731				
349	0.01122				
350	0.01705				
351	0.02408				
352	0.0327				
353	0.04181				
354	0.05295				
355	0.05979				
356	0.07271				
357	0.08294				
358	0.08619				
359	0.111				
360	0.10098000000000001				
361	0.14352				
362	0.12097				
363	0.16491				
364	0.15124				
365	0.16093				
366	0.18157				
367	0.13516999999999998				
368	0.19924				
369	0.12391999999999999				
370	0.22615				
371	0.11292999999999999				
372	0.24934				
373	0.12058999999999999				
374	0.29256				
375	0.12647				
376	0.32263				
377	0.12561999999999998				
378	0.32194				
379	0.11843999999999999				
380	0.22676				
381	0.09563				
382	0.16566				
383	0.08773999999999998				
384	0.13318				
385	0.09074				
386	0.09722				
387	0.11047000000000001				
388	0.07687000000000001				
389	0.13279				
390	0.06332				
391	0.15719				
392	0.027970000000000002				
393	0.07232				
394	0.04111				
395	0.03016				
396	0.06405				
397	0.01068				
398	0.03172				
399	0.02558				
400	0.00815				
401	0.00577				
402	0.00404				
403	0.00157				
404	0.0002				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.0				
423	0.0				
424	0.0				
425	0.0				
426	0.0				
427	0.0				
428	0.0				
429	0.0				
430	0.0				
431	0.0				
432	0.0				
433	0.0				
434	0.0				
435	0.0				
436	0.0				
437	0.0				
438	0.0				
439	0.0				
440	0.0				
441	0.0				
442	0.0				
443	0.0				
444	0.0				
445	0.0				
446	0.0				
447	0.0				
448	0.0				
449	0.0				
450	0.0				
451	0.0				
452	0.0				
453	0.0				
454	0.0				
455	0.0				
456	0.0				
457	0.0				
458	0.0				
459	0.0				
460	0.0				
461	0.0				
462	0.0				
463	0.0				
464	0.0				
465	0.0				
466	0.0				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	0.0				
472	0.0				
473	0.0				
474	0.0				
475	0.0				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	0.0				
497	0.0				
498	0.0				
499	0.0				
500	0.0				
501	0.0				
502	0.0				
503	0.0				
504	0.0				
505	0.0				
506	0.0				
507	0.0				
508	0.0				
509	0.0				
510	0.0				
511	0.0				
512	0.0				
513	0.0				
514	0.0				
515	0.0				
516	0.0				
517	0.0				
518	0.0				
519	0.0				
520	0.0				
521	0.0				
522	0.0				
523	0.0				
524	0.0				
525	0.0				
526	0.0				
527	0.0				
528	0.0				
529	0.0				
530	0.0				
531	0.0				
532	0.0				
533	0.0				
534	0.0				
535	2e-05				
536	0.00058				
537	0.22989				
538	0.96357				
539	0.98693				
540	0.9880200000000001				
541	0.9883				
542	0.97962				
543	0.98275				
544	0.97816				
545	0.9814799999999999				
546	0.98872				
547	0.98113				
548	0.99004				
549	0.9864499999999999				
550	0.98473				
551	0.99087				
552	0.9879000000000001				
553	0.9870699999999999				
554	0.9883799999999999				
555	0.9908199999999999				
556	0.98339				
557	0.98738				
558	0.99223				
559	0.98899				
560	0.9860599999999999				
561	0.9856999999999999				
562	0.9879300000000001				
563	0.99095				
564	0.98441				
565	0.9863200000000001				
566	0.99056				
567	0.9836400000000001				
568	0.9821899999999999				
569	0.98348				
570	0.9836199999999999				
571	0.9851399999999999				
572	0.9836400000000001				
573	0.98131				
574	0.98252				
575	0.98295				
576	0.98257				
577	0.98257				
578	0.9809699999999999				
579	0.98125				
580	0.9871800000000001				
581	0.98539				
582	0.98194				
583	0.97978				
584	0.98426				
585	0.9857299999999999				
586	0.98737				
587	0.98568				
588	0.98336				
589	0.9820699999999999				
590	0.98854				
591	0.98746				
592	0.9863500000000001				
593	0.9868300000000001				
594	0.98311				
595	0.9872299999999999				
596	0.9851399999999999				
597	0.9871599999999999				
598	0.98649				
599	0.98432				
600	0.9857899999999999				
601	0.9856999999999999				
602	0.9886400000000001				
603	0.9834099999999999				
604	0.9803700000000001				
605	0.97624				
606	0.97824				
607	0.9830800000000001				
608	0.98752				
609	0.9862000000000001				
610	0.9819599999999999				
611	0.97545				
612	0.96738				
613	0.9736				
614	0.98074				
615	0.9845099999999999				
616	0.98688				
617	0.98309				
618	0.9766800000000001				
619	0.96807				
620	0.9684999999999999				
621	0.9736100000000001				
622	0.98004				
623	0.98529				
624	0.9847499999999999				
625	0.97958				
626	0.97502				
627	0.9736100000000001				
628	0.9720099999999999				
629	0.97651				
630	0.9814499999999999				
631	0.98453				
632	0.9818300000000001				
633	0.98126				
634	0.9794799999999999				
635	0.97897				
636	0.98268				
637	0.98441				
638	0.98547				
639	0.9820099999999999				
640	0.98247				
641	0.9809				
642	0.98059				
643	0.9821899999999999				
644	0.9840800000000001				
645	0.98832				
646	0.98858				
647	0.9851099999999999				
648	0.9841				
649	0.9798399999999999				
650	0.97834				
651	0.98155				
