Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#838383	Chroma	Unnamed	ZET405/445/514/561/640x
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	7.000000000000001e-05				
380	0.00416				
381	0.07780000000000001				
382	0.63385				
383	0.86737				
384	0.8981399999999999				
385	0.90393				
386	0.90684				
387	0.9181699999999999				
388	0.9252800000000001				
389	0.92967				
390	0.93282				
391	0.9290900000000001				
392	0.8916				
393	0.89019				
394	0.9240900000000001				
395	0.9381100000000001				
396	0.92294				
397	0.92845				
398	0.9368000000000001				
399	0.93595				
400	0.94139				
401	0.93636				
402	0.9335899999999999				
403	0.9288599999999999				
404	0.92756				
405	0.92247				
406	0.91877				
407	0.92401				
408	0.85768				
409	0.29936				
410	0.0028100000000000004				
411	8.999999999999999e-05				
412	1e-05				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.0				
423	0.0				
424	0.0				
425	0.0				
426	0.0				
427	0.0				
428	0.0				
429	0.0				
430	0.0				
431	0.0				
432	0.0				
433	0.0				
434	0.0				
435	0.0				
436	2e-05				
437	0.00014000000000000001				
438	0.00437				
439	0.32467				
440	0.90103				
441	0.9558599999999999				
442	0.9539799999999999				
443	0.94292				
444	0.94589				
445	0.9507899999999999				
446	0.9407				
447	0.94328				
448	0.94021				
449	0.95982				
450	0.95463				
451	0.9488800000000001				
452	0.92795				
453	0.48005000000000003				
454	0.02019				
455	0.00029				
456	3e-05				
457	0.0				
458	0.0				
459	0.0				
460	0.0				
461	0.0				
462	0.0				
463	0.0				
464	0.0				
465	0.0				
466	0.0				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	0.0				
472	0.0				
473	0.0				
474	0.0				
475	0.0				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	0.0				
497	0.0				
498	1e-05				
499	0.00015				
500	0.00316				
501	0.17955				
502	0.7703700000000001				
503	0.89825				
504	0.96331				
505	0.95655				
506	0.9665900000000001				
507	0.96258				
508	0.96808				
509	0.96942				
510	0.9620799999999999				
511	0.9655800000000001				
512	0.97652				
513	0.9660500000000001				
514	0.9502299999999999				
515	0.92621				
516	0.52045				
517	0.05335				
518	0.0022400000000000002				
519	0.00017999999999999998				
520	2e-05				
521	0.0				
522	0.0				
523	0.0				
524	0.0				
525	0.0				
526	0.0				
527	0.0				
528	0.0				
529	0.0				
530	0.0				
531	0.0				
532	0.0				
533	0.0				
534	0.0				
535	0.0				
536	0.0				
537	0.0				
538	0.0				
539	0.0				
540	0.0				
541	0.0				
542	0.0				
543	0.0				
544	0.0				
545	0.0				
546	0.0				
547	0.0				
548	0.0				
549	0.0				
550	0.0				
551	0.0				
552	0.0				
553	1e-05				
554	6e-05				
555	0.0004				
556	0.00394				
557	0.0767				
558	0.59682				
559	0.93471				
560	0.9677899999999999				
561	0.98285				
562	0.9806100000000001				
563	0.97539				
564	0.97784				
565	0.98222				
566	0.97694				
567	0.9698				
568	0.97601				
569	0.9823999999999999				
570	0.97045				
571	0.9646899999999999				
572	0.97246				
573	0.9746299999999999				
574	0.96909				
575	0.82499				
576	0.22969				
577	0.010620000000000001				
578	0.0007199999999999999				
579	8e-05				
580	2e-05				
581	0.0				
582	0.0				
583	0.0				
584	0.0				
585	0.0				
586	0.0				
587	0.0				
588	0.0				
589	0.0				
590	0.0				
591	0.0				
592	0.0				
593	0.0				
594	0.0				
595	0.0				
596	0.0				
597	0.0				
598	0.0				
599	0.0				
600	0.0				
601	0.0				
602	0.0				
603	0.0				
604	0.0				
605	0.0				
606	0.0				
607	0.0				
608	0.0				
609	0.0				
610	0.0				
611	0.0				
612	0.0				
613	0.0				
614	0.0				
615	0.0				
616	0.0				
617	0.0				
618	0.0				
619	0.0				
620	0.0				
621	0.0				
622	0.0				
623	0.0				
624	0.0				
625	0.0				
626	0.0				
627	0.0				
628	1e-05				
629	4e-05				
630	0.00024				
631	0.00212				
632	0.032690000000000004				
633	0.37577				
634	0.89845				
635	0.97752				
636	0.9776				
637	0.9749899999999999				
638	0.9660899999999999				
639	0.96449				
640	0.97045				
641	0.97762				
642	0.98373				
643	0.9832				
644	0.97775				
645	0.9714				
646	0.96526				
647	0.9505				
648	0.9568300000000001				
649	0.95825				
650	0.7904800000000001				
651	0.23405				
652	0.0132				
653	0.00101				
654	0.00013				
655	2e-05				
656	1e-05				
657	0.0				
658	0.0				
659	0.0				
660	0.0				
661	0.0				
662	0.0				
663	0.0				
664	0.0				
665	0.0				
666	0.0				
667	0.0				
668	0.0				
669	0.0				
670	0.0				
671	0.0				
672	0.0				
673	0.0				
674	0.0				
675	0.0				
676	0.0				
677	0.0				
678	0.0				
679	0.0				
680	0.0				
681	0.0				
682	0.0				
683	0.0				
684	0.0				
685	0.0				
686	0.0				
687	0.0				
688	0.0				
689	0.0				
690	0.0				
691	0.0				
692	0.0				
693	0.0				
694	0.0				
695	0.0				
696	0.0				
697	0.0				
698	0.0				
699	0.0				
700	0.0				
701	0.0				
702	0.0				
703	0.0				
704	0.0				
705	0.0				
706	0.0				
707	0.0				
708	0.0				
709	0.0				
710	0.0				
711	0.0				
712	0.0				
713	0.0				
714	0.0				
715	0.0				
716	0.0				
717	0.0				
718	0.0				
719	0.0				
720	0.0				
721	0.0				
722	0.0				
723	0.0				
724	0.0				
725	0.0				
726	0.0				
727	0.0				
728	0.0				
729	0.0				
730	0.0				
731	0.0				
732	0.0				
