Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#838383	Chroma	Unnamed	ZET405/488/561/647m
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	2e-05				
420	0.00010999999999999999				
421	0.0030399999999999997				
422	0.36847				
423	0.92038				
424	0.97013				
425	0.9767600000000001				
426	0.97679				
427	0.96017				
428	0.9566				
429	0.96461				
430	0.9588599999999999				
431	0.9779000000000001				
432	0.97773				
433	0.9823999999999999				
434	0.9577100000000001				
435	0.9668800000000001				
436	0.96006				
437	0.94631				
438	0.9795				
439	0.99				
440	0.98521				
441	0.96466				
442	0.96686				
443	0.98575				
444	0.9887999999999999				
445	0.9853400000000001				
446	0.9677800000000001				
447	0.96911				
448	0.98292				
449	0.9722799999999999				
450	0.97087				
451	0.9787600000000001				
452	0.97419				
453	0.9831				
454	0.9760599999999999				
455	0.9549500000000001				
456	0.97259				
457	0.9836100000000001				
458	0.96493				
459	0.96976				
460	0.97084				
461	0.96833				
462	0.98178				
463	0.9600799999999999				
464	0.93738				
465	0.9509799999999999				
466	0.9565300000000001				
467	0.96772				
468	0.97652				
469	0.95929				
470	0.9711799999999999				
471	0.96421				
472	0.93381				
473	0.95408				
474	0.9620000000000001				
475	0.97153				
476	0.97655				
477	0.9514199999999999				
478	0.7740600000000001				
479	0.17804999999999999				
480	0.00553				
481	0.00054				
482	6e-05				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	0.0				
497	1e-05				
498	6e-05				
499	0.00041				
500	0.00538				
501	0.18012				
502	0.7822				
503	0.90983				
504	0.9437399999999999				
505	0.95962				
506	0.9640000000000001				
507	0.95485				
508	0.9757899999999999				
509	0.98224				
510	0.9809				
511	0.9797899999999999				
512	0.9663299999999999				
513	0.96194				
514	0.97524				
515	0.97747				
516	0.96545				
517	0.96622				
518	0.97405				
519	0.9655400000000001				
520	0.9523				
521	0.96447				
522	0.9852299999999999				
523	0.97383				
524	0.93893				
525	0.92783				
526	0.9504				
527	0.9745699999999999				
528	0.97964				
529	0.98221				
530	0.98832				
531	0.9759300000000001				
532	0.94556				
533	0.93526				
534	0.95922				
535	0.98358				
536	0.9826600000000001				
537	0.9799				
538	0.98737				
539	0.9786				
540	0.95316				
541	0.95084				
542	0.97679				
543	0.98788				
544	0.9838899999999999				
545	0.9882599999999999				
546	0.98036				
547	0.95978				
548	0.94256				
549	0.7295999999999999				
550	0.18861				
551	0.017410000000000002				
552	0.00221				
553	0.00037999999999999997				
554	8.999999999999999e-05				
555	3e-05				
556	1e-05				
557	0.0				
558	0.0				
559	0.0				
560	0.0				
561	0.0				
562	0.0				
563	0.0				
564	0.0				
565	0.0				
566	0.0				
567	0.0				
568	0.0				
569	0.0				
570	0.0				
571	0.0				
572	0.0				
573	0.0				
574	1e-05				
575	2e-05				
576	7.000000000000001e-05				
577	0.00024				
578	0.00121				
579	0.009300000000000001				
580	0.12422000000000001				
581	0.68451				
582	0.92408				
583	0.9393300000000001				
584	0.91461				
585	0.93759				
586	0.98205				
587	0.9678100000000001				
588	0.9462900000000001				
589	0.9605400000000001				
590	0.97619				
591	0.97076				
592	0.96714				
593	0.9786				
594	0.98478				
595	0.97101				
596	0.9564				
597	0.96199				
598	0.98027				
599	0.99063				
600	0.98821				
601	0.98211				
602	0.9753799999999999				
603	0.96044				
604	0.93994				
605	0.92977				
606	0.9395				
607	0.9580200000000001				
608	0.9645999999999999				
609	0.95634				
610	0.95182				
611	0.96433				
612	0.98233				
613	0.98777				
614	0.9818899999999999				
615	0.98137				
616	0.98565				
617	0.98031				
618	0.96623				
619	0.96607				
620	0.98226				
621	0.99066				
622	0.9860099999999999				
623	0.96202				
624	0.90608				
625	0.83773				
626	0.33811				
627	0.03696				
628	0.00443				
629	0.0008100000000000001				
630	0.00017999999999999998				
631	5e-05				
632	2e-05				
633	1e-05				
634	0.0				
635	0.0				
636	0.0				
637	0.0				
638	0.0				
639	0.0				
640	0.0				
641	0.0				
642	0.0				
643	0.0				
644	0.0				
645	0.0				
646	0.0				
647	0.0				
648	0.0				
649	0.0				
650	0.0				
651	0.0				
652	0.0				
653	0.0				
654	0.0				
655	0.0				
656	0.0				
657	0.0				
658	0.0				
659	0.0				
660	0.0				
661	0.0				
