Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#838383	Chroma	Unnamed	ZET458/514m
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.0				
423	0.0				
424	0.0				
425	0.0				
426	0.0				
427	0.0				
428	0.0				
429	0.0				
430	0.0				
431	0.0				
432	0.0				
433	0.0				
434	0.0				
435	0.0				
436	0.0				
437	0.0				
438	0.0				
439	0.0				
440	0.0				
441	0.0				
442	0.0				
443	0.0				
444	0.0				
445	0.0				
446	0.0				
447	0.0				
448	0.0				
449	0.0				
450	0.0				
451	0.0				
452	0.0				
453	0.0				
454	0.0				
455	0.0				
456	0.0				
457	0.0				
458	0.0				
459	0.0				
460	0.0				
461	0.0				
462	0.0				
463	0.0				
464	0.0				
465	0.0				
466	0.0				
467	1e-05				
468	8e-05				
469	0.0005899999999999999				
470	0.00746				
471	0.13751				
472	0.659				
473	0.94975				
474	0.95246				
475	0.95831				
476	0.98006				
477	0.98211				
478	0.98651				
479	0.98111				
480	0.9752200000000001				
481	0.97438				
482	0.98092				
483	0.9821500000000001				
484	0.98074				
485	0.98127				
486	0.98018				
487	0.96723				
488	0.95829				
489	0.9682200000000001				
490	0.97768				
491	0.97086				
492	0.97551				
493	0.9831				
494	0.98194				
495	0.98461				
496	0.9555400000000001				
497	0.90193				
498	0.24530000000000002				
499	0.01831				
500	0.00601				
501	0.00084				
502	0.00017999999999999998				
503	5e-05				
504	2e-05				
505	1e-05				
506	0.0				
507	0.0				
508	0.0				
509	0.0				
510	0.0				
511	0.0				
512	0.0				
513	0.0				
514	0.0				
515	0.0				
516	0.0				
517	0.0				
518	0.0				
519	0.0				
520	0.0				
521	0.0				
522	0.0				
523	0.0				
524	0.0				
525	0.0				
526	0.0				
527	0.0				
528	0.0				
529	0.0				
530	0.0				
531	0.0				
532	0.0				
533	1e-05				
534	2e-05				
535	4e-05				
536	0.00013				
537	0.00045				
538	0.00194				
539	0.011279999999999998				
540	0.09773				
541	0.54474				
542	0.89354				
543	0.9271299999999999				
544	0.9730500000000001				
545	0.98506				
546	0.988				
547	0.98787				
548	0.97627				
549	0.9653100000000001				
550	0.9673				
551	0.98154				
552	0.99101				
553	0.9865				
554	0.9804200000000001				
555	0.9778600000000001				
556	0.98382				
557	0.98861				
558	0.98958				
559	0.9881699999999999				
560	0.98697				
561	0.98676				
562	0.99129				
563	0.99356				
564	0.9915600000000001				
565	0.98285				
566	0.97799				
567	0.97514				
568	0.9797				
569	0.98583				
570	0.99101				
571	0.98957				
572	0.98425				
573	0.98385				
574	0.98564				
575	0.99163				
576	0.99422				
577	0.98578				
578	0.9772799999999999				
579	0.97409				
580	0.97527				
581	0.98051				
582	0.98909				
583	0.9923000000000001				
584	0.9883700000000001				
585	0.9834				
586	0.9762000000000001				
587	0.9756199999999999				
588	0.97902				
589	0.98737				
590	0.9892400000000001				
591	0.98881				
592	0.98642				
593	0.98229				
594	0.9789100000000001				
595	0.96859				
596	0.94967				
597	0.9086				
598	0.83706				
599	0.7323099999999999				
600	0.60865				
601	0.49043				
602	0.38299999999999995				
603	0.28747				
604	0.20466				
605	0.13796				
606	0.08979				
607	0.058789999999999995				
608	0.03926				
609	0.027440000000000003				
610	0.01967				
611	0.01425				
612	0.0102				
613	0.00705				
614	0.00483				
615	0.0033				
616	0.00231				
617	0.00168				
618	0.00127				
619	0.001				
620	0.0008100000000000001				
621	0.00065				
622	0.00052				
623	0.00041				
624	0.00032				
625	0.00025				
626	0.00018999999999999998				
627	0.00015				
628	0.00013				
629	0.00010999999999999999				
630	8.999999999999999e-05				
631	8e-05				
632	7.000000000000001e-05				
633	6e-05				
634	5e-05				
635	4e-05				
636	3e-05				
637	2e-05				
638	2e-05				
639	2e-05				
640	1e-05				
641	1e-05				
642	1e-05				
643	1e-05				
644	1e-05				
645	1e-05				
646	1e-05				
647	1e-05				
648	0.0				
649	0.0				
650	0.0				
651	0.0				
652	0.0				
653	0.0				
654	0.0				
655	0.0				
656	0.0				
657	0.0				
658	0.0				
659	0.0				
660	0.0				
661	0.0				
662	0.0				
663	0.0				
664	0.0				
665	0.0				
666	0.0				
667	0.0				
668	0.0				
669	0.0				
670	0.0				
671	0.0				
672	0.0				
673	0.0				
674	0.0				
675	0.0				
676	0.0				
677	0.0				
678	0.0				
679	0.0				
680	0.0				
681	0.0				
682	0.0				
683	0.0				
684	0.0				
685	0.0				
686	0.0				
687	0.0				
688	0.0				
689	0.0				
690	0.0				
691	0.0				
692	0.0				
693	0.0				
694	0.0				
695	0.0				
696	0.0				
697	0.0				
698	0.0				
