Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
351	0.36195	#838383	Chroma	Unnamed	ZT405/488/561/640rpcv2
352	0.2293				
353	0.07146				
354	0.02897				
355	0.04764				
356	0.058710000000000005				
357	0.05457				
358	0.04997				
359	0.03034				
360	0.027160000000000004				
361	0.05562				
362	0.08301				
363	0.11561				
364	0.08144				
365	0.028769999999999997				
366	0.03025				
367	0.043899999999999995				
368	0.07185				
369	0.056799999999999996				
370	0.03568				
371	0.00902				
372	0.00066				
373	0.00092				
374	0.00188				
375	0.007890000000000001				
376	0.023719999999999998				
377	0.020489999999999998				
378	0.00808				
379	0.0023				
380	0.00017999999999999998				
381	0.00264				
382	0.00394				
383	0.00122				
384	0.0014299999999999998				
385	0.00202				
386	0.00213				
387	0.01061				
388	0.00753				
389	0.00705				
390	0.00722				
391	0.0059299999999999995				
392	0.00819				
393	0.00738				
394	0.00468				
395	0.0054600000000000004				
396	0.00864				
397	0.006730000000000001				
398	0.004079999999999999				
399	0.00369				
400	0.00662				
401	0.01201				
402	0.01573				
403	0.01534				
404	0.00894				
405	0.00567				
406	0.00627				
407	0.00774				
408	0.01169				
409	0.02798				
410	0.08660999999999999				
411	0.25116				
412	0.39793				
413	0.49598				
414	0.6711400000000001				
415	0.8686499999999999				
416	0.9325199999999999				
417	0.93961				
418	0.95407				
419	0.96602				
420	0.9718600000000001				
421	0.97072				
422	0.97334				
423	0.9709099999999999				
424	0.96627				
425	0.9663200000000001				
426	0.9634699999999999				
427	0.9649500000000001				
428	0.96623				
429	0.9649500000000001				
430	0.96926				
431	0.97566				
432	0.97198				
433	0.96882				
434	0.9745199999999999				
435	0.9762099999999999				
436	0.9756199999999999				
437	0.97166				
438	0.95759				
439	0.94985				
440	0.96333				
441	0.97386				
442	0.96756				
443	0.9645699999999999				
444	0.9705800000000001				
445	0.9714700000000001				
446	0.97572				
447	0.9773000000000001				
448	0.97297				
449	0.9670399999999999				
450	0.9659399999999999				
451	0.96642				
452	0.95785				
453	0.95753				
454	0.96905				
455	0.97718				
456	0.97652				
457	0.96783				
458	0.9518000000000001				
459	0.9413800000000001				
460	0.94271				
461	0.9625				
462	0.9719				
463	0.9693				
464	0.97202				
465	0.97221				
466	0.95832				
467	0.9499299999999999				
468	0.9551000000000001				
469	0.96071				
470	0.97217				
471	0.97709				
472	0.97553				
473	0.9713200000000001				
474	0.96198				
475	0.9223				
476	0.7913899999999999				
477	0.58995				
478	0.3908				
479	0.18204				
480	0.07232				
481	0.03299				
482	0.02091				
483	0.01745				
484	0.01714				
485	0.01724				
486	0.014490000000000001				
487	0.01026				
488	0.00775				
489	0.006750000000000001				
490	0.00711				
491	0.00864				
492	0.01276				
493	0.022709999999999998				
494	0.055709999999999996				
495	0.14709				
496	0.32991				
497	0.48362				
498	0.61606				
499	0.8295999999999999				
500	0.92387				
501	0.9448099999999999				
502	0.94965				
503	0.95337				
504	0.96572				
505	0.9499599999999999				
506	0.92072				
507	0.91118				
508	0.9343899999999999				
509	0.9559099999999999				
510	0.97018				
511	0.96687				
512	0.96514				
513	0.95818				
514	0.94877				
515	0.94357				
516	0.9545699999999999				
517	0.96902				
518	0.97332				
519	0.9732599999999999				
520	0.97137				
521	0.9726300000000001				
522	0.9749099999999999				
523	0.97409				
524	0.96348				
525	0.96077				
526	0.9625400000000001				
527	0.96749				
528	0.9747100000000001				
529	0.97749				
530	0.97607				
531	0.97086				
532	0.9636				
533	0.95986				
534	0.9587399999999999				
535	0.9632200000000001				
536	0.96958				
537	0.9723				
538	0.97029				
539	0.9706699999999999				
540	0.97309				
541	0.97268				
542	0.96878				
543	0.96198				
544	0.9599500000000001				
545	0.96398				
546	0.9679000000000001				
547	0.9576600000000001				
548	0.9216599999999999				
549	0.8190900000000001				
550	0.6609099999999999				
551	0.52668				
552	0.38348				
553	0.21454				
554	0.10037000000000001				
555	0.048949999999999994				
556	0.02714				
557	0.01803				
558	0.01264				
559	0.00997				
560	0.00884				
561	0.008369999999999999				
562	0.00873				
563	0.00996				
564	0.01252				
565	0.01706				
566	0.02629				
567	0.045279999999999994				
568	0.08576				
569	0.17071000000000003				
570	0.30202				
571	0.48754				
572	0.6801600000000001				
573	0.8524200000000001				
574	0.9294899999999999				
575	0.94687				
576	0.9608599999999999				
577	0.96855				
578	0.9645699999999999				
579	0.96161				
580	0.9665699999999999				
581	0.9673900000000001				
582	0.9608199999999999				
583	0.94923				
584	0.9436599999999999				
585	0.9472700000000001				
586	0.95865				
587	0.9717100000000001				
588	0.97634				
589	0.9782				
590	0.97762				
591	0.97669				
592	0.97685				
593	0.97586				
594	0.9729099999999999				
595	0.97181				
596	0.97163				
597	0.97283				
598	0.97468				
599	0.97578				
600	0.97439				
601	0.97444				
602	0.97482				
603	0.97234				
604	0.97148				
605	0.97111				
606	0.9679300000000001				
607	0.96699				
608	0.9687399999999999				
609	0.97461				
610	0.9771500000000001				
611	0.9768899999999999				
612	0.9723900000000001				
613	0.9686				
614	0.96299				
615	0.9588899999999999				
616	0.96222				
617	0.96479				
618	0.961				
619	0.9354399999999999				
620	0.83577				
621	0.6957				
622	0.55398				
623	0.49428				
624	0.46106				
625	0.39862000000000003				
626	0.27007000000000003				
627	0.14665				
628	0.07297				
629	0.038599999999999995				
630	0.02073				
631	0.0134				
632	0.00877				
633	0.00637				
634	0.0047599999999999995				
635	0.00382				
636	0.0032500000000000003				
637	0.00291				
638	0.00268				
639	0.00265				
640	0.00266				
641	0.00293				
642	0.0032400000000000003				
643	0.00383				
644	0.00475				
645	0.00617				
646	0.008539999999999999				
647	0.01275				
648	0.02051				
649	0.03656				
650	0.07259				
651	0.14403				
652	0.25826				
653	0.38693				
654	0.50883				
655	0.63246				
656	0.7659600000000001				
657	0.89512				
658	0.94284				
659	0.9543200000000001				
660	0.96526				
661	0.97234				
662	0.97336				
663	0.9743600000000001				
664	0.9770699999999999				
665	0.97926				
666	0.9762000000000001				
667	0.9664100000000001				
668	0.95394				
669	0.9475100000000001				
670	0.94841				
671	0.95769				
672	0.9688500000000001				
673	0.98084				
674	0.98469				
675	0.98369				
676	0.9778199999999999				
677	0.97478				
678	0.97122				
679	0.9687				
680	0.9669				
681	0.9654600000000001				
682	0.96272				
683	0.9598300000000001				
684	0.95916				
685	0.96286				
686	0.9679099999999999				
687	0.97384				
688	0.97832				
689	0.97929				
690	0.97816				
691	0.9756699999999999				
692	0.97301				
693	0.97143				
694	0.9716400000000001				
695	0.97359				
696	0.9757899999999999				
697	0.97834				
698	0.97882				
699	0.9784999999999999				
700	0.9767600000000001				
701	0.97446				
702	0.97274				
703	0.97235				
704	0.9718800000000001				
705	0.97209				
706	0.97119				
707	0.97055				
708	0.96974				
709	0.9712999999999999				
710	0.9730500000000001				
711	0.9738800000000001				
712	0.9747				
713	0.97473				
714	0.97446				
715	0.97241				
716	0.97021				
717	0.9702200000000001				
718	0.97123				
719	0.97434				
720	0.97827				
721	0.9822				
722	0.9835699999999999				
723	0.9830500000000001				
724	0.9798600000000001				
725	0.97455				
726	0.97155				
727	0.96769				
728	0.9660899999999999				
729	0.9673099999999999				
730	0.97143				
731	0.97545				
732	0.97783				
733	0.97863				
734	0.97762				
735	0.97478				
736	0.9705800000000001				
737	0.96785				
738	0.96693				
739	0.96769				
740	0.9689				
741	0.97111				
742	0.97322				
743	0.97174				
744	0.9674200000000001				
745	0.96158				
746	0.9546399999999999				
747	0.94734				
748	0.9442499999999999				
749	0.9455899999999999				
750	0.9485899999999999				
751	0.9555500000000001				
752	0.96352				
753	0.9701099999999999				
754	0.96709				
755	0.95395				
756	0.9270999999999999				
757	0.89023				
758	0.84379				
759	0.8004300000000001				
760	0.7639199999999999				
761	0.74152				
762	0.73258				
763	0.74112				
764	0.7567400000000001				
765	0.75424				
766	0.70148				
767	0.62076				
768	0.5384300000000001				
769	0.48430999999999996				
770	0.4493				
771	0.42784999999999995				
772	0.41576				
773	0.41759				
774	0.43248				
775	0.45378				
776	0.47426				
777	0.46741999999999995				
778	0.42389000000000004				
779	0.35191				
780	0.26214				
781	0.18262				
782	0.11903000000000001				
783	0.08188000000000001				
784	0.06554				
785	0.05236				
786	0.04401				
787	0.04096				
788	0.04099				
789	0.045279999999999994				
790	0.05509				
791	0.07574				
792	0.10682				
793	0.12279999999999999				
794	0.09632999999999999				
795	0.052779999999999994				
796	0.02512				
797	0.01253				
798	0.006939999999999999				
799	0.00428				
800	0.00294				
801	0.0				
