Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	0.0034100000000000003	#838383	Chroma	Unnamed	ZT405-488/568rpc
381	0.00243				
382	0.00165				
383	0.03397				
384	0.01761				
385	0.03511				
386	0.11260999999999999				
387	0.04926				
388	0.057670000000000006				
389	0.15073				
390	0.18575				
391	0.10912000000000001				
392	0.02329				
393	0.01224				
394	0.08166000000000001				
395	0.05918				
396	0.09134				
397	0.04589000000000001				
398	0.0053300000000000005				
399	0.00111				
400	0.00301				
401	0.00832				
402	0.00095				
403	0.0				
404	0.0				
405	0.0008699999999999999				
406	0.01027				
407	0.00815				
408	0.02016				
409	0.00504				
410	0.00017999999999999998				
411	0.0				
412	0.0				
413	0.00025				
414	0.00197				
415	0.00542				
416	0.0015199999999999999				
417	0.00049				
418	0.00182				
419	0.01529				
420	0.00839				
421	0.0022500000000000003				
422	0.0007000000000000001				
423	0.00046				
424	0.00079				
425	0.00249				
426	0.00941				
427	0.01091				
428	0.00867				
429	0.01023				
430	0.00823				
431	0.0027600000000000003				
432	0.00108				
433	0.00097				
434	0.00249				
435	0.01159				
436	0.00487				
437	0.00099				
438	0.00037				
439	0.00053				
440	0.00156				
441	0.00368				
442	0.00185				
443	0.00074				
444	0.00064				
445	0.00135				
446	0.007980000000000001				
447	0.00508				
448	0.00122				
449	0.00037				
450	0.00033				
451	0.00086				
452	0.00544				
453	0.01752				
454	0.005849999999999999				
455	0.00191				
456	0.00192				
457	0.004739999999999999				
458	0.005679999999999999				
459	0.00182				
460	0.00055				
461	0.00021999999999999998				
462	0.00015				
463	0.00016				
464	0.00033				
465	0.00096				
466	0.00413				
467	0.010820000000000001				
468	0.00749				
469	0.0037099999999999998				
470	0.0028799999999999997				
471	0.00388				
472	0.00734				
473	0.01274				
474	0.014650000000000002				
475	0.01168				
476	0.010660000000000001				
477	0.01286				
478	0.01562				
479	0.01373				
480	0.00867				
481	0.00529				
482	0.00381				
483	0.00337				
484	0.00344				
485	0.004				
486	0.00496				
487	0.00638				
488	0.008110000000000001				
489	0.01024				
490	0.012969999999999999				
491	0.01697				
492	0.023719999999999998				
493	0.03693				
494	0.06353				
495	0.10874				
496	0.21017				
497	0.36613999999999997				
498	0.46639				
499	0.49728				
500	0.55893				
501	0.76499				
502	0.9026900000000001				
503	0.9358799999999999				
504	0.9552200000000001				
505	0.9636				
506	0.97122				
507	0.9786499999999999				
508	0.9840099999999999				
509	0.98153				
510	0.97895				
511	0.98068				
512	0.98366				
513	0.98494				
514	0.9822700000000001				
515	0.9768399999999999				
516	0.97295				
517	0.97057				
518	0.96911				
519	0.96545				
520	0.95963				
521	0.9568099999999999				
522	0.9598300000000001				
523	0.96404				
524	0.97235				
525	0.97911				
526	0.9810800000000001				
527	0.97892				
528	0.97756				
529	0.9772799999999999				
530	0.9786499999999999				
531	0.9788899999999999				
532	0.9742700000000001				
533	0.9680599999999999				
534	0.9637600000000001				
535	0.96316				
536	0.96736				
537	0.9737600000000001				
538	0.9778100000000001				
539	0.97867				
540	0.97675				
541	0.97381				
542	0.97334				
543	0.9752500000000001				
544	0.9734999999999999				
545	0.9671500000000001				
546	0.9569799999999999				
547	0.9500700000000001				
548	0.9522400000000001				
549	0.95748				
550	0.96233				
551	0.95797				
552	0.94422				
553	0.94235				
554	0.9548399999999999				
555	0.9297799999999999				
556	0.7721800000000001				
557	0.51683				
558	0.29599				
559	0.15968				
560	0.09029999999999999				
561	0.05487				
562	0.03588				
563	0.02524				
564	0.01853				
565	0.01508				
566	0.013009999999999999				
567	0.01188				
568	0.011439999999999999				
569	0.01163				
570	0.01252				
571	0.01421				
572	0.01745				
573	0.02213				
574	0.02973				
575	0.04269				
576	0.06484				
577	0.10396000000000001				
578	0.17126000000000002				
579	0.2713				
580	0.37388				
581	0.45768000000000003				
582	0.50348				
583	0.53829				
584	0.59207				
585	0.7201000000000001				
586	0.85682				
587	0.9270499999999999				
588	0.9403				
589	0.9417700000000001				
590	0.94741				
591	0.95542				
592	0.9604699999999999				
593	0.9592700000000001				
594	0.95726				
595	0.95532				
596	0.9564400000000001				
597	0.9584				
598	0.9621599999999999				
599	0.96463				
600	0.9655800000000001				
601	0.96533				
602	0.96447				
603	0.9625400000000001				
604	0.96309				
605	0.96577				
606	0.96834				
607	0.97				
608	0.97165				
609	0.97057				
610	0.96946				
611	0.96748				
612	0.9652				
613	0.96478				
614	0.96637				
615	0.96934				
616	0.9718000000000001				
617	0.97563				
618	0.9773000000000001				
619	0.97797				
620	0.97666				
621	0.97518				
622	0.97536				
623	0.97578				
624	0.97596				
625	0.97762				
626	0.97919				
627	0.97869				
628	0.97843				
629	0.9769				
630	0.9718300000000001				
631	0.97015				
632	0.9677				
633	0.96729				
634	0.96746				
635	0.97069				
636	0.9734099999999999				
637	0.97616				
638	0.9775				
639	0.97869				
640	0.97631				
641	0.9741				
642	0.97003				
643	0.96762				
644	0.96521				
645	0.96527				
646	0.96674				
647	0.9699599999999999				
648	0.97402				
649	0.97746				
650	0.9795				
651	0.9804900000000001				
652	0.98053				
653	0.9809				
654	0.9802299999999999				
655	0.97833				
656	0.9768899999999999				
657	0.9755400000000001				
658	0.97595				
659	0.9765				
660	0.9773099999999999				
661	0.9778199999999999				
662	0.9774299999999999				
663	0.9764400000000001				
664	0.97508				
665	0.97269				
666	0.97075				
667	0.96883				
668	0.9675199999999999				
669	0.9675				
670	0.9681399999999999				
671	0.9691299999999999				
672	0.97182				
673	0.97289				
674	0.9747				
675	0.9756199999999999				
676	0.9758199999999999				
677	0.97517				
678	0.97382				
679	0.97303				
680	0.9727800000000001				
681	0.97154				
682	0.97162				
683	0.97217				
684	0.97345				
685	0.97485				
686	0.9761				
687	0.9776				
688	0.97756				
689	0.97723				
690	0.97714				
691	0.97612				
692	0.97439				
693	0.9736199999999999				
694	0.97238				
695	0.97185				
696	0.9722				
697	0.97304				
698	0.97346				
699	0.9742700000000001				
700	0.9754900000000001				
701	0.97607				
702	0.97604				
703	0.9761700000000001				
704	0.97527				
705	0.97444				
706	0.9738				
707	0.9733700000000001				
708	0.97382				
709	0.97327				
