Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	0.04185	#838383	Chroma	Unnamed	ZT440/514/561/640rpc
381	0.029660000000000002				
382	0.014119999999999999				
383	0.0225				
384	0.03073				
385	0.018420000000000002				
386	0.011279999999999998				
387	0.03505				
388	0.09594				
389	0.11531000000000001				
390	0.09827999999999999				
391	0.08957000000000001				
392	0.13097				
393	0.23861999999999997				
394	0.28916000000000003				
395	0.25461				
396	0.15492				
397	0.05303				
398	0.013779999999999999				
399	0.01593				
400	0.05329				
401	0.07961				
402	0.03709				
403	0.00522				
404	0.0028499999999999997				
405	0.0030399999999999997				
406	0.00998				
407	0.028730000000000002				
408	0.04565				
409	0.046740000000000004				
410	0.048179999999999994				
411	0.03955				
412	0.01956				
413	0.00916				
414	0.00835				
415	0.02205				
416	0.09112999999999999				
417	0.18428999999999998				
418	0.17329				
419	0.09050000000000001				
420	0.03875				
421	0.01423				
422	0.00584				
423	0.005520000000000001				
424	0.01246				
425	0.05825				
426	0.16671				
427	0.2003				
428	0.13792				
429	0.09689				
430	0.05191				
431	0.01757				
432	0.0062900000000000005				
433	0.0033				
434	0.0028499999999999997				
435	0.00307				
436	0.00311				
437	0.00366				
438	0.00334				
439	0.00297				
440	0.00266				
441	0.00229				
442	0.00183				
443	0.00249				
444	0.0027500000000000003				
445	0.00338				
446	0.00485				
447	0.00795				
448	0.01738				
449	0.0441				
450	0.11176				
451	0.23948				
452	0.35684				
453	0.41600000000000004				
454	0.46908				
455	0.59899				
456	0.7887000000000001				
457	0.9311				
458	0.9671				
459	0.97363				
460	0.97658				
461	0.97343				
462	0.9691				
463	0.968				
464	0.9727				
465	0.97787				
466	0.98565				
467	0.9886499999999999				
468	0.9918				
469	0.99053				
470	0.9843500000000001				
471	0.97607				
472	0.97197				
473	0.9745999999999999				
474	0.9817100000000001				
475	0.9863500000000001				
476	0.9869				
477	0.98128				
478	0.9740800000000001				
479	0.9626				
480	0.9539799999999999				
481	0.95253				
482	0.96041				
483	0.9698300000000001				
484	0.97723				
485	0.98173				
486	0.98238				
487	0.9828100000000001				
488	0.98738				
489	0.9865200000000001				
490	0.98995				
491	0.98576				
492	0.97961				
493	0.9752				
494	0.97476				
495	0.9780599999999999				
496	0.98005				
497	0.97821				
498	0.9701099999999999				
499	0.96406				
500	0.96231				
501	0.95443				
502	0.9155200000000001				
503	0.79854				
504	0.60948				
505	0.39103				
506	0.22508				
507	0.13058				
508	0.07789				
509	0.04691				
510	0.03204				
511	0.024009999999999997				
512	0.01923				
513	0.01668				
514	0.015269999999999999				
515	0.01509				
516	0.01592				
517	0.0178				
518	0.021419999999999998				
519	0.0277				
520	0.03879				
521	0.060110000000000004				
522	0.09675				
523	0.16832				
524	0.27012				
525	0.39255				
526	0.49924999999999997				
527	0.6091599999999999				
528	0.74524				
529	0.8755200000000001				
530	0.93283				
531	0.93934				
532	0.94619				
533	0.95494				
534	0.9555500000000001				
535	0.94726				
536	0.9390999999999999				
537	0.9431				
538	0.95453				
539	0.9656199999999999				
540	0.97137				
541	0.96765				
542	0.96431				
