Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	0.11691000000000001	#838383	Chroma	Unnamed	ZT514/1064rpc
381	0.08778999999999999				
382	0.05086				
383	0.03981				
384	0.02928				
385	0.01655				
386	0.00813				
387	0.00424				
388	0.00444				
389	0.0049				
390	0.006730000000000001				
391	0.010289999999999999				
392	0.01845				
393	0.053419999999999995				
394	0.129				
395	0.26155				
396	0.39793				
397	0.48762				
398	0.59346				
399	0.75426				
400	0.8782599999999999				
401	0.9252800000000001				
402	0.9416100000000001				
403	0.9508				
404	0.9576399999999999				
405	0.96146				
406	0.96324				
407	0.96357				
408	0.96446				
409	0.96734				
410	0.96968				
411	0.97075				
412	0.9700799999999999				
413	0.9698699999999999				
414	0.96759				
415	0.96528				
416	0.9642400000000001				
417	0.96294				
418	0.9642700000000001				
419	0.9656600000000001				
420	0.9665900000000001				
421	0.9670000000000001				
422	0.96833				
423	0.97057				
424	0.97198				
425	0.9708199999999999				
426	0.9706				
427	0.97059				
428	0.9705800000000001				
429	0.97358				
430	0.9761700000000001				
431	0.97723				
432	0.97601				
433	0.9747499999999999				
434	0.97444				
435	0.9756699999999999				
436	0.9798				
437	0.98123				
438	0.98167				
439	0.98221				
440	0.9841200000000001				
441	0.98452				
442	0.98466				
443	0.9843000000000001				
444	0.9829399999999999				
445	0.9813200000000001				
446	0.9802599999999999				
447	0.98087				
448	0.97962				
449	0.97788				
450	0.9749899999999999				
451	0.97218				
452	0.97103				
453	0.97057				
454	0.9727899999999999				
455	0.9749899999999999				
456	0.9774200000000001				
457	0.9762000000000001				
458	0.9729300000000001				
459	0.9709300000000001				
460	0.96907				
461	0.9679300000000001				
462	0.96896				
463	0.97363				
464	0.97392				
465	0.97321				
466	0.97224				
467	0.97053				
468	0.96947				
469	0.9687600000000001				
470	0.9689700000000001				
471	0.9686				
472	0.9673				
473	0.96848				
474	0.96938				
475	0.96891				
476	0.9676600000000001				
477	0.9633499999999999				
478	0.95613				
479	0.9479900000000001				
480	0.9417700000000001				
481	0.94001				
482	0.9444				
483	0.95206				
484	0.96028				
485	0.96504				
486	0.9677				
487	0.96393				
488	0.95298				
489	0.9114				
490	0.81554				
491	0.6547499999999999				
492	0.4752				
493	0.32574				
494	0.20166				
495	0.12622999999999998				
496	0.07975				
497	0.05125				
498	0.03472				
499	0.02521				
500	0.01884				
501	0.015029999999999998				
502	0.01229				
503	0.01056				
504	0.00943				
505	0.0086				
506	0.0083				
507	0.00814				
508	0.00822				
509	0.00865				
510	0.00927				
511	0.010549999999999999				
512	0.01205				
513	0.01443				
514	0.017689999999999997				
515	0.022789999999999998				
516	0.03055				
517	0.04253				
518	0.06172				
519	0.09135				
520	0.14436				
521	0.21779				
522	0.31592				
523	0.40936				
524	0.48878				
525	0.54528				
526	0.6023700000000001				
527	0.68539				
528	0.7976800000000001				
529	0.8918				
530	0.93955				
531	0.95575				
532	0.9600700000000001				
533	0.9631399999999999				
534	0.96782				
535	0.97212				
536	0.9730200000000001				
537	0.9715				
538	0.96931				
539	0.96868				
540	0.9707899999999999				
541	0.97394				
542	0.9791				
543	0.98271				
544	0.98384				
545	0.98177				
546	0.9767199999999999				
547	0.97165				
548	0.9668399999999999				
549	0.9625400000000001				
550	0.95977				
551	0.95933				
552	0.96101				
553	0.96378				
554	0.96612				
555	0.9672799999999999				
556	0.96685				
557	0.96613				
558	0.96521				
559	0.96447				
560	0.9627899999999999				
561	0.9626399999999999				
562	0.96324				
563	0.96518				
564	0.9679099999999999				
565	0.97261				
566	0.97465				
567	0.9742700000000001				
568	0.9767				
569	0.97612				
570	0.9753499999999999				
571	0.97414				
572	0.9730800000000001				
573	0.97134				
574	0.9704900000000001				
575	0.97152				
576	0.97195				
577	0.9722700000000001				
578	0.97327				
579	0.97345				
580	0.9725				
581	0.97202				
582	0.9714				
583	0.9725400000000001				
584	0.9725499999999999				
585	0.97378				
586	0.97354				
587	0.97372				
588	0.97404				
589	0.9743999999999999				
590	0.97543				
591	0.9719599999999999				
592	0.9686				
593	0.96451				
594	0.9595199999999999				
595	0.95402				
596	0.94638				
597	0.93961				
598	0.93293				
599	0.92849				
600	0.9254300000000001				
601	0.9264				
602	0.9289400000000001				
603	0.93169				
604	0.93717				
605	0.94246				
606	0.94855				
607	0.95426				
608	0.96004				
609	0.96536				
610	0.97012				
611	0.97194				
612	0.97245				
613	0.97138				
614	0.96931				
615	0.9678				
616	0.9664100000000001				
617	0.9643999999999999				
618	0.96271				
619	0.9621500000000001				
620	0.96179				
621	0.96366				
622	0.9654900000000001				
623	0.96619				
624	0.96724				
625	0.9693999999999999				
626	0.97174				
627	0.97331				
628	0.9747				
629	0.9756900000000001				
630	0.9766400000000001				
631	0.97723				
632	0.97791				
633	0.97791				
634	0.9774200000000001				
635	0.97712				
636	0.9777899999999999				
637	0.9784999999999999				
638	0.97775				
639	0.9765				
640	0.9756699999999999				
641	0.97456				
642	0.97433				
643	0.9754900000000001				
644	0.97509				
645	0.9732500000000001				
646	0.97354				
647	0.97158				
648	0.9703400000000001				
649	0.96895				
650	0.96923				
651	0.96914				
652	0.96772				
653	0.96555				
654	0.96393				
655	0.96371				
656	0.96296				
657	0.96372				
658	0.96462				
659	0.9653400000000001				
660	0.96729				
661	0.96899				
662	0.9687699999999999				
663	0.96997				
664	0.97103				
665	0.9725				
666	0.97363				
667	0.97622				
668	0.97705				
669	0.9763200000000001				
670	0.9748699999999999				
671	0.97706				
672	0.9752				
673	0.97356				
674	0.9720399999999999				
675	0.96985				
676	0.96859				
677	0.96664				
678	0.9643200000000001				
679	0.9632299999999999				
680	0.96191				
681	0.96218				
682	0.96179				
683	0.96146				
684	0.9607800000000001				
685	0.96162				
686	0.9622499999999999				
687	0.96231				
688	0.9656				
689	0.9677500000000001				
690	0.97083				
691	0.9718000000000001				
692	0.97221				
693	0.97214				
694	0.97328				
695	0.97444				
696	0.97578				
697	0.97586				
698	0.97631				
699	0.9766400000000001				
700	0.97638				
701	0.97661				
702	0.97666				
703	0.9743999999999999				
704	0.97504				
705	0.97492				
706	0.97336				
707	0.9713299999999999				
708	0.97026				
709	0.96757				
710	0.96627				
711	0.96575				
712	0.9652				
713	0.96299				
714	0.96231				
715	0.9621200000000001				
716	0.96238				
717	0.96143				
718	0.9610599999999999				
719	0.96114				
720	0.96125				
721	0.96136				
722	0.96282				
723	0.96437				
724	0.96611				
725	0.96723				
726	0.96866				
727	0.9711799999999999				
728	0.9736199999999999				
729	0.97119				
