Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	0.0039700000000000004	#838383	Chroma	Unnamed	ZT532rdc
381	0.02276				
382	0.04704				
383	0.046509999999999996				
384	0.05804				
385	0.08653000000000001				
386	0.07497				
387	0.05301				
388	0.11699				
389	0.17229				
390	0.11405				
391	0.05222				
392	0.06492				
393	0.12872999999999998				
394	0.13536				
395	0.0584				
396	0.02321				
397	0.038130000000000004				
398	0.10472				
399	0.1263				
400	0.06547				
401	0.020790000000000003				
402	0.01932				
403	0.027610000000000003				
404	0.02503				
405	0.01253				
406	0.0049				
407	0.00302				
408	0.00308				
409	0.00489				
410	0.006889999999999999				
411	0.005849999999999999				
412	0.0034999999999999996				
413	0.0017499999999999998				
414	0.00094				
415	0.0014099999999999998				
416	0.00115				
417	0.0014000000000000002				
418	0.0024				
419	0.00234				
420	0.00179				
421	0.00127				
422	0.00078				
423	0.00042				
424	0.0007099999999999999				
425	0.0006900000000000001				
426	0.00127				
427	0.00073				
428	0.00058				
429	0.00075				
430	0.00039				
431	0.00046				
432	0.00058				
433	0.00021999999999999998				
434	0.0005600000000000001				
435	0.00086				
436	0.00079				
437	0.00099				
438	0.00073				
439	0.0005				
440	0.00078				
441	0.00083				
442	0.00055				
443	0.0006				
444	0.00073				
445	0.00086				
446	0.00068				
447	0.0008100000000000001				
448	0.0005600000000000001				
449	0.00054				
450	0.00037				
451	0.00061				
452	0.0005899999999999999				
453	0.0007000000000000001				
454	0.0008				
455	0.00104				
456	0.00109				
457	0.00116				
458	0.0005899999999999999				
459	0.00079				
460	0.0006900000000000001				
461	0.00066				
462	0.00065				
463	0.00111				
464	0.0013900000000000002				
465	0.00172				
466	0.00218				
467	0.00223				
468	0.0016200000000000001				
469	0.00136				
470	0.00127				
471	0.00124				
472	0.0012900000000000001				
473	0.0013900000000000002				
474	0.00192				
475	0.0028100000000000004				
476	0.00485				
477	0.00845				
478	0.01137				
479	0.01135				
480	0.00843				
481	0.00563				
482	0.00414				
483	0.00356				
484	0.00315				
485	0.00329				
486	0.00365				
487	0.00449				
488	0.00577				
489	0.008239999999999999				
490	0.01191				
491	0.01645				
492	0.02029				
493	0.02081				
494	0.01815				
495	0.014910000000000001				
496	0.012159999999999999				
497	0.01076				
498	0.01016				
499	0.01044				
500	0.0118				
501	0.014199999999999999				
502	0.01796				
503	0.02261				
504	0.024780000000000003				
505	0.02265				
506	0.01758				
507	0.01218				
508	0.008409999999999999				
509	0.006				
510	0.00464				
511	0.00379				
512	0.0032				
513	0.00295				
514	0.00272				
515	0.0027400000000000002				
516	0.00271				
517	0.0028299999999999996				
518	0.00298				
519	0.00314				
520	0.0034300000000000003				
521	0.00384				
522	0.0043				
523	0.00477				
524	0.00522				
525	0.005889999999999999				
526	0.0066300000000000005				
527	0.00745				
528	0.00859				
529	0.00992				
530	0.011470000000000001				
531	0.01347				
532	0.01631				
533	0.02008				
534	0.02557				
535	0.03265				
536	0.04331				
537	0.05946				
538	0.08336				
539	0.11827				
540	0.16870000000000002				
541	0.23518				
542	0.31253				
543	0.40589				
544	0.50688				
545	0.62105				
546	0.74222				
547	0.8526900000000001				
548	0.92464				
549	0.95506				
550	0.96404				
551	0.9669199999999999				
552	0.96933				
553	0.97108				
554	0.97237				
555	0.9734				
556	0.9740300000000001				
557	0.97466				
558	0.97478				
559	0.9740000000000001				
560	0.97274				
561	0.97382				
562	0.97494				
563	0.9758				
564	0.9758499999999999				
565	0.9749599999999999				
566	0.9736400000000001				
567	0.97345				
568	0.9728600000000001				
569	0.97297				
570	0.97355				
571	0.97494				
572	0.97623				
573	0.97756				
574	0.97836				
575	0.97896				
576	0.97913				
577	0.97854				
578	0.97795				
579	0.97745				
580	0.97709				
581	0.9771599999999999				
582	0.97785				
583	0.97785				
584	0.97844				
585	0.9793600000000001				
586	0.97952				
587	0.9807899999999999				
588	0.9815600000000001				
589	0.9819599999999999				
590	0.98103				
591	0.98072				
592	0.9803499999999999				
593	0.978				
594	0.97906				
595	0.98072				
596	0.98014				
597	0.97926				
598	0.97741				
599	0.98103				
600	0.98039				
601	0.98119				
602	0.98176				
603	0.9817199999999999				
604	0.9820300000000001				
605	0.98292				
606	0.9826699999999999				
607	0.98333				
608	0.98287				
609	0.9840300000000001				
610	0.9863599999999999				
611	0.98726				
612	0.98874				
613	0.9896299999999999				
614	0.9898699999999999				
615	0.98914				
616	0.98788				
617	0.98678				
618	0.98547				
619	0.9842				
620	0.98316				
621	0.98234				
622	0.98119				
623	0.9815900000000001				
624	0.98258				
625	0.98311				
626	0.98312				
627	0.98399				
628	0.98462				
629	0.98527				
630	0.98504				
631	0.98509				
632	0.98466				
633	0.98465				
634	0.9848699999999999				
635	0.98516				
636	0.98536				
637	0.98544				
638	0.9851099999999999				
639	0.98529				
640	0.98555				
641	0.98586				
642	0.98654				
643	0.98669				
644	0.98714				
645	0.9875499999999999				
646	0.98694				
647	0.98693				
648	0.98642				
649	0.9855700000000001				
650	0.9855800000000001				
651	0.9849				
652	0.9847499999999999				
653	0.98452				
654	0.9842700000000001				
655	0.9851800000000001				
656	0.98612				
657	0.98651				
658	0.9868300000000001				
659	0.98725				
660	0.9873000000000001				
661	0.98764				
662	0.98867				
663	0.98836				
664	0.9882299999999999				
665	0.98821				
666	0.98786				
667	0.98827				
668	0.9874299999999999				
669	0.9872799999999999				
670	0.98694				
671	0.98631				
672	0.98651				
673	0.98628				
674	0.9861				
675	0.9863299999999999				
676	0.9879399999999999				
677	0.98856				
678	0.9870300000000001				
679	0.9886199999999999				
680	0.98934				
681	0.98811				
682	0.98741				
683	0.9880200000000001				
684	0.9882899999999999				
685	0.98874				
686	0.98832				
687	0.9884099999999999				
688	0.98836				
689	0.9883799999999999				
690	0.9881399999999999				
691	0.98828				
692	0.9882899999999999				
693	0.9876				
694	0.98676				
695	0.9859300000000001				
696	0.98588				
697	0.98599				
698	0.9854				
699	0.98539				
700	0.98464				
701	0.9844799999999999				
702	0.98387				
703	0.98307				
704	0.98245				
705	0.9829600000000001				
706	0.98247				
707	0.9834				
708	0.9841599999999999				
709	0.98504				
710	0.9867				
711	0.98744				
712	0.9880599999999999				
713	0.98842				
714	0.9881300000000001				
715	0.9881399999999999				
716	0.9879300000000001				
717	0.98771				
718	0.98739				
719	0.98637				
720	0.98604				
721	0.9855200000000001				
722	0.9842				
723	0.9829600000000001				
724	0.98225				
725	0.98138				
726	0.9814400000000001				
727	0.98208				
728	0.98244				
729	0.983				
730	0.98327				
731	0.9843899999999999				
732	0.9842700000000001				
733	0.98426				
734	0.98492				
735	0.98577				
736	0.98592				
737	0.9856699999999999				
738	0.9854				
739	0.9842				
740	0.9828				
741	0.9821899999999999				
742	0.98056				
743	0.97973				
744	0.9790099999999999				
745	0.97836				
