Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#838383	Chroma	Unnamed	mv525400
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	1e-05				
346	1e-05				
347	1e-05				
348	1e-05				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	2e-05				
354	2e-05				
355	1e-05				
356	0.0				
357	2e-05				
358	6e-05				
359	5e-05				
360	3e-05				
361	3e-05				
362	1e-05				
363	2e-05				
364	0.00012				
365	0.00016				
366	0.00016				
367	0.00012				
368	7.000000000000001e-05				
369	0.00013				
370	3e-05				
371	2e-05				
372	2e-05				
373	0.0				
374	0.0				
375	0.0				
376	2e-05				
377	0.0001				
378	5e-05				
379	0.0				
380	0.0				
381	0.0				
382	1e-05				
383	2e-05				
384	8e-05				
385	0.00014000000000000001				
386	0.00012				
387	8e-05				
388	1e-05				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	2e-05				
396	2e-05				
397	1e-05				
398	0.0				
399	0.0				
400	0.0				
401	1e-05				
402	6e-05				
403	0.00015				
404	0.00010999999999999999				
405	6e-05				
406	7.000000000000001e-05				
407	0.00012				
408	8.999999999999999e-05				
409	3e-05				
410	2e-05				
411	3e-05				
412	3e-05				
413	1e-05				
414	1e-05				
415	0.0				
416	1e-05				
417	1e-05				
418	3e-05				
419	2e-05				
420	1e-05				
421	0.0				
422	0.0				
423	0.0				
424	0.0				
425	0.0				
426	0.0				
427	0.0				
428	0.0				
429	0.0				
430	0.0				
431	0.0				
432	2e-05				
433	1e-05				
434	1e-05				
435	5e-05				
436	8e-05				
437	2e-05				
438	0.0				
439	2e-05				
440	3e-05				
441	1e-05				
442	0.0				
443	0.0				
444	0.0				
445	0.0				
446	8e-05				
447	0.00010999999999999999				
448	1e-05				
449	1e-05				
450	1e-05				
451	0.0				
452	0.0				
453	0.0				
454	0.0				
455	0.0				
456	3e-05				
457	0.00024				
458	0.00021999999999999998				
459	5e-05				
460	0.00010999999999999999				
461	0.00025				
462	0.00015				
463	5e-05				
464	4e-05				
465	8.999999999999999e-05				
466	0.00016				
467	0.00012				
468	7.000000000000001e-05				
469	6e-05				
470	0.00013				
471	0.00031				
472	0.00033				
473	0.00018999999999999998				
474	0.00017				
475	0.00021999999999999998				
476	0.00021				
477	0.00012				
478	6e-05				
479	4e-05				
480	4e-05				
481	4e-05				
482	4e-05				
483	4e-05				
484	5e-05				
485	6e-05				
486	8.999999999999999e-05				
487	0.00015				
488	0.00021				
489	0.00017999999999999998				
490	0.00012				
491	8.999999999999999e-05				
492	8.999999999999999e-05				
493	0.0001				
494	0.00014000000000000001				
495	0.00024				
496	0.00049				
497	0.00121				
498	0.00383				
499	0.01626				
500	0.09179				
501	0.40381				
502	0.8325				
503	0.9838800000000001				
504	0.9901000000000001				
505	0.98809				
506	0.98929				
507	0.99265				
508	0.9896699999999999				
509	0.9897199999999999				
510	0.98932				
511	0.99245				
512	0.99373				
513	0.99045				
514	0.99209				
515	0.99311				
516	0.99209				
517	0.98807				
518	0.9906900000000001				
519	0.99158				
520	0.99188				
521	0.99261				
522	0.9892400000000001				
523	0.98799				
524	0.99032				
525	0.9916200000000001				
526	0.9924599999999999				
527	0.98828				
528	0.98618				
529	0.98261				
530	0.98694				
531	0.98921				
532	0.99122				
533	0.99205				
534	0.98804				
535	0.9806100000000001				
536	0.97488				
537	0.9763299999999999				
538	0.98432				
539	0.9896699999999999				
540	0.96475				
541	0.78731				
542	0.42211				
543	0.14106				
544	0.04073				
545	0.013680000000000001				
546	0.00549				
547	0.00261				
548	0.0014299999999999998				
549	0.0008699999999999999				
550	0.00057				
551	0.00041				
552	0.00031				
553	0.00024				
554	0.00018999999999999998				
555	0.00016				
556	0.00014000000000000001				
557	0.00012				
558	0.00012				
559	0.00012				
560	0.00014000000000000001				
561	0.00017999999999999998				
562	0.00028000000000000003				
563	0.00046				
564	0.0007000000000000001				
565	0.00078				
566	0.00062				
567	0.00042				
568	0.00027				
569	0.00017				
570	0.0001				
571	6e-05				
572	3e-05				
573	2e-05				
574	1e-05				
575	1e-05				
576	1e-05				
577	1e-05				
578	1e-05				
579	1e-05				
580	1e-05				
581	1e-05				
582	3e-05				
583	0.0001				
584	0.00045				
585	0.0005				
586	0.00013				
587	3e-05				
588	2e-05				
589	1e-05				
590	1e-05				
591	1e-05				
592	1e-05				
593	2e-05				
594	3e-05				
595	4e-05				
596	6e-05				
597	8e-05				
598	8.999999999999999e-05				
599	0.0001				
600	0.00010999999999999999				
601	0.00015				
602	0.00023				
603	0.00032				
604	0.00031				
605	0.0002				
606	0.00010999999999999999				
607	6e-05				
608	5e-05				
609	4e-05				
610	4e-05				
611	4e-05				
612	5e-05				
613	6e-05				
614	0.0001				
615	0.00017				
616	0.00031				
617	0.00052				
618	0.0006900000000000001				
619	0.0007000000000000001				
620	0.00064				
621	0.00061				
622	0.00065				
623	0.0007199999999999999				
624	0.0008				
625	0.00079				
626	0.0006900000000000001				
627	0.00058				
628	0.0005				
629	0.00047				
630	0.00047				
631	0.0005099999999999999				
632	0.00055				
633	0.00057				
634	0.0005600000000000001				
635	0.00049				
636	0.00042				
637	0.00037				
638	0.00035000000000000005				
639	0.00035000000000000005				
640	0.00039				
641	0.00047				
642	0.00062				
643	0.00082				
644	0.00099				
645	0.0010199999999999999				
646	0.00089				
647	0.00073				
648	0.00061				
649	0.0005600000000000001				
650	0.0005600000000000001				
651	0.00062				
