Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
301	0.0	#838383	Chroma	Unnamed	zet642topnotch0
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	3e-05				
349	0.00032				
350	0.1563				
351	0.60853				
352	0.8284				
353	0.8652500000000001				
354	0.84824				
355	0.84128				
356	0.83348				
357	0.86607				
358	0.82891				
359	0.8978400000000001				
360	0.90094				
361	0.90387				
362	0.8981600000000001				
363	0.91148				
364	0.8969400000000001				
365	0.8905200000000001				
366	0.8706900000000001				
367	0.89256				
368	0.9205500000000001				
369	0.92848				
370	0.91712				
371	0.88193				
372	0.9219799999999999				
373	0.9139499999999999				
374	0.92995				
375	0.91728				
376	0.92926				
377	0.9343300000000001				
378	0.9445600000000001				
379	0.93867				
380	0.9087099999999999				
381	0.90309				
382	0.9470099999999999				
383	0.9306300000000001				
384	0.94986				
385	0.94991				
386	0.9325100000000001				
387	0.94343				
388	0.88985				
389	0.85312				
390	0.85843				
391	0.8640000000000001				
392	0.8618300000000001				
393	0.84421				
394	0.8				
395	0.816				
396	0.90301				
397	0.92645				
398	0.93221				
399	0.90157				
400	0.93068				
401	0.92373				
402	0.91427				
403	0.90955				
404	0.90654				
405	0.91159				
406	0.90983				
407	0.95012				
408	0.9584199999999999				
409	0.93814				
410	0.9234300000000001				
411	0.9160200000000001				
412	0.91637				
413	0.8748699999999999				
414	0.9135				
415	0.9404600000000001				
416	0.90065				
417	0.93959				
418	0.9197299999999999				
419	0.9182899999999999				
420	0.94789				
421	0.94994				
422	0.95376				
423	0.9514199999999999				
424	0.94697				
425	0.8808199999999999				
426	0.92986				
427	0.9636499999999999				
428	0.96677				
429	0.96083				
430	0.9446899999999999				
431	0.93828				
432	0.93218				
433	0.9630200000000001				
434	0.94918				
435	0.92003				
436	0.95096				
437	0.94658				
438	0.93494				
439	0.93515				
440	0.92624				
441	0.91702				
442	0.91571				
443	0.91258				
444	0.94697				
445	0.95749				
446	0.95025				
447	0.95293				
448	0.92065				
449	0.94312				
450	0.94024				
451	0.9040600000000001				
452	0.95092				
453	0.9592				
454	0.9588599999999999				
455	0.9684				
456	0.9675				
457	0.9514900000000001				
458	0.94214				
459	0.92104				
460	0.94757				
461	0.94997				
462	0.94789				
463	0.9407599999999999				
464	0.9555899999999999				
465	0.9486100000000001				
466	0.9612				
467	0.95646				
468	0.9665600000000001				
469	0.9697100000000001				
470	0.9704900000000001				
471	0.9659399999999999				
472	0.9760500000000001				
473	0.9649899999999999				
474	0.96353				
475	0.9616800000000001				
476	0.95637				
477	0.92863				
478	0.9375100000000001				
479	0.90996				
480	0.93549				
481	0.91148				
482	0.94514				
483	0.92855				
484	0.95439				
485	0.93655				
486	0.96327				
487	0.93994				
488	0.93612				
489	0.89678				
490	0.95403				
491	0.94786				
492	0.94769				
493	0.93595				
494	0.90059				
495	0.9521200000000001				
496	0.9296599999999999				
497	0.95804				
498	0.96859				
499	0.97088				
500	0.96371				
501	0.94793				
502	0.96693				
503	0.96478				
504	0.96382				
505	0.96162				
506	0.9468899999999999				
507	0.94841				
508	0.96154				
509	0.95745				
510	0.9274				
511	0.94072				
512	0.96616				
513	0.94434				
514	0.94325				
515	0.94987				
516	0.9540900000000001				
517	0.9415600000000001				
518	0.9464400000000001				
519	0.94152				
520	0.94702				
521	0.9540500000000001				
522	0.95625				
523	0.9575400000000001				
524	0.95033				
525	0.9642700000000001				
526	0.95369				
527	0.95003				
528	0.9444499999999999				
529	0.9271699999999999				
530	0.9540099999999999				
531	0.94742				
532	0.9514900000000001				
533	0.9496800000000001				
534	0.95833				
535	0.9618899999999999				
536	0.97126				
537	0.95661				
538	0.94589				
539	0.96635				
540	0.9622799999999999				
541	0.9650700000000001				
542	0.95498				
543	0.9621999999999999				
544	0.95682				
545	0.9527500000000001				
546	0.96297				
547	0.96351				
548	0.96136				
549	0.95498				
550	0.95317				
551	0.9592100000000001				
552	0.94619				
553	0.96173				
554	0.9632999999999999				
555	0.94655				
556	0.9662900000000001				
557	0.96634				
558	0.9575199999999999				
559	0.96718				
560	0.97087				
561	0.96718				
562	0.9630200000000001				
563	0.95809				
564	0.96174				
565	0.9630200000000001				
566	0.95414				
567	0.95926				
568	0.9636				
569	0.9653100000000001				
570	0.96363				
571	0.94666				
572	0.93363				
573	0.94396				
574	0.94262				
575	0.9327200000000001				
576	0.9606999999999999				
577	0.9456600000000001				
578	0.92785				
579	0.9255				
580	0.94726				
581	0.95857				
582	0.9654				
583	0.9454300000000001				
584	0.9190900000000001				
585	0.95396				
586	0.96799				
587	0.9621299999999999				
588	0.94408				
589	0.95408				
590	0.94337				
591	0.9504699999999999				
592	0.95492				
593	0.9337099999999999				
594	0.95012				
595	0.95014				
596	0.94191				
597	0.9395699999999999				
598	0.9511799999999999				
599	0.94573				
600	0.94965				
601	0.9700700000000001				
602	0.95392				
603	0.9614199999999999				
604	0.96589				
605	0.93853				
606	0.9339700000000001				
607	0.96563				
608	0.9499599999999999				
609	0.9364199999999999				
610	0.96438				
611	0.9745				
612	0.97406				
613	0.97086				
614	0.95856				
615	0.95721				
616	0.96811				
617	0.94528				
618	0.93809				
619	0.95759				
620	0.93348				
621	0.93828				
622	0.96502				
623	0.96018				
624	0.92333				
625	0.9301999999999999				
626	0.96111				
627	0.9580299999999999				
628	0.9634699999999999				
629	0.9562999999999999				
630	0.93199				
631	0.9440999999999999				
632	0.8671099999999999				
633	0.58346				
634	0.04301				
635	0.00459				
636	0.00017				
637	1e-05				
638	0.0				
639	0.0				
640	0.0				
641	0.0				
642	0.0				
643	0.0				
644	0.0				
645	0.0				
646	0.0				
647	0.0				
648	0.0				
649	1e-05				
650	8.999999999999999e-05				
651	0.00183				
652	0.14705000000000001				
653	0.8073				
654	0.95661				
655	0.96214				
656	0.9619				
657	0.9687				
658	0.96759				
659	0.9675400000000001				
660	0.9648				
661	0.96364				
662	0.96014				
663	0.96718				
664	0.96908				
665	0.95446				
666	0.95723				
667	0.96299				
668	0.96399				
669	0.9577				
670	0.94676				
671	0.9593200000000001				
672	0.97031				
673	0.9550700000000001				
674	0.94893				
675	0.95281				
676	0.94685				
677	0.9523900000000001				
678	0.9566899999999999				
679	0.9495999999999999				
680	0.95512				
681	0.95914				
682	0.9503400000000001				
683	0.9520099999999999				
684	0.94692				
685	0.93793				
686	0.94784				
687	0.95795				
688	0.94797				
689	0.9489700000000001				
690	0.9586100000000001				
691	0.96367				
692	0.96463				
693	0.94919				
694	0.93215				
695	0.93887				
696	0.95989				
697	0.95977				
698	0.95911				
699	0.96557				
700	0.96209				
701	0.96206				
