Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.00266	#00A407	Hoya	Green	X1
305	0.0028299999999999996				
310	0.00301				
315	0.00319				
320	0.00336				
325	0.0035399999999999997				
330	0.0037199999999999998				
335	0.0038900000000000002				
340	0.00407				
345	0.00425				
350	0.00413				
355	0.0039900000000000005				
360	0.00385				
365	0.0037099999999999998				
370	0.00358				
375	0.00344				
380	0.0033				
385	0.00316				
390	0.00302				
395	0.0028799999999999997				
400	0.0027400000000000002				
405	0.0027300000000000002				
410	0.00312				
415	0.0035099999999999997				
420	0.0038900000000000002				
425	0.00437				
430	0.00623				
435	0.008100000000000001				
440	0.01169				
445	0.01807				
450	0.02445				
455	0.03807				
460	0.0547				
465	0.07945				
470	0.10732				
475	0.13981				
480	0.17728000000000002				
485	0.21995				
490	0.26688				
495	0.31501				
500	0.36339				
505	0.40869				
510	0.44908000000000003				
515	0.48473999999999995				
520	0.5104				
525	0.52498				
530	0.5328				
535	0.53649				
540	0.52607				
545	0.5156499999999999				
550	0.4918				
555	0.46337000000000006				
560	0.42967				
565	0.39405999999999997				
570	0.35609				
575	0.31761				
580	0.28063				
585	0.2458				
590	0.21356999999999998				
595	0.18377				
600	0.15724				
605	0.13430999999999998				
610	0.11567				
615	0.09967000000000001				
620	0.08691				
625	0.07414				
630	0.06692000000000001				
635	0.06022				
640	0.05351				
645	0.04917				
650	0.04536				
655	0.04154				
660	0.03949				
665	0.03812				
670	0.03676				
675	0.03542				
680	0.034089999999999995				
685	0.03277				
690	0.031939999999999996				
695	0.03158				
700	0.031219999999999998				
705	0.031349999999999996				
710	0.03215				
715	0.032959999999999996				
720	0.03373				
725	0.034460000000000005				
730	0.035179999999999996				
735	0.03588				
740	0.036520000000000004				
745	0.03717				
750	0.03778				
755	0.03818				
760	0.03858				
765	0.039				
770	0.03988				
775	0.04076				
780	0.041639999999999996				
785	0.04190000000000001				
790	0.0421				
795	0.042300000000000004				
800	0.0429				
805	0.043579999999999994				
810	0.04426				
815	0.04503				
820	0.04583				
825	0.046639999999999994				
830	0.04739				
835	0.04811				
840	0.04883				
845	0.049699999999999994				
850	0.05071				
855	0.051710000000000006				
860	0.05285				
865	0.05418				
870	0.0555				
875	0.05684				
880	0.05821				
885	0.05957				
890	0.06101				
895	0.06269999999999999				
900	0.06437999999999999				
905	0.06611				
910	0.06812				
915	0.07012				
920	0.07214000000000001				
925	0.07439				
930	0.07663				
935	0.07888				
940	0.08128				
945	0.08369				
950	0.0861				
955	0.08874				
960	0.09143000000000001				
965	0.09412000000000001				
970	0.09695999999999999				
975	0.09985				
980	0.10274				
985	0.10586000000000001				
990	0.10911				
995	0.11236				
1000	0.11559				
1005	0.1188				
1010	0.12201000000000001				
1015	0.12536				
1020	0.12890000000000001				
1025	0.13243				
1030	0.13606				
1035	0.13987				
1040	0.14368				
1045	0.14755000000000001				
1050	0.15156				
1055	0.15557				
1060	0.15958				
1065	0.16351				
1070	0.16744				
1075	0.17138				
1080	0.17552				
1085	0.17965				
1090	0.18379				
1095	0.18826				
1100	0.19276				
