Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
355	0.71986	#5c93ff	Hoya	80B	80B
360	0.7562000000000001				
365	0.78495				
370	0.80255				
375	0.81211				
380	0.8198099999999999				
385	0.8341299999999999				
390	0.8492000000000001				
395	0.85846				
400	0.85988				
405	0.8551000000000001				
410	0.83858				
415	0.80545				
420	0.7729300000000001				
425	0.7528199999999999				
430	0.73235				
435	0.71042				
440	0.68982				
445	0.6691800000000001				
450	0.64881				
455	0.6289				
460	0.61102				
465	0.59345				
470	0.57675				
475	0.56072				
480	0.54579				
485	0.53161				
490	0.51865				
495	0.50708				
500	0.495				
505	0.48252				
510	0.46970999999999996				
515	0.45665999999999995				
520	0.44383				
525	0.42924				
530	0.41439				
535	0.40342				
540	0.3985				
545	0.3998				
550	0.40609				
555	0.41217				
560	0.41402				
565	0.40918999999999994				
570	0.39947000000000005				
575	0.38226				
580	0.35615				
585	0.33183999999999997				
590	0.31373999999999996				
595	0.30402999999999997				
600	0.29868				
605	0.29486999999999997				
610	0.29002				
615	0.28352				
620	0.27562000000000003				
625	0.26575				
630	0.25547000000000003				
635	0.24547999999999998				
640	0.23637				
645	0.23001000000000002				
650	0.22582000000000002				
655	0.22336999999999999				
660	0.22444				
665	0.22786				
670	0.23278				
675	0.2391				
680	0.24547999999999998				
685	0.25105				
690	0.25559				
695	0.25899				
700	0.25957				
705	0.25778				
710	0.25567				
715	0.25318				
720	0.25039				
725	0.24758				
730	0.24494				
735	0.24286000000000002				
740	0.24203				
745	0.24203				
750	0.24203				
755	0.24203				
760	0.24203				
765	0.24203				
770	0.24203				
775	0.24203				
780	0.24203				
785	0.24203				
790	0.24203				
795	0.24203				
800	0.24203				
805	0.24203				
810	0.24203				
815	0.24203				
820	0.24203				
825	0.24203				
830	0.24203				
835	0.24203				
840	0.24203				
845	0.24203				
850	0.24203				
855	0.24203				
860	0.24203				
865	0.24203				
870	0.24203				
875	0.24203				
880	0.24203				
885	0.24203				
890	0.24203				
895	0.24203				
900	0.24203				
905	0.24203				
910	0.24203				
915	0.24203				
920	0.24203				
925	0.24203				
930	0.24203				
935	0.24203				
940	0.24203				
945	0.24203				
950	0.24203				
955	0.24203				
960	0.24203				
965	0.24203				
970	0.24203				
975	0.24203				
980	0.24203				
985	0.24203				
990	0.24203				
995	0.24203				
1000	0.24203				
1005	0.24203				
1010	0.24203				
1015	0.24203				
1020	0.24203				
1025	0.24203				
1030	0.24203				
1035	0.24203				
1040	0.24203				
1045	0.24203				
1050	0.24203				
1055	0.24203				
1060	0.24203				
1065	0.24203				
1070	0.24203				
1075	0.24203				
1080	0.24203				
1085	0.24203				
1090	0.24203				
1095	0.24203				
1100	0.24203				
