Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
355	0.65881	#363fd5	Kolari	IR Chrome	0
360	0.72938				
365	0.78211				
370	0.82214				
375	0.8480500000000001				
380	0.86846				
385	0.88335				
390	0.8971899999999999				
395	0.90876				
400	0.91503				
405	0.9213				
410	0.92757				
415	0.92815				
420	0.9284				
425	0.92864				
430	0.92889				
435	0.92628				
440	0.92184				
445	0.91741				
450	0.91298				
455	0.9029699999999999				
460	0.89225				
465	0.88154				
470	0.86492				
475	0.84682				
480	0.8248099999999999				
485	0.8003199999999999				
490	0.77209				
495	0.74178				
500	0.7091200000000001				
505	0.67448				
510	0.63873				
515	0.60297				
520	0.56504				
525	0.52498				
530	0.48549				
535	0.44893				
540	0.41159999999999997				
545	0.37433				
550	0.33771				
555	0.30195				
560	0.268				
565	0.23828				
570	0.21166000000000001				
575	0.19117				
580	0.17173				
585	0.15475				
590	0.13901				
595	0.12354				
600	0.10939				
605	0.09523999999999999				
610	0.08346999999999999				
615	0.07854				
620	0.07361				
625	0.06867				
630	0.06679				
635	0.06667				
640	0.06656				
645	0.06589				
650	0.064				
655	0.062119999999999995				
660	0.060899999999999996				
665	0.060899999999999996				
670	0.060899999999999996				
675	0.060899999999999996				
680	0.06432				
685	0.06886				
690	0.07341				
695	0.07862				
700	0.09342				
705	0.10823				
710	0.12388				
715	0.14317				
720	0.16246				
725	0.17701				
730	0.19069				
735	0.20437000000000002				
740	0.21353000000000003				
745	0.22225				
750	0.23096				
755	0.23440999999999998				
760	0.23102				
765	0.22763000000000003				
770	0.22424				
775	0.21814				
780	0.21050000000000002				
785	0.20286				
790	0.19538				
795	0.18828				
800	0.18117999999999998				
805	0.17408				
810	0.16829999999999998				
815	0.16283999999999998				
820	0.15737				
825	0.15194000000000002				
830	0.14715				
835	0.14235				
840	0.13755				
845	0.13316				
850	0.12942				
855	0.12567				
860	0.12198				
865	0.11872999999999999				
870	0.11548				
875	0.11223000000000001				
880	0.10926				
885	0.10653				
890	0.1038				
895	0.10106				
900	0.09876				
905	0.09656				
910	0.09437				
915	0.09219				
920	0.09009				
925	0.08800000000000001				
930	0.0859				
935	0.08434				
940	0.08278				
945	0.08123				
950	0.07982				
955	0.07873999999999999				
960	0.07765				
965	0.07657				
970	0.07564				
975	0.07474				
980	0.07384				
985	0.07293				
990	0.07200999999999999				
995	0.07109				
