Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.15992	#E68C64	Lee Filters	Surprise Peach	17
410	0.15307				
415	0.14375				
420	0.13187				
425	0.11968				
430	0.10769999999999999				
435	0.0959				
440	0.08509				
445	0.07505				
450	0.06638				
455	0.05918				
460	0.05327				
465	0.048760000000000005				
470	0.046479999999999994				
475	0.04687				
480	0.049370000000000004				
485	0.052590000000000005				
490	0.055689999999999996				
495	0.0587				
500	0.06301999999999999				
505	0.07118000000000001				
510	0.08353999999999999				
515	0.10005000000000001				
520	0.11911				
525	0.13923				
530	0.15591				
535	0.16510000000000002				
540	0.16355				
545	0.15466				
550	0.14162				
555	0.12791				
560	0.11912				
565	0.12157				
570	0.13933				
575	0.1747				
580	0.22324000000000002				
585	0.26924				
590	0.30349				
595	0.32104999999999995				
600	0.32415999999999995				
605	0.32487				
610	0.32964				
615	0.33878				
620	0.34969				
625	0.36002				
630	0.37146999999999997				
635	0.38595999999999997				
640	0.39697000000000005				
645	0.40226999999999996				
650	0.3945				
655	0.36959000000000003				
660	0.32344				
665	0.26946000000000003				
670	0.23448				
675	0.22443000000000002				
680	0.24086				
685	0.29329				
690	0.37728				
695	0.46819000000000005				
700	0.5478999999999999				
705	0.5974				
710	0.63995				
715	0.67651				
720	0.7079300000000001				
725	0.73493				
730	0.7581399999999999				
735	0.77809				
740	0.79523				
745	0.8099599999999999				
750	0.82262				
755	0.8334999999999999				
760	0.84285				
765	0.85088				
770	0.8577899999999999				
775	0.86372				
780	0.86882				
785	0.8732099999999999				
790	0.87697				
795	0.88021				
800	0.88247				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
