Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.005520000000000001	#FF4600	Lee Filters	Fire	19
410	0.00521				
415	0.00508				
420	0.00519				
425	0.0055000000000000005				
430	0.006				
435	0.00647				
440	0.0067800000000000004				
445	0.006770000000000001				
450	0.00668				
455	0.00657				
460	0.0064800000000000005				
465	0.0064600000000000005				
470	0.0066300000000000005				
475	0.006979999999999999				
480	0.0075				
485	0.00821				
490	0.00906				
495	0.00997				
500	0.01084				
505	0.01167				
510	0.012490000000000001				
515	0.01359				
520	0.01548				
525	0.01812				
530	0.02068				
535	0.021949999999999997				
540	0.02093				
545	0.01838				
550	0.01525				
555	0.01226				
560	0.00986				
565	0.009340000000000001				
570	0.01262				
575	0.02472				
580	0.06176				
585	0.14268				
590	0.27913				
595	0.44539				
600	0.5976899999999999				
605	0.71042				
610	0.77837				
615	0.8043899999999999				
620	0.8079500000000001				
625	0.81022				
630	0.81557				
635	0.8271299999999999				
640	0.84395				
645	0.85747				
650	0.86265				
655	0.85761				
660	0.84516				
665	0.83542				
670	0.82722				
675	0.83186				
680	0.8388500000000001				
685	0.8532299999999999				
690	0.8659600000000001				
695	0.87491				
700	0.8789				
705	0.8818699999999999				
710	0.88442				
715	0.88661				
720	0.88849				
725	0.89011				
730	0.8915000000000001				
735	0.8926900000000001				
740	0.89372				
745	0.8946				
750	0.89536				
755	0.89601				
760	0.89658				
765	0.8970600000000001				
770	0.89747				
775	0.89783				
780	0.89813				
785	0.89839				
790	0.89862				
795	0.89881				
800	0.8989499999999999				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
