Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.14002	#FF5A64	Lee Filters	Scarlet	24
410	0.14687				
415	0.15167				
420	0.15157				
425	0.14832				
430	0.1421				
435	0.13055999999999998				
440	0.11468				
445	0.09721				
450	0.08073000000000001				
455	0.0654				
460	0.051390000000000005				
465	0.03991				
470	0.03094				
475	0.02416				
480	0.01908				
485	0.01533				
490	0.0127				
495	0.01085				
500	0.009689999999999999				
505	0.00893				
510	0.00843				
515	0.00818				
520	0.008369999999999999				
525	0.00924				
530	0.01125				
535	0.01428				
540	0.01825				
545	0.02274				
550	0.02632				
555	0.02847				
560	0.03064				
565	0.03656				
570	0.054720000000000005				
575	0.10044				
580	0.19044				
585	0.30579999999999996				
590	0.42502				
595	0.52673				
600	0.61026				
605	0.67069				
610	0.70809				
615	0.7230599999999999				
620	0.72911				
625	0.72844				
630	0.7299899999999999				
635	0.74131				
640	0.75766				
645	0.7729				
650	0.78945				
655	0.80097				
660	0.80351				
665	0.7995				
670	0.7939799999999999				
675	0.79106				
680	0.7905200000000001				
685	0.79584				
690	0.80612				
695	0.81932				
700	0.83077				
705	0.8405				
710	0.84887				
715	0.8560599999999999				
720	0.86224				
725	0.8675400000000001				
730	0.8721099999999999				
735	0.87603				
740	0.8794				
745	0.8823000000000001				
750	0.8847799999999999				
755	0.8869199999999999				
760	0.88876				
765	0.89034				
770	0.8917				
775	0.89287				
780	0.89387				
785	0.89473				
790	0.89547				
795	0.8961100000000001				
800	0.89655				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
