Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.04181	#FF6E46	Lee Filters	Sunset Red	25
410	0.04024				
415	0.03928				
420	0.039900000000000005				
425	0.041609999999999994				
430	0.04369				
435	0.04516				
440	0.04585				
445	0.04617				
450	0.04583				
455	0.04514				
460	0.0446				
465	0.04472				
470	0.04596				
475	0.04798				
480	0.050679999999999996				
485	0.053680000000000005				
490	0.05733				
495	0.061470000000000004				
500	0.06588				
505	0.07006				
510	0.07417				
515	0.07931				
520	0.087				
525	0.09698000000000001				
530	0.10595				
535	0.11018				
540	0.10869				
545	0.10305				
550	0.09623				
555	0.08993000000000001				
560	0.08489000000000001				
565	0.08692				
570	0.10679				
575	0.15683999999999998				
580	0.25229				
585	0.38463				
590	0.5309				
595	0.65768				
600	0.75031				
605	0.8066				
610	0.83974				
615	0.85467				
620	0.86206				
625	0.8682099999999999				
630	0.87619				
635	0.88205				
640	0.8828199999999999				
645	0.8843099999999999				
650	0.8828900000000001				
655	0.87677				
660	0.87072				
665	0.8702599999999999				
670	0.87467				
675	0.8812099999999999				
680	0.88822				
685	0.89593				
690	0.9048999999999999				
695	0.90669				
700	0.90093				
705	0.90093				
710	0.9009199999999999				
715	0.9009199999999999				
720	0.9009				
725	0.9008799999999999				
730	0.9008499999999999				
735	0.90079				
740	0.90071				
745	0.90059				
750	0.90045				
755	0.90032				
760	0.9002				
765	0.90012				
770	0.90007				
775	0.9000400000000001				
780	0.9000199999999999				
785	0.9000100000000001				
790	0.9000100000000001				
795	0.9				
800	0.9				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
