Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.2591	#BE0091	Lee Filters	Medium Purple	49
410	0.28190000000000004				
415	0.29517				
420	0.29969				
425	0.31024				
430	0.32307				
435	0.32436				
440	0.31739				
445	0.30784				
450	0.28998				
455	0.26302				
460	0.22928				
465	0.20010000000000003				
470	0.17357				
475	0.14546				
480	0.11721				
485	0.09167				
490	0.07115				
495	0.05416000000000001				
500	0.03945				
505	0.02659				
510	0.016479999999999998				
515	0.00957				
520	0.005659999999999999				
525	0.00363				
530	0.00265				
535	0.002				
540	0.0013900000000000002				
545	0.00082				
550	0.00043				
555	0.00023				
560	0.00015				
565	0.00013				
570	0.0002				
575	0.00043999999999999996				
580	0.0017000000000000001				
585	0.0046				
590	0.01369				
595	0.0359				
600	0.06820999999999999				
605	0.10275000000000001				
610	0.12637				
615	0.1377				
620	0.14209				
625	0.14791				
630	0.16382000000000002				
635	0.19699000000000003				
640	0.25334				
645	0.33168				
650	0.42463999999999996				
655	0.52148				
660	0.61331				
665	0.69502				
670	0.7609699999999999				
675	0.81241				
680	0.84325				
685	0.8582599999999999				
690	0.86087				
695	0.8591				
700	0.8553799999999999				
705	0.85547				
710	0.85564				
715	0.8559399999999999				
720	0.85649				
725	0.85745				
730	0.8591200000000001				
735	0.86185				
740	0.86601				
745	0.87168				
750	0.87831				
755	0.88483				
760	0.8902100000000001				
765	0.8940699999999999				
770	0.89656				
775	0.89805				
780	0.8989199999999999				
785	0.8994				
790	0.89967				
795	0.89982				
800	0.8998900000000001				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
