Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.0795	#006EB9	Lee Filters	Deeper Blue	85
410	0.10331				
415	0.12775999999999998				
420	0.15696				
425	0.19426				
430	0.23549				
435	0.27909				
440	0.3171				
445	0.33261				
450	0.33909				
455	0.34302999999999995				
460	0.33336				
465	0.31268				
470	0.29367				
475	0.27104				
480	0.23873				
485	0.20274				
490	0.16801				
495	0.1334				
500	0.10231				
505	0.07835				
510	0.059370000000000006				
515	0.04276				
520	0.02781				
525	0.01621				
530	0.00872				
535	0.00482				
540	0.0028799999999999997				
545	0.00192				
550	0.00135				
555	0.0008799999999999999				
560	0.00049				
565	0.00023				
570	0.0001				
575	0.0001				
580	0.0001				
585	0.0001				
590	0.0001				
595	0.0001				
600	0.0001				
605	0.0001				
610	0.0001				
615	0.0001				
620	0.0001				
625	0.0001				
630	0.0001				
635	0.0001				
640	0.0001				
645	0.0002				
650	0.00091				
655	0.0035499999999999998				
660	0.010069999999999999				
665	0.01901				
670	0.027530000000000002				
675	0.03648				
680	0.04919				
685	0.07216				
690	0.11943				
695	0.19667				
700	0.29398				
705	0.37918				
710	0.45241				
715	0.51534				
720	0.56942				
725	0.6159				
730	0.65584				
735	0.69017				
740	0.71967				
745	0.7450199999999999				
750	0.76681				
755	0.78554				
760	0.80163				
765	0.8154600000000001				
770	0.82735				
775	0.83756				
780	0.84634				
785	0.8538800000000001				
790	0.8603700000000001				
795	0.8659399999999999				
800	0.86983				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
