Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.02788	#DCFF64	Lee Filters	Lime Green	88
410	0.018520000000000002				
415	0.012920000000000001				
420	0.00971				
425	0.008020000000000001				
430	0.00756				
435	0.00818				
440	0.01008				
445	0.01345				
450	0.01915				
455	0.0292				
460	0.049249999999999995				
465	0.08975				
470	0.17067				
475	0.30723				
480	0.48066000000000003				
485	0.64656				
490	0.75761				
495	0.81245				
500	0.8422499999999999				
505	0.8699800000000001				
510	0.89176				
515	0.8923399999999999				
520	0.87079				
525	0.85291				
530	0.84626				
535	0.85734				
540	0.86861				
545	0.8676200000000001				
550	0.84705				
555	0.8151600000000001				
560	0.78348				
565	0.7554900000000001				
570	0.73847				
575	0.72033				
580	0.69768				
585	0.6723399999999999				
590	0.63986				
595	0.60564				
600	0.5632				
605	0.52643				
610	0.5022				
615	0.48424				
620	0.47101				
625	0.46411				
630	0.46496000000000004				
635	0.47172				
640	0.48168				
645	0.49033				
650	0.49056				
655	0.47073				
660	0.42926000000000003				
665	0.37634				
670	0.34068				
675	0.32792				
680	0.34415				
685	0.39171999999999996				
690	0.46669				
695	0.55015				
700	0.62572				
705	0.66428				
710	0.69742				
715	0.7259				
720	0.7503799999999999				
725	0.77142				
730	0.7895				
735	0.80503				
740	0.8183799999999999				
745	0.82986				
750	0.8397199999999999				
755	0.8482				
760	0.85548				
765	0.8617400000000001				
770	0.86712				
775	0.8717400000000001				
780	0.87571				
785	0.87913				
790	0.8820600000000001				
795	0.88458				
800	0.88634				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
