Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.0020399999999999997	#00BE00	Lee Filters	Dark Yellow Green	90
410	0.00245				
415	0.0027500000000000003				
420	0.0030299999999999997				
425	0.0032400000000000003				
430	0.00331				
435	0.0034699999999999996				
440	0.0037099999999999998				
445	0.004079999999999999				
450	0.0047799999999999995				
455	0.00584				
460	0.0076				
465	0.01042				
470	0.01524				
475	0.02376				
480	0.03803				
485	0.061180000000000005				
490	0.09537000000000001				
495	0.13884				
500	0.18411000000000002				
505	0.2268				
510	0.26322				
515	0.28437				
520	0.29118				
525	0.2879				
530	0.27208				
535	0.24833				
540	0.21803999999999998				
545	0.18234000000000003				
550	0.14398				
555	0.10758				
560	0.07465				
565	0.04808				
570	0.02934				
575	0.01774				
580	0.01045				
585	0.00633				
590	0.0037099999999999998				
595	0.0020399999999999997				
600	0.00104				
605	0.00053				
610	0.0003				
615	0.0002				
620	0.00015				
625	0.00016				
630	0.00017				
635	0.00018999999999999998				
640	0.00021999999999999998				
645	0.00029				
650	0.00028000000000000003				
655	0.00027				
660	0.00017999999999999998				
665	0.00012				
670	0.0001				
675	0.0001				
680	0.0001				
685	0.00015				
690	0.00037999999999999997				
695	0.00109				
700	0.00527				
705	0.00711				
710	0.01046				
715	0.01654				
720	0.02748				
725	0.04683				
730	0.08018				
735	0.13499				
740	0.21850999999999998				
745	0.33216				
750	0.46511				
755	0.59572				
760	0.70376				
765	0.78113				
770	0.831				
775	0.861				
780	0.8783				
785	0.88803				
790	0.8934300000000001				
795	0.8964				
800	0.89778				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
