Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.0076100000000000004	#FFDC00	Lee Filters	Deep Amber	104
410	0.0048				
415	0.00318				
420	0.00233				
425	0.00185				
430	0.00168				
435	0.0017699999999999999				
440	0.0021				
445	0.0027900000000000004				
450	0.00398				
455	0.00617				
460	0.01057				
465	0.01949				
470	0.03744				
475	0.06788				
480	0.10823				
485	0.14915				
490	0.18047000000000002				
495	0.20576				
500	0.23143999999999998				
505	0.25997				
510	0.29282				
515	0.32372999999999996				
520	0.3507				
525	0.37625				
530	0.41452				
535	0.47070999999999996				
540	0.54437				
545	0.62035				
550	0.68298				
555	0.7265				
560	0.75631				
565	0.78349				
570	0.81021				
575	0.83182				
580	0.84297				
585	0.8418399999999999				
590	0.8320099999999999				
595	0.82003				
600	0.80853				
605	0.8049299999999999				
610	0.81475				
615	0.8296899999999999				
620	0.8451099999999999				
625	0.85612				
630	0.86241				
635	0.8560899999999999				
640	0.84492				
645	0.83304				
650	0.8211499999999999				
655	0.81426				
660	0.81556				
665	0.81938				
670	0.8294				
675	0.8406999999999999				
680	0.84737				
685	0.8532299999999999				
690	0.8565900000000001				
695	0.8545				
700	0.8547199999999999				
705	0.85482				
710	0.8549800000000001				
715	0.85529				
720	0.8558499999999999				
725	0.8568300000000001				
730	0.85851				
735	0.86129				
740	0.86551				
745	0.87126				
750	0.87799				
755	0.8845999999999999				
760	0.89007				
765	0.89398				
770	0.8965099999999999				
775	0.89803				
780	0.8989				
785	0.8993899999999999				
790	0.89967				
795	0.89982				
800	0.8998900000000001				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
